SensorTimestamp(s),acc_x,acc_y,acc_z
65093.5471,-1.01514,8.26,6.21535
65093.5672,0.22505,8.30788,8.5042
65093.5871,0.04788,7.27837,7.94636
65093.6071,-1.45567,6.36858,7.13951
65093.6272,-1.9824,6.41167,6.61278
65093.6471,-1.75495,6.9791,5.61919
65093.6671,-1.28569,7.37414,4.85784
65093.6871,-0.68953,7.67342,5.68384
65093.7081,-1.03908,7.20415,6.74925
65093.728,-1.71904,6.36379,7.12275
65093.7481,-1.92494,6.51702,8.35816
65093.7681,-1.31442,6.53856,8.47787
65093.7881,-1.65439,6.46913,6.96713
65093.8081,-0.93853,6.51223,6.08367
65093.8281,-0.92177,6.55054,5.71735
65093.8482,-0.43814,7.0198,7.00783
65093.8681,-0.39504,6.62476,7.29513
65093.8881,-1.09654,6.26802,6.7325
65093.9082,-0.86191,6.84981,6.19619
65093.9281,-0.21308,7.58483,6.50505
65093.9481,-0.28252,7.35499,7.06289
65093.9682,-0.8667,7.00783,7.3071
65093.9881,-1.07739,6.93121,7.29274
65094.0081,-1.24738,6.69898,7.185
65094.0282,-1.26893,6.64152,7.45315
65094.0481,-0.88107,6.7732,8.15226
65094.0681,-0.52912,6.52899,8.02536
65094.0882,-1.34794,6.05494,7.79791
65094.1081,-1.7741,5.68384,7.62314
65094.1281,-1.40779,6.22253,8.28154
65094.1481,-0.26815,7.14909,8.97586
65094.1681,-0.08619,6.49786,8.63349
65094.1881,-0.62968,6.32548,7.79791
65094.2081,-0.07661,6.86896,7.81707
65094.2281,0.23224,6.90009,7.78116
65094.2481,0.11253,6.74686,7.7213
65094.2691,-0.26097,6.91924,7.86495
65094.2891,-0.44772,6.96713,7.86016
65094.31,-0.43574,7.02219,7.87453
65094.3311,-0.18675,6.94318,8.14986
65094.3512,-0.88585,7.54652,7.39329
65094.3711,-1.13485,8.30788,7.74764
65094.3911,-0.44772,7.78834,8.79151
65094.4111,-0.97683,7.08444,8.90643
65094.4311,-1.58257,7.54174,8.52096
65094.4511,-2.42293,9.14346,7.38132
65094.4711,-2.40138,9.01656,6.8115
65094.4911,-0.15562,8.5042,7.63032
65094.5111,-0.19393,7.3071,6.68222
65094.5332,-0.89304,6.73489,7.45076
65094.5531,-0.90501,6.78996,7.81707
65094.5731,-0.75178,6.94318,7.6399
65094.5932,-1.01275,6.68222,6.71813
65094.6131,-1.13964,5.8634,5.44202
65094.6331,-0.73263,5.58088,5.21457
