AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,Accuracy
0.0542,65093.5471,-1.01514,8.26,6.21535,3
0.058,65093.5672,0.22505,8.30788,8.5042,3
0.0606,65093.5871,0.04788,7.27837,7.94636,3
0.064,65093.6071,-1.45567,6.36858,7.13951,3
0.0883,65093.6272,-1.9824,6.41167,6.61278,3
0.1178,65093.6471,-1.75495,6.9791,5.61919,3
0.1208,65093.6671,-1.28569,7.37414,4.85784,3
0.1529,65093.6871,-0.68953,7.67342,5.68384,3
0.1589,65093.7081,-1.03908,7.20415,6.74925,3
0.1791,65093.728,-1.71904,6.36379,7.12275,3
0.1991,65093.7481,-1.92494,6.51702,8.35816,3
0.2195,65093.7681,-1.31442,6.53856,8.47787,3
0.2405,65093.7881,-1.65439,6.46913,6.96713,3
0.2648,65093.8081,-0.93853,6.51223,6.08367,3
0.2982,65093.8281,-0.92177,6.55054,5.71735,3
0.3098,65093.8482,-0.43814,7.0198,7.00783,3
0.3207,65093.8681,-0.39504,6.62476,7.29513,3
0.3403,65093.8881,-1.09654,6.26802,6.7325,3
0.36,65093.9082,-0.86191,6.84981,6.19619,3
0.3802,65093.9281,-0.21308,7.58483,6.50505,3
0.3992,65093.9481,-0.28252,7.35499,7.06289,3
0.43,65093.9682,-0.8667,7.00783,7.3071,3
0.4443,65093.9881,-1.07739,6.93121,7.29274,3
0.4647,65094.0081,-1.24738,6.69898,7.185,3
0.4811,65094.0282,-1.26893,6.64152,7.45315,3
0.5043,65094.0481,-0.88107,6.7732,8.15226,3
0.5292,65094.0681,-0.52912,6.52899,8.02536,3
0.5485,65094.0882,-1.34794,6.05494,7.79791,3
0.5592,65094.1081,-1.7741,5.68384,7.62314,3
0.5799,65094.1281,-1.40779,6.22253,8.28154,3
0.6009,65094.1481,-0.26815,7.14909,8.97586,3
0.6192,65094.1681,-0.08619,6.49786,8.63349,3
0.6438,65094.1881,-0.62968,6.32548,7.79791,3
0.6827,65094.2081,-0.07661,6.86896,7.81707,3
0.6859,65094.2281,0.23224,6.90009,7.78116,3
0.6997,65094.2481,0.11253,6.74686,7.7213,3
0.7198,65094.2691,-0.26097,6.91924,7.86495,3
0.7403,65094.2891,-0.44772,6.96713,7.86016,3
0.7618,65094.31,-0.43574,7.02219,7.87453,3
0.7919,65094.3311,-0.18675,6.94318,8.14986,3
0.8095,65094.3512,-0.88585,7.54652,7.39329,3
0.8268,65094.3711,-1.13485,8.30788,7.74764,3
0.8415,65094.3911,-0.44772,7.78834,8.79151,3
0.8616,65094.4111,-0.97683,7.08444,8.90643,3
0.8822,65094.4311,-1.58257,7.54174,8.52096,3
0.9063,65094.4511,-2.42293,9.14346,7.38132,3
0.9301,65094.4711,-2.40138,9.01656,6.8115,3
0.9418,65094.4911,-0.15562,8.5042,7.63032,3
0.9616,65094.5111,-0.19393,7.3071,6.68222,3
0.9835,65094.5332,-0.89304,6.73489,7.45076,3
1.0059,65094.5531,-0.90501,6.78996,7.81707,3
1.0234,65094.5731,-0.75178,6.94318,7.6399,3
1.0608,65094.5932,-1.01275,6.68222,6.71813,3
1.069,65094.6131,-1.13964,5.8634,5.44202,3
1.0883,65094.6331,-0.73263,5.58088,5.21457,3
1.1052,65094.6532,0.00239,5.84903,5.09247,3
1.1256,65094.6751,0.39265,5.35822,5.37738,3
1.1461,65094.6951,0.13647,5.24809,5.71496,3
1.166,65094.7151,0.7015,5.3271,5.68144,3
1.186,65094.7351,1.07739,5.29837,5.78918,3
1.2058,65094.7551,1.02951,5.17866,5.60004,3
1.2329,65094.775,1.94888,5.67905,6.02621,3
1.2558,65094.7962,2.30322,5.75087,5.77003,3
1.2674,65094.8161,2.01592,5.17866,5.36541,3
1.2935,65094.8361,1.94649,5.60483,4.95121,3
1.3131,65094.8571,2.50433,6.04296,5.61201,3
1.3305,65094.8772,3.67031,6.28957,6.37576,3
1.348,65094.8971,4.12282,6.17225,6.89051,3
1.3683,65094.9181,3.45962,5.58088,5.24091,3
1.3885,65094.9381,2.9305,5.32231,4.23534,3
1.4121,65094.9581,3.39498,5.30795,5.15472,3
1.432,65094.9781,3.93367,5.62398,6.21774,3
1.451,65094.9981,4.20661,6.37576,6.19859,3
1.4708,65095.0191,4.57293,6.8977,5.45639,3
1.4914,65095.0401,5.55694,7.45794,5.96396,3
1.5134,65095.0601,5.79157,7.40766,6.47871,3
1.5315,65095.0802,4.78601,7.36217,7.24007,3
1.5518,65095.1001,4.31675,7.78116,8.22887,3
1.5781,65095.1201,4.4604,8.76278,8.31267,3
1.5934,65095.1411,4.92727,9.80665,8.90882,3
1.612,65095.1612,4.58011,10.54406,9.52174,3
1.6319,65095.1811,3.85227,10.64941,9.75637,3
1.6529,65095.2011,3.26569,10.19691,10.41238,3
1.6766,65095.2221,3.17471,10.01255,11.37246,3
1.6969,65095.2421,3.36625,10.12029,11.48499,3
1.7155,65095.2621,3.62722,9.90002,10.43154,3
1.7355,65095.2821,3.3854,9.13148,8.83939,3
1.7564,65095.3021,2.80122,8.24802,7.80749,3
1.7756,65095.3222,2.38223,7.58962,7.3095,3
1.7992,65095.3421,2.16196,7.15148,7.19218,3
1.8258,65095.3621,2.61926,7.08444,7.41724,3
1.8453,65095.382,3.49075,7.12993,6.50744,3
1.8617,65095.4021,2.88501,6.53378,5.54018,3
1.873,65095.4221,1.50595,5.60004,4.8722,3
1.9201,65095.4422,0.69671,4.97276,5.10204,3
1.9262,65095.4519,0.4956,4.35745,4.96557,3
1.9291,65095.4619,0.44293,4.31435,4.91051,3
1.9361,65095.4821,0.00239,4.2521,4.48673,3
1.9532,65095.5022,-0.18675,4.2928,3.35907,3
1.9721,65095.5221,-0.15323,4.2521,2.36787,3
1.9924,65095.5421,-0.7422,3.87142,1.29047,3
2.013,65095.5622,-2.09493,3.66552,0.88825,3
2.032,65095.5821,-3.36385,3.26569,1.79086,3
2.0674,65095.6021,-3.95522,3.27048,3.28006,3
2.0793,65095.6221,-4.1276,3.76368,4.22816,3
2.0993,65095.6431,-4.30238,4.74531,4.27365,3
2.1133,65095.6631,-5.27443,4.96079,4.72137,3
2.134,65095.6831,-6.80672,4.24253,5.95677,3
2.1553,65095.7031,-7.8458,3.77805,6.69179,3
2.1732,65095.7231,-9.32542,4.89614,5.68144,3
2.1946,65095.7431,-10.00297,5.3678,6.25844,3
2.2163,65095.7631,-8.82742,5.62159,7.33105,3
2.2357,65095.7832,-8.05409,7.05092,6.68701,3
2.2537,65095.8031,-8.25281,9.27993,5.6168,3
2.2758,65095.8231,-8.14986,10.95826,7.93438,3
2.2973,65095.8441,-6.79235,11.79863,11.49935,3
2.3233,65095.8642,-6.55532,12.21043,13.10347,3
2.3416,65095.8841,-5.16908,11.74356,13.27345,3
2.364,65095.9041,-2.67432,11.61906,14.15213,3
2.3803,65095.9241,0.46448,11.90637,11.46104,3
2.396,65095.9451,0.73502,11.48738,9.04051,3
2.4193,65095.9651,-1.30005,8.91361,6.39491,3
2.439,65095.9851,-2.57856,9.55287,8.56167,3
2.4598,65096.0051,-1.84832,6.62954,8.99502,3
2.4779,65096.025,-2.42772,4.30717,10.25915,3
2.498,65096.0451,-1.64242,2.9712,9.16261,3
2.52,65096.0661,0.25857,1.64482,7.11796,3
2.5494,65096.0871,0.2466,1.62806,7.64469,3
2.565,65096.1071,-0.6201,2.41096,6.7301,3
2.5794,65096.1281,-1.46046,2.16915,6.21535,3
2.6032,65096.1481,-1.9417,1.31681,9.38288,3
2.6227,65096.168,0.577,0.56264,5.782,3
2.641,65096.1881,0.63446,2.0662,3.1364,3
2.6597,65096.2081,0.83318,2.95684,2.6025,3
2.6795,65096.2281,0.34477,2.62644,2.52109,3
2.702,65096.2481,-0.52433,2.27689,1.89381,3
2.7222,65096.2681,-1.38385,1.24738,1.6927,3
2.7416,65096.2891,-0.84515,0.68474,4.82192,3
2.7628,65096.3092,-0.9505,0.90022,8.22169,3
2.7837,65096.3291,0.52672,1.01993,10.13705,3
2.8034,65096.3491,1.37188,0.23463,11.46583,3
2.8465,65096.3692,1.35512,0.12689,13.56315,3
2.8565,65096.3891,0.33519,0.82361,15.28937,3
2.8837,65096.4091,-0.09098,1.71664,14.65012,3
2.8954,65096.4292,0.64643,1.28808,13.98453,3
2.9065,65096.4491,0.04549,0.86191,12.5097,3
