AppTimestamp(s),MAC,RSSI,MajorID,MinorID
2.8313,BE:AC:20:23:00:01,-90,1,1
6.7274,BE:AC:20:23:00:01,-96,1,1
8.1836,BE:AC:20:23:00:01,-97,1,1
12.1975,BE:AC:20:23:00:05,-94,1,5
12.6718,BE:AC:20:23:00:01,-95,1,1
20.1803,BE:AC:20:23:00:05,-97,1,5
20.9296,BE:AC:20:23:00:01,-97,1,1
21.4134,BE:AC:20:23:00:05,-95,1,5
23.6636,BE:AC:20:23:00:05,-97,1,5
26.9794,BE:AC:20:23:00:05,-92,1,5
29.6883,BE:AC:20:23:00:01,-90,1,1
30.723,BE:AC:20:23:00:01,-97,1,1
31.8691,BE:AC:20:23:00:05,-95,1,5
32.2599,BE:AC:20:23:00:05,-95,1,5
32.9387,BE:AC:20:23:00:05,-95,1,5
33.3177,BE:AC:20:23:00:05,-92,1,5
33.5145,BE:AC:20:23:00:05,-95,1,5
36.3785,BE:AC:20:23:00:05,-99,1,5
39.3147,BE:AC:20:23:00:01,-98,1,1
44.58,BE:AC:20:23:00:05,-97,1,5
44.7782,BE:AC:20:23:00:05,-96,1,5
46.6433,BE:AC:20:23:00:05,-98,1,5
46.9203,BE:AC:20:23:00:01,-94,1,1
47.9335,BE:AC:20:23:00:01,-93,1,1
52.0509,BE:AC:20:23:00:01,-97,1,1
52.2432,BE:AC:20:23:00:01,-96,1,1
53.6188,BE:AC:20:23:00:05,-94,1,5
55.6499,BE:AC:20:23:00:05,-96,1,5
55.9217,BE:AC:20:23:00:01,-94,1,1
56.1414,BE:AC:20:23:00:01,-95,1,1
57.1567,BE:AC:20:23:00:01,-93,1,1
62.2669,BE:AC:20:23:00:01,-95,1,1
63.2645,BE:AC:20:23:00:01,-92,1,1
63.894,BE:AC:20:23:00:05,-97,1,5
64.2895,BE:AC:20:23:00:05,-94,1,5
64.3088,BE:AC:20:23:00:01,-94,1,1
64.7175,BE:AC:20:23:00:01,-90,1,1
64.9277,BE:AC:20:23:00:01,-90,1,1
65.7616,BE:AC:20:23:00:01,-87,1,1
65.9428,BE:AC:20:23:00:01,-93,1,1
66.1306,BE:AC:20:23:00:05,-90,1,5
66.7273,BE:AC:20:23:00:05,-93,1,5
66.7755,BE:AC:20:23:00:01,-99,1,1
67.3407,BE:AC:20:23:00:05,-95,1,5
67.5906,BE:AC:20:23:00:05,-92,1,5
67.9858,BE:AC:20:23:00:01,-86,1,1
68.1968,BE:AC:20:23:00:01,-86,1,1
68.374,BE:AC:20:23:00:05,-92,1,5
68.4167,BE:AC:20:23:00:01,-95,1,1
68.5826,BE:AC:20:23:00:05,-86,1,5
68.6267,BE:AC:20:23:00:01,-86,1,1
68.8292,BE:AC:20:23:00:01,-93,1,1
68.9791,BE:AC:20:23:00:05,-92,1,5
69.0007,BE:AC:20:23:00:01,-86,1,1
69.3977,BE:AC:20:23:00:05,-93,1,5
69.5891,BE:AC:20:23:00:05,-89,1,5
69.7994,BE:AC:20:23:00:05,-84,1,5
70.2473,BE:AC:20:23:00:01,-82,1,1
70.4676,BE:AC:20:23:00:05,-88,1,5
70.8943,BE:AC:20:23:00:01,-89,1,1
71.0322,BE:AC:20:23:00:05,-92,1,5
71.0619,BE:AC:20:23:00:01,-85,1,1
71.238,BE:AC:20:23:00:05,-89,1,5
71.4957,BE:AC:20:23:00:01,-85,1,1
71.6368,BE:AC:20:23:00:05,-87,1,5
71.8696,BE:AC:20:23:00:05,-92,1,5
72.0528,BE:AC:20:23:00:05,-86,1,5
72.1113,BE:AC:20:23:00:01,-85,1,1
72.4985,BE:AC:20:23:00:01,-88,1,1
72.7279,BE:AC:20:23:00:01,-91,1,1
72.9037,BE:AC:20:23:00:05,-83,1,5
73.079,BE:AC:20:23:00:05,-90,1,5
73.1375,BE:AC:20:23:00:01,-86,1,1
73.268,BE:AC:20:23:00:05,-83,1,5
73.332,BE:AC:20:23:00:01,-95,1,1
73.8813,BE:AC:20:23:00:05,-92,1,5
74.581,BE:AC:20:23:00:01,-85,1,1
74.7277,BE:AC:20:23:00:05,-92,1,5
74.7631,BE:AC:20:23:00:01,-87,1,1
74.9223,BE:AC:20:23:00:05,-83,1,5
74.9672,BE:AC:20:23:00:01,-84,1,1
75.5166,BE:AC:20:23:00:05,-92,1,5
75.575,BE:AC:20:23:00:01,-80,1,1
75.7392,BE:AC:20:23:00:05,-87,1,5
75.7827,BE:AC:20:23:00:01,-83,1,1
75.9263,BE:AC:20:23:00:05,-89,1,5
76.1311,BE:AC:20:23:00:05,-87,1,5
76.1962,BE:AC:20:23:00:01,-87,1,1
76.3897,BE:AC:20:23:00:01,-79,1,1
76.5471,BE:AC:20:23:00:05,-94,1,5
76.6082,BE:AC:20:23:00:01,-93,1,1
76.8791,BE:AC:20:23:00:01,-86,1,1
77.1588,BE:AC:20:23:00:05,-92,1,5
77.5676,BE:AC:20:23:00:05,-97,1,5
77.8221,BE:AC:20:23:00:01,-86,1,1
78.8108,BE:AC:20:23:00:05,-92,1,5
78.8271,BE:AC:20:23:00:01,-77,1,1
79.211,BE:AC:20:23:00:05,-87,1,5
79.4292,BE:AC:20:23:00:05,-92,1,5
79.4576,BE:AC:20:23:00:01,-87,1,1
79.6206,BE:AC:20:23:00:05,-89,1,5
79.6591,BE:AC:20:23:00:01,-88,1,1
80.0459,BE:AC:20:23:00:05,-90,1,5
80.2286,BE:AC:20:23:00:05,-92,1,5
81.1119,BE:AC:20:23:00:01,-93,1,1
