SensorTimestamp(s),gyro_x,gyro_y,gyro_z
65093.5461,-0.78496,-0.53878,0.09835
65093.5561,-0.70433,-0.48197,-0.01649
65093.5661,-0.53939,-0.3543,-0.18265
65093.576,-0.41905,-0.20892,-0.31154
65093.5861,-0.35491,0.02016,-0.42699
65093.5961,-0.34697,0.18754,-0.44104
65093.6061,-0.31398,0.26939,-0.33475
65093.6161,-0.23946,0.24068,-0.20831
65093.6261,-0.1014,0.13806,-0.05253
65093.6361,-0.00672,-0.03787,0.04765
65093.646,0.03543,-0.19792,0.10873
65093.6561,0.00977,-0.27428,0.12584
65093.6661,-0.08125,-0.37568,0.11179
65093.6761,-0.2022,-0.47037,0.04948
65093.6861,-0.35003,-0.50274,-0.0617
65093.6971,-0.47892,-0.41966,-0.16432
65093.7071,-0.60903,-0.24984,-0.22419
65093.7171,-0.69822,-0.11545,-0.23274
65093.727,-0.75503,0.00794,-0.18937
65093.7371,-0.74526,0.02077,-0.11057
65093.7471,-0.56566,-0.07208,-0.00672
65093.7571,-0.34697,-0.15027,0.03971
65093.7671,-0.08919,-0.20586,0.05803
65093.7771,0.05925,-0.26512,0.08552
65093.787,0.11179,-0.31948,0.14539
65093.7971,0.09468,-0.35247,0.19792
65093.8071,0.01527,-0.35064,0.19792
65093.8171,-0.09529,-0.3543,0.18876
65093.8271,-0.2303,-0.40073,0.1967
65093.8369,-0.30543,-0.41966,0.20281
65093.8471,-0.33109,-0.36163,0.17776
65093.857,-0.29627,-0.29749,0.12401
65093.8671,-0.21502,-0.27306,0.07208
65093.8771,-0.14233,-0.27245,0.07636
65093.8871,-0.0507,-0.28039,0.13439
65093.8971,-0.00794,-0.35064,0.19975
65093.9071,-0.01161,-0.42883,0.22846
65093.917,-0.04337,-0.45998,0.18204
65093.9271,-0.10201,-0.45387,0.08491
65093.9371,-0.1405,-0.44166,-0.00122
65093.9471,-0.18082,-0.40134,-0.08552
65093.9571,-0.17287,-0.34453,-0.12828
65093.9671,-0.14355,-0.32559,-0.15333
65093.977,-0.11057,-0.34636,-0.16554
65093.9871,-0.11179,-0.35064,-0.1857
65093.9971,-0.15394,-0.31154,-0.22052
65094.0071,-0.25045,-0.2474,-0.22663
65094.0171,-0.30849,-0.19548,-0.2022
65094.0271,-0.35064,-0.20342,-0.16554
65094.037,-0.33231,-0.26267,-0.16066
65094.0471,-0.25595,-0.31398,-0.17104
65094.0571,-0.18021,-0.34941,-0.19487
65094.0671,-0.11118,-0.36957,-0.24068
65094.0771,-0.07697,-0.33353,-0.23946
65094.0871,-0.06292,-0.30543,-0.18265
65094.0971,-0.06231,-0.31704,-0.07819
65094.107,-0.0898,-0.33537,0.05498
65094.1171,-0.1179,-0.3317,0.15516
65094.1271,-0.135,-0.29444,0.2584
65094.1371,-0.13867,-0.21991,0.28039
65094.1471,-0.13073,-0.10934,0.2248
65094.1571,-0.10324,0.00367,0.14722
65094.167,-0.0788,0.12645,0.11484
65094.1771,-0.06781,0.20525,0.15149
65094.1871,-0.06048,0.17837,0.23824
65094.1971,-0.03054,0.10812,0.29993
65094.2071,0.02688,0.0336,0.31582
65094.2171,0.06964,-0.00244,0.27184
65094.227,0.1014,-0.03299,0.21441
65094.2371,0.11545,-0.0226,0.18998
65094.2471,0.1179,-0.01405,0.16066
65094.2571,0.13011,-0.02321,0.13378
65094.2681,0.15638,-0.02138,0.11484
65094.2781,0.16188,-0.01222,0.1014
65094.2881,0.13134,0.02077,0.10568
65094.2981,0.0843,0.09529,0.11973
65094.3089,0.04093,0.16677,0.13867
65094.3191,0.04459,0.18937,0.14539
65094.3301,0.11301,0.18204,0.14783
65094.3401,0.18204,0.14539,0.17898
65094.3501,0.21625,0.03543,0.22419
65094.3601,0.19975,-0.06903,0.24312
65094.37,0.14783,-0.12584,0.26084
65094.3801,0.11057,-0.05986,0.25962
65094.3901,0.08735,0.08858,0.24679
65094.4001,0.09407,0.20281,0.24984
65094.4101,0.14722,0.30116,0.3372
65094.4201,0.25351,0.29993,0.48197
65094.43,0.40928,0.24496,0.61881
65094.4401,0.5339,0.21991,0.69455
65094.4501,0.63835,0.06903,0.75564
65094.46,0.67073,-0.0281,0.8094
65094.4701,0.71288,-0.21258,0.8491
65094.48,0.75808,-0.36713,0.81978
65094.49,0.81001,-0.39767,0.70555
65094.5001,0.7703,-0.25717,0.59376
65094.5101,0.63041,-0.07086,0.54367
65094.5209,0.50152,-0.00183,0.58032
65094.5321,0.47709,0.08369,0.66829
65094.542,0.5681,0.19548,0.70738
65094.552,0.697,0.25717,0.7251
65094.5621,0.8039,0.26023,0.72143
65094.5721,0.91324,0.3427,0.6805
65094.5821,0.9499,0.40867,0.62369
65094.5921,0.96211,0.41478,0.52595
65094.6019,0.91447,0.43677,0.42028
65094.612,0.81978,0.44715,0.39218
65094.6221,0.71044,0.45937,0.4331
65094.6321,0.56139,0.54795,0.49236
65094.6421,0.41722,0.67073,0.52718
65094.6521,0.26573,0.74098,0.53267
65094.6631,0.16005,0.80695,0.5284
65094.6741,0.0733,0.89003,0.53878
65094.6841,0.04581,0.90775,0.56994
65094.6941,0.05131,0.85827,0.65057
65094.7041,0.08186,0.86132,0.71777
65094.714,0.09285,0.83017,0.72632
65094.724,0.08308,0.78618,0.69761
65094.7341,0.07514,0.7813,0.68173
