AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z,Accuracy
0.0536,65093.5461,-0.78496,-0.53878,0.09835,3
0.0553,65093.5561,-0.70433,-0.48197,-0.01649,3
0.0573,65093.5661,-0.53939,-0.3543,-0.18265,3
0.0591,65093.576,-0.41905,-0.20892,-0.31154,3
0.0601,65093.5861,-0.35491,0.02016,-0.42699,3
0.0619,65093.5961,-0.34697,0.18754,-0.44104,3
0.0634,65093.6061,-0.31398,0.26939,-0.33475,3
0.0661,65093.6161,-0.23946,0.24068,-0.20831,3
0.0877,65093.6261,-0.1014,0.13806,-0.05253,3
0.0898,65093.6361,-0.00672,-0.03787,0.04765,3
0.117,65093.646,0.03543,-0.19792,0.10873,3
0.1189,65093.6561,0.00977,-0.27428,0.12584,3
0.1202,65093.6661,-0.08125,-0.37568,0.11179,3
0.1289,65093.6761,-0.2022,-0.47037,0.04948,3
0.1518,65093.6861,-0.35003,-0.50274,-0.0617,3
0.1564,65093.6971,-0.47892,-0.41966,-0.16432,3
0.1583,65093.7071,-0.60903,-0.24984,-0.22419,3
0.1689,65093.7171,-0.69822,-0.11545,-0.23274,3
0.1785,65093.727,-0.75503,0.00794,-0.18937,3
0.1863,65093.7371,-0.74526,0.02077,-0.11057,3
0.1986,65093.7471,-0.56566,-0.07208,-0.00672,3
0.2073,65093.7571,-0.34697,-0.15027,0.03971,3
0.2188,65093.7671,-0.08919,-0.20586,0.05803,3
0.2263,65093.7771,0.05925,-0.26512,0.08552,3
0.2393,65093.787,0.11179,-0.31948,0.14539,3
0.2467,65093.7971,0.09468,-0.35247,0.19792,3
0.2615,65093.8071,0.01527,-0.35064,0.19792,3
0.2817,65093.8171,-0.09529,-0.3543,0.18876,3
0.2959,65093.8271,-0.2303,-0.40073,0.1967,3
0.3039,65093.8369,-0.30543,-0.41966,0.20281,3
0.3088,65093.8471,-0.33109,-0.36163,0.17776,3
0.3111,65093.857,-0.29627,-0.29749,0.12401,3
0.3198,65093.8671,-0.21502,-0.27306,0.07208,3
0.3265,65093.8771,-0.14233,-0.27245,0.07636,3
0.3393,65093.8871,-0.0507,-0.28039,0.13439,3
0.3476,65093.8971,-0.00794,-0.35064,0.19975,3
0.3587,65093.9071,-0.01161,-0.42883,0.22846,3
0.3664,65093.917,-0.04337,-0.45998,0.18204,3
0.3794,65093.9271,-0.10201,-0.45387,0.08491,3
0.3864,65093.9371,-0.1405,-0.44166,-0.00122,3
0.3986,65093.9471,-0.18082,-0.40134,-0.08552,3
0.41,65093.9571,-0.17287,-0.34453,-0.12828,3
0.429,65093.9671,-0.14355,-0.32559,-0.15333,3
0.4319,65093.977,-0.11057,-0.34636,-0.16554,3
0.4434,65093.9871,-0.11179,-0.35064,-0.1857,3
0.4482,65093.9971,-0.15394,-0.31154,-0.22052,3
0.4621,65094.0071,-0.25045,-0.2474,-0.22663,3
0.4705,65094.0171,-0.30849,-0.19548,-0.2022,3
0.4802,65094.0271,-0.35064,-0.20342,-0.16554,3
0.492,65094.037,-0.33231,-0.26267,-0.16066,3
0.5035,65094.0471,-0.25595,-0.31398,-0.17104,3
