SensorTimestamp(s),mag_x,mag_y,mag_z
65093.5402,-2.1,-34.14,-45.42
65093.5602,-2.4,-34.08,-45.66
65093.5802,-2.64,-34.26,-46.02
65093.6002,-2.34,-34.56,-46.5
65093.6202,-2.4,-34.5,-46.56
65093.6402,-2.28,-34.32,-46.56
65093.6602,-2.04,-34.26,-46.26
65093.6802,-1.98,-34.32,-46.5
65093.7012,-1.74,-34.44,-46.86
65093.7211,-1.44,-34.68,-47.16
65093.7412,-0.9,-34.68,-47.76
65093.7612,-0.96,-34.62,-47.76
65093.7812,-1.2,-34.38,-47.88
65093.8012,-1.32,-34.38,-48
65093.8212,-1.92,-34.56,-48
65093.8412,-2.16,-34.56,-48
65093.8612,-2.22,-34.44,-48.06
65093.8812,-2.58,-34.44,-48.36
65093.9012,-2.58,-34.44,-48.42
65093.9212,-2.76,-34.56,-48.9
65093.9412,-2.82,-34.56,-49.02
65093.9612,-2.94,-34.44,-49.02
65093.9812,-3,-34.26,-48.84
65094.0012,-2.52,-33.78,-48.66
65094.0212,-2.16,-33.96,-48.72
65094.0412,-1.74,-33.54,-48.78
65094.0612,-1.5,-33.54,-49.2
65094.0812,-2.04,-34.14,-49.38
65094.1012,-2.52,-34.02,-49.32
65094.1212,-2.7,-34.14,-49.26
65094.1412,-2.94,-34.02,-49.26
65094.1612,-2.76,-33.96,-49.92
65094.1812,-2.64,-34.02,-50.22
65094.2012,-3.18,-34.02,-50.7
65094.2212,-3.54,-34.02,-50.64
65094.2412,-3.54,-33.66,-50.28
65094.2622,-3.72,-33.48,-49.74
65094.2822,-3.54,-33.72,-49.44
65094.303,-3.42,-33.72,-50.04
65094.3242,-3.42,-33.84,-50.16
65094.3442,-3.42,-34.02,-50.52
65094.3642,-3.36,-33.72,-50.4
65094.3842,-3.12,-33.66,-49.68
65094.4042,-3.18,-33.96,-49.2
65094.4242,-3.36,-34.2,-49.02
65094.4442,-3.54,-34.56,-49.02
65094.4642,-3.84,-34.92,-49.02
65094.4842,-4.5,-34.86,-48.78
65094.5042,-4.5,-34.56,-48.6
65094.5262,-4.8,-34.68,-47.88
65094.5461,-4.98,-34.86,-47.4
65094.5662,-4.92,-34.86,-47.1
65094.5862,-5.04,-35.04,-46.5
65094.6061,-5.7,-34.86,-46.02
65094.6262,-6.18,-34.44,-45.84
65094.6462,-6.48,-34.32,-45.36
65094.6682,-6.66,-34.14,-44.58
65094.6882,-6.66,-33.96,-44.58
65094.7082,-6.72,-34.44,-44.22
65094.7282,-6.84,-34.68,-44.82
65094.7482,-7.14,-34.68,-45.36
65094.7681,-7.26,-34.98,-45.54
65094.7892,-7.26,-34.62,-45.84
65094.8092,-7.2,-34.56,-45.36
65094.8292,-7.38,-34.68,-45.54
65094.8502,-7.38,-34.44,-45.12
65094.8702,-8.28,-34.26,-45
65094.8902,-8.76,-34.44,-45.36
65094.9112,-8.76,-33.96,-45.66
65094.9312,-8.46,-34.38,-46.08
65094.9512,-8.04,-34.8,-46.38
65094.9712,-8.34,-34.26,-46.26
65094.9912,-8.88,-34.38,-46.38
65095.0122,-9.9,-33.66,-46.74
65095.0332,-9.9,-33.3,-46.98
65095.0532,-10.26,-33.06,-47.7
65095.0732,-10.44,-32.76,-48.06
65095.0932,-10.5,-32.46,-48.54
65095.1132,-11.1,-31.98,-49.26
65095.1342,-11.1,-31.98,-49.32
65095.1542,-11.22,-31.5,-49.68
65095.1742,-11.28,-31.56,-49.92
65095.1942,-11.28,-31.62,-50.04
65095.2152,-11.04,-31.68,-49.86
65095.2352,-11.04,-32.16,-49.62
65095.2552,-10.68,-32.28,-48.84
65095.2752,-10.38,-32.46,-47.76
65095.2952,-10.26,-33,-47.34
65095.3152,-9.66,-32.82,-46.5
65095.3352,-9.12,-33.24,-45.96
65095.3552,-8.58,-33.42,-45.24
65095.375,-7.92,-32.88,-43.92
65095.3952,-7.44,-33.36,-42.72
65095.4152,-6.96,-33.06,-41.28
65095.4352,-6.36,-32.94,-40.38
65095.445,-5.94,-33.12,-39.36
65095.455,-5.94,-33.12,-39.36
65095.4752,-5.4,-32.88,-38.04
65095.4952,-4.56,-33.24,-37.32
65095.5152,-3.48,-32.94,-36.36
65095.5352,-2.46,-32.64,-36.18
65095.5552,-1.44,-32.52,-35.88
65095.5752,-0.66,-31.86,-35.7
65095.5952,0.36,-32.16,-36.06
65095.6152,1.74,-31.74,-35.94
65095.6362,2.7,-31.74,-36.78
65095.6562,4.02,-31.98,-37.44
65095.6762,4.38,-31.32,-37.68
65095.6962,4.5,-31.56,-38.34
65095.7162,5.04,-31.56,-39
65095.7362,4.68,-31.08,-39.6
65095.7562,5.16,-31.5,-40.44
65095.7762,5.34,-31.98,-40.86
65095.7962,4.92,-31.98,-41.16
65095.8162,5.16,-32.46,-41.7
65095.8372,4.92,-32.52,-42.48
65095.8572,4.86,-32.28,-43.68
65095.8772,5.04,-32.46,-45.18
65095.8972,4.56,-32.52,-46.2
65095.9172,4.32,-32.94,-46.38
65095.9382,3.9,-33.24,-46.68
65095.9582,3.42,-33.48,-46.44
65095.9782,3.3,-33.66,-46.44
65095.9982,3.12,-33.78,-47.28
65096.0181,2.94,-33.54,-47.58
65096.0382,3,-33.72,-48.42
65096.0592,2.7,-34.14,-49.2
65096.0802,2.52,-34.2,-49.56
65096.1002,1.86,-35.22,-49.86
65096.1212,1.08,-35.52,-50.22
65096.1412,0.24,-35.76,-50.22
65096.1611,-0.54,-35.82,-49.98
65096.1812,-1.08,-35.58,-49.62
65096.2011,-1.5,-35.58,-49.14
65096.2212,-1.44,-35.4,-49.14
65096.2412,-1.5,-35.34,-49.68
65096.2612,-1.8,-34.86,-51.06
65096.2822,-2.22,-34.32,-52.62
65096.3022,-1.98,-33.96,-54.84
65096.3222,-1.74,-33.18,-57.06
65096.3422,-1.8,-31.86,-59.4
65096.3622,-1.44,-30,-61.44
65096.3822,-2.1,-27.72,-63.42
65096.4022,-2.76,-26.16,-64.74
65096.4222,-2.28,-25.2,-65.64
65096.4422,-2.4,-25.2,-65.93999
65096.4622,-2.64,-25.74,-64.92
65096.4822,-2.94,-26.7,-63.96
65096.5022,-4.26,-27.9,-61.86
65096.5221,-5.34,-29.1,-60.54
65096.5422,-5.88,-29.52,-59.76
65096.5621,-6.3,-29.64,-59.64
65096.5821,-5.64,-29.22,-60.78
65096.6022,-5.46,-28.92,-61.14
65096.6222,-5.46,-28.56,-61.68
65096.6422,-5.64,-28.56,-61.62
65096.6622,-7.08,-28.86,-60.84
65096.6822,-7.92,-28.32,-60.42
65096.7022,-9.12,-28.56,-59.64
65096.7221,-10.26,-28.62,-59.16
65096.7422,-10.2,-28.14,-58.74
65096.7622,-10.68,-28.02,-58.26
65096.7822,-10.74,-27.66,-57.6
65096.8022,-10.92,-27.48,-56.76
65096.8242,-11.1,-28.08,-55.5
65096.8442,-11.52,-28.62,-53.76
65096.8642,-11.82,-29.46,-51.66
65096.8852,-11.64,-29.94,-48.9
65096.9052,-11.76,-30.6,-46.68
65096.9252,-11.04,-31.26,-44.94
65096.9462,-10.68,-31.38,-44.28
65096.9662,-10.02,-32.04,-44.46
65096.9862,-9.24,-32.1,-44.52
65097.0062,-8.76,-32.46,-44.82
65097.026,-7.26,-33.12,-44.04
65097.0462,-6.06,-33.36,-43.2
65097.0662,-4.74,-33.84,-42.3
65097.0862,-2.58,-33.84,-41.16
65097.1082,-0.96,-33.96,-40.8
65097.1282,0.72,-33.72,-40.62
65097.1482,2.34,-33.12,-40.44
65097.1682,3.9,-32.7,-40.62
65097.1882,5.28,-31.86,-41.04
65097.2082,6.18,-31.26,-41.52
