AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.082,5519.816,-0.12795,-0.96405,9.936
0.089,5519.832,-0.108,-0.96405,10.01295
0.091,5519.848,-0.08895,-0.96405,9.99405
0.092,5519.863,-0.051,-1.002,9.91695
0.092,5519.879,-0.03195,-0.98295,9.89805
0.094,5519.894,-0.108,-0.96405,9.85995
0.094,5519.911,-0.08895,-0.98295,9.80205
0.11,5519.926,0.04395,-1.03995,9.822
0.126,5519.942,-0.01305,-1.002,9.85995
0.142,5519.958,-0.16605,-0.92505,9.879
0.157,5519.973,-0.204,-0.92505,9.936
0.174,5519.989,-0.16605,-1.02105,9.975
0.19,5520.004,-0.01305,-1.03995,9.95595
0.22,5520.021,-0.051,-0.98295,9.84105
0.223,5520.037,-0.07005,-0.906,9.80205
0.237,5520.053,-0.08895,-0.906,9.879
0.253,5520.068,-0.07005,-0.906,9.84105
0.268,5520.084,-0.03195,-0.94395,9.84105
0.284,5520.1,0.006,-0.96405,9.74505
0.299,5520.115,0.02505,-1.002,9.80205
0.316,5520.131,-0.051,-1.02105,9.95595
0.332,5520.147,-0.12795,-0.98295,10.09005
0.353,5520.163,-0.12795,-0.96405,10.06995
0.363,5520.179,-0.108,-0.94395,9.936
0.379,5520.194,-0.07005,-0.98295,9.822
0.394,5520.21,-0.051,-1.02105,9.822
0.409,5520.225,-0.051,-1.02105,9.822
0.427,5520.242,-0.08895,-0.98295,9.74505
0.442,5520.257,-0.147,-0.92505,9.70695
0.458,5520.273,-0.147,-0.88695,9.80205
0.474,5520.289,-0.108,-0.88695,9.95595
0.49,5520.304,-0.051,-0.98295,10.01295
0.505,5520.32,-0.051,-1.002,9.99405
0.52,5520.336,-0.051,-1.002,9.99405
0.537,5520.352,-0.07005,-1.02105,9.975
0.552,5520.368,-0.108,-0.96405,9.936
0.568,5520.383,-0.12795,-0.96405,9.879
0.584,5520.399,-0.147,-0.906,10.01295
0.599,5520.415,-0.18495,-0.906,10.032
0.615,5520.431,-0.147,-0.92505,9.89805
0.63,5520.446,-0.08895,-0.92505,9.84105
0.647,5520.462,-0.03195,-0.96405,9.89805
0.662,5520.478,-0.051,-0.94395,9.85995
0.677,5520.493,-0.01305,-0.92505,9.74505
0.694,5520.509,-0.01305,-0.92505,9.726
0.713,5520.524,-0.01305,-0.906,9.822
0.726,5520.541,-0.01305,-0.92505,9.91695
0.741,5520.557,-0.051,-0.94395,9.879
0.757,5520.572,-0.051,-0.906,9.879
0.775,5520.588,-0.051,-0.92505,9.91695
0.791,5520.604,-0.108,-0.82905,9.91695
0.804,5520.62,-0.108,-0.86805,9.91695
0.819,5520.635,-0.08895,-0.849,9.66795
0.835,5520.651,0.006,-0.96405,9.783
0.851,5520.667,-0.03195,-0.98295,10.06995
0.867,5520.683,-0.18495,-0.86805,9.99405
0.883,5520.699,-0.08895,-0.98295,9.84105
0.899,5520.714,-0.12795,-0.96405,9.80205
0.914,5520.73,-0.108,-0.88695,9.84105
0.929,5520.745,-0.16605,-0.906,9.85995
0.947,5520.762,-0.108,-0.86805,9.89805
0.962,5520.777,-0.16605,-0.86805,9.85995
0.978,5520.793,-0.07005,-0.849,9.975
0.999,5520.809,-0.08895,-0.81,9.879
1.009,5520.824,0.02505,-0.92505,9.70695
1.027,5520.84,0.063,-0.96405,9.76395
1.04,5520.856,0.02505,-0.92505,9.84105
1.056,5520.872,-0.147,-0.849,9.84105
1.072,5520.888,-0.26205,-0.82905,9.89805
1.088,5520.903,-0.204,-0.88695,9.99405
1.105,5520.919,-0.16605,-0.92505,9.936
1.119,5520.934,-0.18495,-0.94395,9.975
1.135,5520.951,-0.22305,-0.88695,9.95595
1.151,5520.966,-0.24195,-0.88695,9.879
1.167,5520.982,-0.204,-0.92505,9.89805
1.182,5520.998,-0.18495,-0.92505,9.95595
1.198,5521.013,-0.16605,-0.88695,10.01295
1.218,5521.029,-0.22305,-0.849,9.95595
1.229,5521.044,-0.204,-0.77205,9.84105
1.245,5521.061,-0.24195,-0.81,9.783
1.261,5521.077,-0.204,-0.849,9.822
1.277,5521.092,-0.12795,-0.88695,9.80205
1.294,5521.108,-0.108,-0.906,9.85995
