AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z
0.08,5519.808,0.0022,0.00192,-0.00344
0.088,5519.824,0.00206,0.00206,-0.00357
0.09,5519.832,0.00206,0.00165,-0.00289
0.09,5519.84,0.00275,0.00234,-0.0033
0.091,5519.848,0.0033,0.00234,-0.0033
0.092,5519.863,0.00289,0.00124,-0.00247
0.092,5519.871,0.00261,0.00041,-0.00069
0.093,5519.879,0.00234,-0.00082,0.0011
0.093,5519.887,0.00316,-0.0011,0.00206
0.094,5519.903,0.00302,-0.00082,0.00206
0.097,5519.911,0.00234,-0.00165,0.0033
0.102,5519.919,0.00179,-0.00261,0.00481
0.112,5519.926,0.00082,-0.00412,0.00632
0.118,5519.934,-0.00027,-0.00577,0.00811
0.127,5519.942,-0.00137,-0.00632,0.0924
0.134,5519.95,-0.0011,-0.0066,0.10409
0.144,5519.958,-0.00069,-0.00591,0.10257
0.15,5519.966,-0.00055,-0.00399,0.08731
0.168,5519.982,-0.00151,-0.00344,0.00825
0.175,5519.989,-0.0022,-0.00289,0.08731
0.184,5519.997,-0.0022,-0.00247,0.00839
0.198,5520.013,-0.00179,-0.00179,0.00756
0.221,5520.021,-0.00137,-0.00055,0.00674
0.222,5520.029,-0.00096,0.00041,0.00591
0.223,5520.037,-0.00027,0.00082,0.00522
0.228,5520.044,0.00041,0.00124,0.00481
0.237,5520.053,0.00096,0.00137,0.0044
0.244,5520.06,0.00192,0.00192,0.00399
0.256,5520.068,0.00316,0.00247,0.00371
0.264,5520.076,0.00412,0.00206,0.00344
0.27,5520.084,0.0044,0.00151,0.0033
0.277,5520.092,0.00412,0.00014,0.00371
0.285,5520.1,0.00371,-0.00165,0.00399
0.292,5520.108,0.00316,-0.00357,0.00399
0.308,5520.123,0.00289,-0.00385,0.00357
0.317,5520.131,0.0022,-0.00357,0.00124
0.325,5520.139,0.00192,-0.00302,-0.00124
0.332,5520.147,0.00096,-0.00344,-0.00234
0.355,5520.163,-0.00014,-0.00385,-0.00261
0.363,5520.179,-0.00069,-0.00371,-0.00357
0.372,5520.186,-0.00137,-0.0033,-0.00454
0.379,5520.194,-0.00151,-0.00192,-0.00536
0.388,5520.202,-0.00206,-0.00055,-0.00577
0.395,5520.21,-0.00247,0.0011,-0.0066
0.403,5520.218,-0.0033,0.00206,-0.00784
0.418,5520.233,-0.00371,0.0022,-0.00729
0.429,5520.242,-0.0044,0.00206,-0.00674
0.434,5520.249,-0.00467,0.00261,-0.00742
0.445,5520.257,-0.00385,0.00385,-0.00784
0.459,5520.273,-0.0033,0.00426,-0.00742
0.467,5520.281,-0.00151,0.00481,-0.00687
0.475,5520.289,-0.00027,0.00495,-0.00674
0.482,5520.297,0.00124,0.00467,-0.00632
0.491,5520.304,0.00192,0.00399,-0.0055
0.499,5520.312,0.00234,0.0033,-0.00412
0.51,5520.32,0.00247,0.00275,-0.00261
0.519,5520.328,0.00234,0.00165,-0.00041
0.521,5520.336,0.00261,0.00027,0.00179
0.529,5520.344,0.0022,-0.00096,0.00234
0.538,5520.352,0.00192,-0.00151,0.00289
0.545,5520.36,0.0011,-0.0022,0.00357
0.552,5520.368,0.00082,-0.00206,0.00371
