AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.082,5519.816,-0.12795,-0.96405,0.12599999999999945,0.0022,0.00192,-0.00344,-12.24375,50.2875,-33.975
0.089,5519.832,-0.108,-0.96405,0.20294999999999952,0.00206,0.00165,-0.00289,-12.28125,50.2875,-34.0125
0.091,5519.848,-0.08895,-0.96405,0.18404999999999916,0.0033,0.00234,-0.0033,-12.28125,50.26875,-34.03125
0.092,5519.863,-0.051,-1.002,0.10694999999999943,0.00289,0.00124,-0.00247,-12.2625,50.25,-34.10625
0.092,5519.879,-0.03195,-0.98295,0.08804999999999907,0.00234,-0.00082,0.0011,-12.2625,50.23125,-34.2
0.094,5519.894,-0.108,-0.96405,0.04994999999999905,0.00316,-0.0011,0.00206,-12.24375,50.23125,-34.275
0.094,5519.911,-0.08895,-0.98295,-0.007950000000001012,0.00234,-0.00165,0.0033,-12.20625,50.2125,-34.40625
0.11,5519.926,0.04395,-1.03995,0.011999999999998678,0.00082,-0.00412,0.00632,-12.1875,50.19375,-34.48125
0.126,5519.942,-0.01305,-1.002,0.04994999999999905,-0.00137,-0.00632,0.0924,-12.13125,50.15625,-34.63125
0.142,5519.958,-0.16605,-0.92505,0.06899999999999906,-0.00069,-0.00591,0.10257,-12.1125,50.1375,-34.74375
0.157,5519.973,-0.204,-0.92505,0.12599999999999945,-0.00055,-0.00399,0.08731,-12.05625,50.11875,-34.875
0.174,5519.989,-0.16605,-1.02105,0.16499999999999915,-0.0022,-0.00289,0.08731,-12.01875,50.11875,-34.95
0.19,5520.004,-0.01305,-1.03995,0.14594999999999914,-0.0022,-0.00247,0.00839,-12.01875,50.1375,-34.95
0.22,5520.021,-0.051,-0.98295,0.03104999999999869,-0.00137,-0.00055,0.00674,-12.01875,50.1375,-34.96875
0.223,5520.037,-0.07005,-0.906,-0.007950000000001012,-0.00027,0.00082,0.00522,-12.01875,50.1375,-34.9875
0.237,5520.053,-0.08895,-0.906,0.06899999999999906,0.00096,0.00137,0.0044,-11.94375,50.1375,-35.11875
0.253,5520.068,-0.07005,-0.906,0.03104999999999869,0.00316,0.00247,0.00371,-11.94375,50.1375,-35.15625
0.268,5520.084,-0.03195,-0.94395,0.03104999999999869,0.0044,0.00151,0.0033,-11.90625,50.15625,-35.15625
0.284,5520.1,0.006,-0.96405,-0.06494999999999962,0.00371,-0.00165,0.00399,-11.8875,50.15625,-35.19375
0.299,5520.115,0.02505,-1.002,-0.007950000000001012,0.00316,-0.00357,0.00399,-11.8875,50.19375,-35.175
0.316,5520.131,-0.051,-1.02105,0.14594999999999914,0.0022,-0.00357,0.00124,-11.90625,50.19375,-35.175
0.332,5520.147,-0.12795,-0.98295,0.28004999999999924,0.00096,-0.00344,-0.00234,-11.925,50.19375,-35.11875
0.353,5520.163,-0.12795,-0.96405,0.2599499999999999,-0.00014,-0.00385,-0.00261,-11.925,50.2125,-34.96875
0.363,5520.179,-0.108,-0.94395,0.12599999999999945,-0.00069,-0.00371,-0.00357,-11.9625,50.2125,-34.89375
0.379,5520.194,-0.07005,-0.98295,0.011999999999998678,-0.00151,-0.00192,-0.00536,-11.9625,50.23125,-34.8375
0.394,5520.21,-0.051,-1.02105,0.011999999999998678,-0.00247,0.0011,-0.0066,-12.01875,50.23125,-34.6875
0.409,5520.225,-0.051,-1.02105,0.011999999999998678,-0.0033,0.00206,-0.00784,-12.0375,50.25,-34.6125
0.427,5520.242,-0.08895,-0.98295,-0.06494999999999962,-0.0044,0.00206,-0.00674,-12.09375,50.25,-34.4625
0.442,5520.257,-0.147,-0.92505,-0.10304999999999964,-0.00385,0.00385,-0.00784,-12.1125,50.23125,-34.40625
0.458,5520.273,-0.147,-0.88695,-0.007950000000001012,-0.0033,0.00426,-0.00742,-12.13125,50.25,-34.2375
0.474,5520.289,-0.108,-0.88695,0.14594999999999914,-0.00027,0.00495,-0.00674,-12.15,50.23125,-34.1625
0.49,5520.304,-0.051,-0.98295,0.20294999999999952,0.00192,0.00399,-0.0055,-12.15,50.23125,-34.1625
0.505,5520.32,-0.051,-1.002,0.18404999999999916,0.00247,0.00275,-0.00261,-12.15,50.2125,-34.125
0.52,5520.336,-0.051,-1.002,0.18404999999999916,0.00261,0.00027,0.00179,-12.16875,50.2125,-34.125
0.537,5520.352,-0.07005,-1.02105,0.16499999999999915,0.00192,-0.00151,0.00289,-12.20625,50.2125,-34.06875
0.552,5520.368,-0.108,-0.96405,0.12599999999999945,0.00082,-0.00206,0.00371,-12.225,50.19375,-33.975
0.568,5520.383,-0.12795,-0.96405,0.06899999999999906,0.00041,-0.00137,0.00316,-12.24375,50.19375,-33.9375
0.584,5520.399,-0.147,-0.906,0.20294999999999952,0.00137,0.0,0.00165,-12.2625,50.19375,-33.84375
0.599,5520.415,-0.18495,-0.906,0.22199999999999953,0.00151,0.00082,0.00069,-12.28125,50.19375,-33.825
0.615,5520.431,-0.147,-0.92505,0.08804999999999907,0.0011,0.0022,-0.00124,-12.24375,50.19375,-33.825
0.63,5520.446,-0.08895,-0.92505,0.03104999999999869,0.00137,0.00247,-0.0011,-12.24375,50.19375,-33.8625
0.647,5520.462,-0.03195,-0.96405,0.08804999999999907,0.00124,0.00247,-0.00261,-12.2625,50.19375,-33.975
0.662,5520.478,-0.051,-0.94395,0.04994999999999905,0.00165,0.00247,-0.00426,-12.2625,50.19375,-33.975
0.677,5520.493,-0.01305,-0.92505,-0.06494999999999962,0.00179,0.00179,-0.00385,-12.28125,50.19375,-34.03125
0.694,5520.509,-0.01305,-0.92505,-0.08399999999999963,0.00247,0.00082,-0.00385,-12.28125,50.2125,-34.0875
0.713,5520.524,-0.01305,-0.906,0.011999999999998678,0.00289,-0.00027,-0.00302,-12.3,50.23125,-34.10625
0.726,5520.541,-0.01305,-0.92505,0.10694999999999943,0.00261,-0.00371,-0.00096,-12.28125,50.23125,-34.125
0.741,5520.557,-0.051,-0.94395,0.06899999999999906,0.00137,-0.0055,0.0011,-12.28125,50.25,-34.14375
0.757,5520.572,-0.051,-0.906,0.06899999999999906,0.00055,-0.07769,0.00399,-12.3,50.23125,-34.18125
0.775,5520.588,-0.051,-0.92505,0.10694999999999943,0.00041,-0.07865,0.00536,-12.31875,50.23125,-34.2375
0.791,5520.604,-0.108,-0.82905,0.10694999999999943,0.00179,-0.00605,0.00509,-12.3375,50.2125,-34.2375
0.804,5520.62,-0.108,-0.86805,0.10694999999999943,0.0033,-0.00316,0.00357,-12.3375,50.23125,-34.275
0.819,5520.635,-0.08895,-0.849,-0.14205000000000112,0.00467,-0.00124,0.00275,-12.3375,50.23125,-34.275
0.835,5520.651,0.006,-0.96405,-0.027000000000001023,0.00495,0.00014,0.00165,-12.35625,50.26875,-34.21875
0.851,5520.667,-0.03195,-0.98295,0.2599499999999999,0.0044,0.0022,0.00096,-12.35625,50.25,-34.25625
0.867,5520.683,-0.18495,-0.86805,0.18404999999999916,0.00454,0.00371,-0.00014,-12.35625,50.23125,-34.3125
0.883,5520.699,-0.08895,-0.98295,0.03104999999999869,0.0033,0.0044,-0.00027,-12.3375,50.23125,-34.36875
0.899,5520.714,-0.12795,-0.96405,-0.007950000000001012,0.00069,0.00467,-0.00151,-12.3375,50.23125,-34.425
0.914,5520.73,-0.108,-0.88695,0.03104999999999869,-0.00137,0.0044,-0.00261,-12.3375,50.25,-34.48125
0.929,5520.745,-0.16605,-0.906,0.04994999999999905,-0.00179,0.00509,-0.00302,-12.3375,50.23125,-34.4625
0.947,5520.762,-0.108,-0.86805,0.08804999999999907,-0.00179,0.00536,-0.00426,-12.31875,50.23125,-34.425
0.962,5520.777,-0.16605,-0.86805,0.04994999999999905,-0.00234,0.00481,-0.00357,-12.28125,50.23125,-34.44375
0.978,5520.793,-0.07005,-0.849,0.16499999999999915,-0.0,0.00495,-0.00426,-12.3,50.26875,-34.44375
0.999,5520.809,-0.08895,-0.81,0.06899999999999906,0.00302,0.00412,-0.00357,-12.31875,50.25,-34.48125
1.009,5520.824,0.02505,-0.92505,-0.10304999999999964,0.00261,0.00302,-0.00261,-12.31875,50.23125,-34.48125
1.027,5520.84,0.063,-0.96405,-0.046050000000001035,0.00275,-0.00014,-0.00041,-12.31875,50.2125,-34.48125
1.04,5520.856,0.02505,-0.92505,0.03104999999999869,0.00302,-0.00357,0.00179,-12.31875,50.2125,-34.48125
1.056,5520.872,-0.147,-0.849,0.03104999999999869,0.00275,-0.00495,0.00247,-12.3375,50.25,-34.5375
1.072,5520.888,-0.26205,-0.82905,0.08804999999999907,0.00124,-0.00536,0.00385,-12.31875,50.25,-34.51875
1.088,5520.903,-0.204,-0.88695,0.18404999999999916,0.00069,-0.0044,0.00385,-12.31875,50.23125,-34.55625
1.105,5520.919,-0.16605,-0.92505,0.12599999999999945,0.00014,-0.00206,0.00165,-12.31875,50.2125,-34.575
1.119,5520.934,-0.18495,-0.94395,0.16499999999999915,-0.00027,0.00027,0.00041,-12.3,50.2125,-34.51875
1.135,5520.951,-0.22305,-0.88695,0.14594999999999914,-0.00192,0.0044,-0.00302,-12.31875,50.175,-34.5375
1.151,5520.966,-0.24195,-0.88695,0.06899999999999906,-0.00055,0.10189,-0.00715,-12.31875,50.19375,-34.5375
1.167,5520.982,-0.204,-0.92505,0.08804999999999907,-0.00055,0.13104,-0.09089,-12.31875,50.19375,-34.5
1.182,5520.998,-0.18495,-0.92505,0.14594999999999914,-0.0,0.16239,-0.10546,-12.3375,50.175,-34.4625
1.198,5521.013,-0.16605,-0.88695,0.20294999999999952,0.00055,0.15538,-0.09309,-12.3375,50.175,-34.44375
1.218,5521.029,-0.22305,-0.849,0.14594999999999914,0.00179,0.14245,-0.09708,-12.3375,50.1375,-34.425
1.229,5521.044,-0.204,-0.77205,0.03104999999999869,0.00302,0.13145,-0.00825,-12.35625,50.15625,-34.425
1.245,5521.061,-0.24195,-0.81,-0.027000000000001023,0.00275,0.09281,-0.0055,-12.375,50.175,-34.425
1.261,5521.077,-0.204,-0.849,0.011999999999998678,0.00371,0.00481,-0.00385,-12.39375,50.175,-34.36875
1.277,5521.092,-0.12795,-0.88695,-0.007950000000001012,0.00316,-0.00055,-0.00179,-12.375,50.1375,-34.3125
1.294,5521.108,-0.108,-0.906,0.04994999999999905,0.00316,-0.00275,-0.00069,-12.375,50.1375,-34.29375
1.309,5521.124,-0.108,-0.906,0.10694999999999943,0.00275,-0.0044,-0.00096,-12.4125,50.175,-34.275
1.324,5521.14,-0.147,-0.82905,0.12599999999999945,0.0022,-0.00605,-0.00151,-12.4875,50.19375,-34.2375
1.339,5521.155,-0.204,-0.753,0.011999999999998678,0.00179,-0.00646,-0.00165,-12.50625,50.19375,-34.2
1.356,5521.171,-0.204,-0.753,0.08804999999999907,0.00192,-0.00577,-0.00275,-12.5625,50.175,-34.125
1.371,5521.187,-0.26205,-0.79095,0.24104999999999954,0.00275,-0.00344,-0.0055,-12.61875,50.175,-34.10625
1.387,5521.203,-0.204,-0.81,0.2599499999999999,0.00275,-0.00247,-0.0055,-12.65625,50.23125,-34.10625
1.403,5521.218,-0.16605,-0.86805,0.14594999999999914,0.00316,-0.00041,-0.00632,-12.69375,50.26875,-34.10625
1.42,5521.234,-0.12795,-0.94395,0.03104999999999869,0.00261,0.00027,-0.00674,-12.80625,50.30625,-34.10625
1.434,5521.25,-0.16605,-0.906,-0.06494999999999962,0.00137,0.00151,-0.00811,-12.84375,50.34375,-34.10625
1.45,5521.265,-0.22305,-0.81,0.06899999999999906,0.00124,0.00261,-0.08883,-12.8625,50.3625,-34.0875
1.466,5521.281,-0.28095,-0.81,0.10694999999999943,0.00206,0.00495,-0.00866,-12.9375,50.38125,-34.10625
1.482,5521.297,-0.18495,-0.88695,0.12599999999999945,0.00151,0.00536,-0.08786,-12.975,50.41875,-34.125
1.498,5521.313,-0.12795,-0.92505,0.14594999999999914,-0.00082,0.0044,-0.09845,-13.06875,50.475,-34.10625
1.513,5521.329,-0.07005,-0.906,0.04994999999999905,-0.0033,0.00179,-0.00784,-13.14375,50.475,-34.06875
1.53,5521.344,-0.07005,-0.906,-0.12300000000000111,-0.00536,-0.00192,-0.00564,-13.18125,50.475,-34.06875
1.546,5521.36,0.006,-0.849,-0.2179500000000001,-0.06999,-0.0066,-0.00275,-13.275,50.475,-34.06875
1.56,5521.376,-0.07005,-0.77205,-0.1609499999999997,-0.00536,-0.10312,-0.00082,-13.3125,50.475,-34.14375
1.576,5521.392,-0.03195,-0.79095,-0.046050000000001035,-0.00344,-0.10972,-0.00027,-13.3875,50.49375,-34.25625
1.592,5521.408,-0.03195,-0.86805,0.04994999999999905,-0.00124,-0.11894,0.00082,-13.44375,50.49375,-34.25625
1.608,5521.423,-0.07005,-0.96405,0.18404999999999916,-0.00082,-0.11564,0.0011,-13.44375,50.49375,-34.275
1.624,5521.439,-0.051,-1.11705,0.16499999999999915,-0.00165,-0.11234,0.00206,-13.48125,50.475,-34.2375
1.639,5521.454,-0.16605,-1.11705,0.08804999999999907,-0.00261,-0.10161,0.00055,-13.5,50.475,-34.2375
1.656,5521.471,-0.3,-1.098,0.08804999999999907,-0.00591,-0.00481,-0.0033,-13.5375,50.5125,-34.25625
1.671,5521.486,-0.357,-1.059,0.10694999999999943,-0.10986,0.00192,-0.00797,-13.575,50.53125,-34.25625
1.687,5521.502,-0.357,-1.03995,0.16499999999999915,-0.12925,0.10945,-0.14616,-13.65,50.53125,-34.21875
1.702,5521.518,-0.24195,-1.059,0.12599999999999945,-0.14795,0.176,-0.19305,-13.66875,50.53125,-34.21875
