AppTimestamp(s),SensorTimestamp(s),mag_x,mag_y,mag_z
0.081,5519.813,-12.24375,50.2875,-33.975
0.087,5519.823,-12.2625,50.2875,-33.99375
0.09,5519.833,-12.28125,50.2875,-34.0125
0.091,5519.843,-12.28125,50.26875,-34.03125
0.091,5519.853,-12.28125,50.25,-34.0875
0.092,5519.863,-12.2625,50.25,-34.10625
0.092,5519.873,-12.2625,50.23125,-34.14375
0.093,5519.883,-12.2625,50.23125,-34.2
0.093,5519.893,-12.24375,50.23125,-34.275
0.094,5519.903,-12.225,50.2125,-34.33125
0.097,5519.913,-12.20625,50.2125,-34.40625
0.107,5519.923,-12.1875,50.19375,-34.48125
0.118,5519.933,-12.16875,50.15625,-34.55625
0.129,5519.943,-12.13125,50.15625,-34.63125
0.137,5519.953,-12.1125,50.1375,-34.74375
0.148,5519.963,-12.09375,50.1375,-34.81875
0.158,5519.973,-12.05625,50.11875,-34.875
0.169,5519.983,-12.01875,50.11875,-34.93125
0.178,5519.993,-12.01875,50.11875,-34.95
0.189,5520.003,-12.01875,50.1375,-34.95
0.199,5520.013,-12.01875,50.1375,-34.93125
0.222,5520.023,-12.01875,50.1375,-34.96875
0.223,5520.033,-12.01875,50.1375,-34.9875
0.228,5520.043,-11.98125,50.1375,-35.04375
0.237,5520.053,-11.94375,50.1375,-35.11875
0.248,5520.063,-11.94375,50.1375,-35.15625
0.262,5520.073,-11.925,50.1375,-35.15625
0.268,5520.083,-11.90625,50.15625,-35.15625
0.279,5520.093,-11.8875,50.15625,-35.175
0.286,5520.102,-11.8875,50.15625,-35.19375
0.299,5520.113,-11.8875,50.19375,-35.175
0.309,5520.123,-11.8875,50.19375,-35.175
0.317,5520.133,-11.90625,50.19375,-35.175
0.328,5520.143,-11.925,50.19375,-35.11875
0.338,5520.153,-11.925,50.19375,-35.025
0.356,5520.163,-11.925,50.2125,-34.96875
0.358,5520.173,-11.94375,50.2125,-34.95
0.368,5520.183,-11.9625,50.2125,-34.89375
0.378,5520.193,-11.9625,50.23125,-34.8375
0.389,5520.203,-11.98125,50.23125,-34.7625
0.396,5520.213,-12.01875,50.23125,-34.6875
0.408,5520.223,-12.0375,50.25,-34.6125
0.419,5520.233,-12.075,50.26875,-34.5375
0.43,5520.243,-12.09375,50.25,-34.4625
0.438,5520.253,-12.1125,50.23125,-34.40625
0.448,5520.263,-12.1125,50.23125,-34.3125
0.46,5520.273,-12.13125,50.25,-34.2375
0.468,5520.283,-12.15,50.25,-34.1625
0.478,5520.293,-12.15,50.23125,-34.1625
0.489,5520.303,-12.15,50.23125,-34.1625
0.5,5520.313,-12.13125,50.2125,-34.14375
0.514,5520.323,-12.15,50.2125,-34.125
0.52,5520.333,-12.16875,50.2125,-34.125
0.528,5520.343,-12.1875,50.2125,-34.10625
0.539,5520.353,-12.20625,50.2125,-34.06875
