AppTimestamp(s),MAC,Frequency,RSSI
2.718,c2:25:2f:7c:70:23,-82,
2.718,c2:25:2f:2c:70:22,-89,
2.718,dc:62:79:cb:0e:9b,-77,
2.718,b8:55:10:cc:48:30,-65,
2.718,c0:25:2f:ac:70:23,-82,
2.718,d8:32:14:8c:c9:55,-90,
2.718,d8:07:b6:32:4f:72,-94,
2.718,d8:07:b6:32:4f:73,-92,
2.718,cc:d8:43:b7:7d:43,-48,
2.718,04:09:86:27:19:3a,-81,
2.718,d8:07:b6:32:4f:32,-92,
2.718,ce:d8:43:c7:7d:42,-48,
6.718,c2:25:2f:7c:70:23,-82,
6.718,c2:25:2f:2c:70:22,-89,
6.718,dc:62:79:cb:0e:9b,-77,
6.718,b8:55:10:cc:48:30,-65,
6.718,c0:25:2f:ac:70:23,-82,
6.718,d8:32:14:8c:c9:55,-90,
6.718,d8:07:b6:32:4f:72,-94,
6.718,d8:07:b6:32:4f:73,-92,
6.718,cc:d8:43:b7:7d:43,-48,
6.718,04:09:86:27:19:3a,-81,
6.718,d8:07:b6:32:4f:32,-92,
6.718,ce:d8:43:c7:7d:42,-48,
10.723,c2:25:2f:7c:70:23,-82,
10.723,c2:25:2f:2c:70:22,-89,
10.723,dc:62:79:cb:0e:9b,-77,
10.723,b8:55:10:cc:48:30,-65,
10.723,c0:25:2f:ac:70:23,-82,
10.723,d8:32:14:8c:c9:55,-90,
10.723,d8:07:b6:32:4f:72,-94,
10.723,d8:07:b6:32:4f:73,-92,
10.723,cc:d8:43:b7:7d:43,-48,
10.723,04:09:86:27:19:3a,-81,
10.723,d8:07:b6:32:4f:32,-92,
10.723,ce:d8:43:c7:7d:42,-48,
14.717,c2:25:2f:7c:70:23,-82,
14.717,c2:25:2f:2c:70:22,-89,
14.717,dc:62:79:cb:0e:9b,-77,
14.717,b8:55:10:cc:48:30,-65,
14.717,c0:25:2f:ac:70:23,-82,
14.717,d8:32:14:8c:c9:55,-90,
14.717,d8:07:b6:32:4f:72,-94,
14.717,d8:07:b6:32:4f:73,-92,
14.717,cc:d8:43:b7:7d:43,-48,
14.717,04:09:86:27:19:3a,-81,
14.717,d8:07:b6:32:4f:32,-92,
14.717,ce:d8:43:c7:7d:42,-48,
18.728,c2:25:2f:7c:70:23,-82,
18.728,c2:25:2f:2c:70:22,-89,
18.728,dc:62:79:cb:0e:9b,-77,
18.728,b8:55:10:cc:48:30,-65,
18.728,c0:25:2f:ac:70:23,-82,
18.728,d8:32:14:8c:c9:55,-90,
18.728,d8:07:b6:32:4f:72,-94,
18.728,d8:07:b6:32:4f:73,-92,
18.728,cc:d8:43:b7:7d:43,-48,
18.728,04:09:86:27:19:3a,-81,
18.728,d8:07:b6:32:4f:32,-92,
18.728,ce:d8:43:c7:7d:42,-48,
22.721,c2:25:2f:7c:70:23,-82,
