AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z
0.0377,19586.7452,-0.11013,10.3238,7.60398
0.0399,19586.7652,-0.28491,9.28711,8.26
0.0463,19586.7853,-0.83558,7.38611,12.4307
0.0694,19586.8052,-1.0726,7.762,13.51048
0.0949,19586.8252,-2.32238,8.60237,8.71011
0.1067,19586.8453,-2.45645,8.33182,4.72855
0.1252,19586.8652,-1.99437,8.87052,2.69348
0.1446,19586.8852,-1.64482,9.35654,2.48758
0.1662,19586.9053,-2.17633,8.74362,1.96325
0.1848,19586.9253,-1.84114,9.48343,2.78685
0.2064,19586.9452,-1.47243,9.73243,4.46519
0.2273,19586.9653,-2.22182,8.96868,8.76278
0.2526,19586.9853,-2.69827,7.63272,8.49463
0.2699,19587.0052,-3.9241,8.26478,7.36696
0.2891,19587.0253,-3.47159,8.1355,4.79798
0.3051,19587.0453,-3.37104,7.1012,3.31597
0.325,19587.0652,-1.7765,6.69419,4.91769
0.3572,19587.0853,-0.35674,5.43005,10.54167
0.3701,19587.1053,-1.01035,4.30956,13.71399
0.3883,19587.1252,-0.03591,3.64398,9.13627
0.4067,19587.1453,2.25055,4.51068,4.6256
0.4277,19587.1653,3.09091,4.94163,1.67594
0.4494,19587.1852,2.80361,4.55377,1.02711
0.4705,19587.2052,2.15718,3.73974,1.20428
0.4852,19587.2253,0.67756,3.78763,1.74537
0.5082,19587.2452,0.60094,3.60806,2.73178
0.5433,19587.2652,1.69988,3.95043,3.41174
0.5509,19587.2853,3.10049,4.72376,3.47159
0.5751,19587.3052,4.51786,5.34146,4.74531
0.5861,19587.3252,5.37977,5.89213,6.12676
0.6069,19587.3453,5.46117,5.73651,5.7389
0.6254,19587.3653,5.86819,5.9855,5.34386
0.6484,19587.3852,6.45716,6.39012,5.41808
0.6671,19587.4053,6.52181,7.07965,4.49392
0.6853,19587.4253,6.67264,7.86016,4.5825
0.7056,19587.4452,6.54335,8.20972,4.71179
0.729,19587.4653,5.47315,8.57603,5.10204
0.7696,19587.4853,4.53941,9.01656,6.11479
0.7864,19587.5072,3.92649,9.01896,6.56969
0.7952,19587.5282,4.06057,10.02931,7.87214
0.8142,19587.5483,5.1188,11.57357,8.70053
0.8324,19587.5682,5.26964,12.07875,8.33182
0.8814,19587.5882,4.68545,11.37006,10.08198
0.8831,19587.6083,3.89537,10.88883,10.18015
0.8898,19587.6282,3.27766,10.37408,8.66701
0.9145,19587.6482,3.28006,10.41478,7.96072
0.9283,19587.6683,3.87382,11.09952,7.50343
0.9495,19587.6883,4.94881,11.5185,6.359
0.9758,19587.7082,4.14197,10.83616,6.11719
0.9916,19587.7283,2.42054,9.76355,7.78834
1.0176,19587.7481,1.97522,9.11233,8.837
1.0273,19587.7682,2.14042,8.92558,7.57765
1.0493,19587.7882,1.23301,7.96311,6.38294
1.0676,19587.8083,0.39983,6.66785,6.67503
1.0874,19587.8282,-0.08619,5.66708,6.40449
1.1078,19587.8482,-0.1245,5.17626,5.08289
1.1282,19587.8683,0.36392,4.80516,4.10127
1.1485,19587.8882,0.64883,4.65912,3.18908
1.1794,19587.9082,0.76614,4.52025,2.02071
1.1953,19587.9283,0.51954,4.51307,2.36787
1.2169,19587.9482,-0.01915,4.19464,3.1364
1.2361,19587.9682,-0.51475,4.36702,3.24893
1.2491,19587.9883,-1.49638,4.17788,2.15478
1.2764,19588.0082,-4.27604,3.72538,1.85072
1.2919,19588.0292,-6.74207,3.79242,4.29999
1.3189,19588.0503,-6.46195,5.22415,7.06529
1.3301,19588.0702,-6.34463,6.49068,6.62954
1.3522,19588.0902,-7.3071,7.53695,5.6575
1.3751,19588.1103,-7.185,8.78672,6.91924
1.3919,19588.1302,-5.88974,10.3214,8.05888
1.41,19588.1502,-5.83467,11.15459,7.03416
1.4302,19588.1703,-6.71813,11.41795,8.25521
1.4527,19588.1902,-5.33428,12.39239,10.25676
1.4797,19588.2112,-1.79565,14.5352,10.37408
1.5001,19588.2312,-0.81882,14.65491,8.51857
1.5149,19588.2522,-1.00317,14.70998,8.4659
1.5358,19588.2722,0.16999,14.81771,9.67976
1.5536,19588.2922,1.64721,14.38915,8.47308
1.5754,19588.3122,0.24181,12.81616,5.65271
1.5948,19588.3322,-2.48279,10.74278,4.64715
1.6119,19588.3523,-2.51631,9.63427,4.89375
1.632,19588.3722,-0.42617,9.25598,5.31273
1.6551,19588.3922,0.78051,9.05008,5.46357
1.6821,19588.4123,0.51236,8.68377,6.3997
1.6952,19588.4322,0.99359,7.75961,6.52659
1.7144,19588.4522,0.67756,7.12514,6.51462
1.7394,19588.4723,-1.73101,6.29675,4.9943
1.7602,19588.4922,-3.38061,4.93445,4.27604
1.7735,19588.5122,-3.32315,4.18506,5.19302
1.7934,19588.5323,-1.51553,4.4987,5.35344
1.814,19588.5522,0.14365,4.12042,3.91452
1.8376,19588.5722,1.69031,4.12282,2.94726
1.8587,19588.5932,3.45483,4.56095,2.82276
1.8757,19588.6132,3.86185,4.87459,2.32716
1.9056,19588.6332,2.86347,4.10606,2.84671
1.9183,19588.6532,2.02549,3.45483,4.56574
1.9385,19588.6732,2.65517,3.39737,4.73094
1.9549,19588.6932,3.31118,2.97839,3.39977
1.9739,19588.7132,3.07655,2.35829,2.88262
2.0127,19588.7332,2.92571,2.34392,4.50589
2.0146,19588.7532,3.87142,3.2202,6.49068
2.0405,19588.7732,5.00388,4.80756,6.24887
2.0681,19588.7932,5.56891,6.03339,5.10444
2.0729,19588.8133,5.87777,6.936,5.99029
2.0962,19588.8332,5.72214,8.04931,8.40125
2.1128,19588.8532,6.80911,10.42675,9.10754
2.1331,19588.8733,8.69813,11.87045,8.89685
2.1528,19588.8932,8.4228,11.93988,8.91361
2.1727,19588.9132,5.96156,11.50414,9.35654
2.193,19588.9333,5.04937,11.57357,11.42274
2.2162,19588.9532,5.46596,11.82496,14.00608
2.2372,19588.9742,5.23133,11.67652,12.24634
2.2638,19588.9952,4.65433,11.50175,9.8689
2.2795,19589.0152,3.39977,10.27112,10.05325
2.3039,19589.0353,2.2721,9.47386,10.94868
2.3184,19589.0552,1.50835,8.54969,9.72046
2.344,19589.0752,1.52271,7.97748,7.82665
2.3617,19589.0962,2.21464,8.26718,6.6463
2.3854,19589.1162,2.1476,8.32703,6.608
2.4044,19589.1363,1.51314,7.83383,7.27598
2.4187,19589.1562,-0.20111,6.63673,6.47632
2.4463,19589.1762,-1.1564,6.11479,5.68144
2.4608,19589.1963,0.7422,7.42203,5.71496
2.4765,19589.2162,3.02388,5.90171,4.04381
2.496,19589.2362,-0.2873,3.1795,-0.24421
2.5174,19589.2563,-4.96797,3.72777,1.24738
2.5378,19589.2762,-5.20021,2.35829,7.00304
2.5633,19589.2962,-1.04387,2.58334,6.78277
2.577,19589.3163,-2.50673,2.77967,5.35583
2.5987,19589.3362,-2.25055,4.51068,4.19943
2.6176,19589.3562,-0.87388,3.96001,2.23618
2.6371,19589.3763,-1.5275,3.47638,1.6927
2.6595,19589.3962,-4.4987,2.79164,4.40773
2.6904,19589.4162,-4.36942,4.15633,6.68461
2.7022,19589.4362,-2.52109,4.63757,4.91769
2.7317,19589.4572,-5.44202,2.9712,0.91219
2.7501,19589.4773,-6.9791,3.38301,4.45561
2.762,19589.4972,-7.54652,1.79086,5.5761
2.7806,19589.5172,-9.26317,3.58412,4.16831
2.8036,19589.5373,-8.94234,4.25689,2.41096
2.8231,19589.5572,-7.57047,4.80037,4.28562
2.8431,19589.5772,-9.97185,3.24654,9.47386
2.8573,19589.5973,-12.25592,4.8722,17.37712
2.879,19589.6172,-9.10994,6.06212,11.16895
2.8997,19589.6372,-6.26802,7.15148,7.31189
2.9199,19589.6573,-6.46195,7.60638,11.46823
2.9377,19589.6772,-7.16345,7.37893,14.15931
2.975,19589.6972,-3.45723,7.03895,13.40753
2.9895,19589.7173,-0.54348,6.7301,13.42668
3.0088,19589.7372,-1.74537,6.18662,15.32768
3.032,19589.7572,-2.6025,4.82671,17.67879
3.0378,19589.7773,-2.70305,4.3359,15.61259
3.0588,19589.7972,-2.33435,4.33351,13.73793
3.0764,19589.8172,-3.81636,2.49476,11.45865
3.0962,19589.8373,-3.73974,2.86586,12.16015
3.1162,19589.8572,-1.85072,4.51307,9.94791
3.1375,19589.8772,1.45567,8.76517,2.42533
3.1565,19589.8972,-2.34632,5.21457,4.04381
3.1867,19589.9172,-7.45794,2.58095,5.78918
3.2002,19589.9372,-1.88424,5.15711,4.82671
3.2202,19589.9572,-0.8667,3.52426,7.34541
3.2422,19589.9772,-0.82839,2.32716,7.75721
3.2626,19589.9972,1.53947,4.80756,7.55849
3.2797,19590.0172,2.69587,4.84347,4.28562
3.3127,19590.0372,1.74298,4.43406,2.33435
3.3235,19590.0572,-0.08619,2.6025,1.28808
3.346,19590.0782,0.50996,1.84114,0.26815
