AppTimestamp(s),MAC,RSSI
0.5586,BE:AC:20:23:00:01,-95
2.3798,BE:AC:20:23:00:01,-91
2.7956,BE:AC:20:23:00:01,-92
7.2721,BE:AC:20:23:00:01,-90
7.4975,BE:AC:20:23:00:01,-88
7.6719,BE:AC:20:23:00:01,-98
11.9871,BE:AC:20:23:00:01,-87
12.4013,BE:AC:20:23:00:01,-90
18.7301,BE:AC:20:23:00:01,-88
18.9259,BE:AC:20:23:00:01,-92
20.1565,BE:AC:20:23:00:01,-94
28.7737,BE:AC:20:23:00:01,-95
31.2288,BE:AC:20:23:00:01,-97
31.8642,BE:AC:20:23:00:01,-90
38.198,BE:AC:20:23:00:01,-91
45.593,BE:AC:20:23:00:01,-91
63.0651,BE:AC:20:23:00:01,-93
81.523,BE:AC:20:23:00:01,-92
91.3313,BE:AC:20:23:00:01,-95
92.3814,BE:AC:20:23:00:01,-93
94.8165,BE:AC:20:23:00:05,-91
95.0013,BE:AC:20:23:00:05,-91
95.6395,BE:AC:20:23:00:05,-97
95.8104,BE:AC:20:23:00:05,-93
95.8467,BE:AC:20:23:00:01,-86
96.2408,BE:AC:20:23:00:01,-95
96.4452,BE:AC:20:23:00:01,-93
96.6523,BE:AC:20:23:00:05,-91
96.6694,BE:AC:20:23:00:01,-95
97.0395,BE:AC:20:23:00:05,-85
97.0576,BE:AC:20:23:00:01,-85
97.2756,BE:AC:20:23:00:01,-90
98.9016,BE:AC:20:23:00:01,-89
99.1001,BE:AC:20:23:00:01,-84
99.3079,BE:AC:20:23:00:05,-93
99.9387,BE:AC:20:23:00:05,-88
99.9595,BE:AC:20:23:00:01,-91
100.349,BE:AC:20:23:00:05,-87
100.355,BE:AC:20:23:00:01,-94
100.5839,BE:AC:20:23:00:05,-82
100.775,BE:AC:20:23:00:05,-84
100.9721,BE:AC:20:23:00:05,-80
101.1696,BE:AC:20:23:00:01,-93
102.6164,BE:AC:20:23:00:05,-86
102.8249,BE:AC:20:23:00:05,-92
103.2149,BE:AC:20:23:00:01,-90
103.4226,BE:AC:20:23:00:01,-87
103.6294,BE:AC:20:23:00:01,-97
103.6461,BE:AC:20:23:00:05,-90
103.8518,BE:AC:20:23:00:05,-87
104.0454,BE:AC:20:23:00:01,-89
104.2496,BE:AC:20:23:00:01,-93
104.4602,BE:AC:20:23:00:05,-86
105.4771,BE:AC:20:23:00:01,-95
106.7058,BE:AC:20:23:00:01,-90
107.9573,BE:AC:20:23:00:05,-81
108.1597,BE:AC:20:23:00:05,-84
108.3759,BE:AC:20:23:00:01,-93
108.5652,BE:AC:20:23:00:05,-84
108.9945,BE:AC:20:23:00:05,-81
108.9972,BE:AC:20:23:00:01,-83
109.6097,BE:AC:20:23:00:05,-86
110.8106,BE:AC:20:23:00:05,-90
111.6447,BE:AC:20:23:00:01,-84
112.2261,BE:AC:20:23:00:05,-83
112.264,BE:AC:20:23:00:01,-87
112.8887,BE:AC:20:23:00:01,-80
113.0923,BE:AC:20:23:00:05,-91
113.0994,BE:AC:20:23:00:01,-85
113.2821,BE:AC:20:23:00:05,-77
113.3069,BE:AC:20:23:00:01,-88
113.464,BE:AC:20:23:00:05,-83
113.8908,BE:AC:20:23:00:01,-89
114.4848,BE:AC:20:23:00:05,-78
114.6755,BE:AC:20:23:00:05,-82
114.8929,BE:AC:20:23:00:05,-82
114.9134,BE:AC:20:23:00:01,-87
115.0989,BE:AC:20:23:00:05,-85
115.288,BE:AC:20:23:00:05,-83
115.5148,BE:AC:20:23:00:05,-83
115.7142,BE:AC:20:23:00:01,-84
115.9076,BE:AC:20:23:00:05,-86
116.1165,BE:AC:20:23:00:01,-84
116.9099,BE:AC:20:23:00:05,-93
116.9286,BE:AC:20:23:00:01,-86
117.1466,BE:AC:20:23:00:05,-78
117.1582,BE:AC:20:23:00:01,-84
117.3324,BE:AC:20:23:00:05,-85
117.7736,BE:AC:20:23:00:01,-77
117.9675,BE:AC:20:23:00:01,-80
118.5788,BE:AC:20:23:00:01,-88
118.7856,BE:AC:20:23:00:05,-91
118.7911,BE:AC:20:23:00:01,-83
118.9941,BE:AC:20:23:00:05,-90
119.4137,BE:AC:20:23:00:05,-88
119.4425,BE:AC:20:23:00:01,-86
119.6241,BE:AC:20:23:00:05,-92
119.8123,BE:AC:20:23:00:01,-87
120.0533,BE:AC:20:23:00:05,-98
120.2338,BE:AC:20:23:00:05,-94
120.2428,BE:AC:20:23:00:01,-85
120.8579,BE:AC:20:23:00:01,-86
121.0475,BE:AC:20:23:00:05,-96
121.2823,BE:AC:20:23:00:01,-85
121.4562,BE:AC:20:23:00:05,-91
121.6572,BE:AC:20:23:00:01,-87
122.6941,BE:AC:20:23:00:01,-81
123.0936,BE:AC:20:23:00:05,-96
123.2823,BE:AC:20:23:00:05,-90
123.5357,BE:AC:20:23:00:01,-84
123.735,BE:AC:20:23:00:05,-91
123.765,BE:AC:20:23:00:01,-84
123.9133,BE:AC:20:23:00:01,-86
124.1177,BE:AC:20:23:00:01,-93
124.3603,BE:AC:20:23:00:01,-93
124.7378,BE:AC:20:23:00:05,-92
124.9397,BE:AC:20:23:00:01,-89
125.5616,BE:AC:20:23:00:05,-86
125.5837,BE:AC:20:23:00:01,-89
126.5966,BE:AC:20:23:00:01,-87
126.9729,BE:AC:20:23:00:05,-96
127.003,BE:AC:20:23:00:01,-98
127.3812,BE:AC:20:23:00:05,-84
127.6023,BE:AC:20:23:00:05,-92
127.6279,BE:AC:20:23:00:01,-83
128.0232,BE:AC:20:23:00:05,-86
128.4306,BE:AC:20:23:00:01,-88
128.6132,BE:AC:20:23:00:05,-91
128.8714,BE:AC:20:23:00:05,-83
128.8764,BE:AC:20:23:00:01,-87
129.2281,BE:AC:20:23:00:05,-94
129.6364,BE:AC:20:23:00:05,-86
129.6895,BE:AC:20:23:00:01,-87
131.094,BE:AC:20:23:00:01,-85
131.2824,BE:AC:20:23:00:05,-78
131.2964,BE:AC:20:23:00:01,-88
131.503,BE:AC:20:23:00:01,-88
131.704,BE:AC:20:23:00:01,-87
131.9365,BE:AC:20:23:00:01,-98
132.1056,BE:AC:20:23:00:05,-83
132.5339,BE:AC:20:23:00:05,-79
132.7303,BE:AC:20:23:00:05,-77
132.9404,BE:AC:20:23:00:05,-81
134.79,BE:AC:20:23:00:05,-87
136.2531,BE:AC:20:23:00:05,-78
136.6342,BE:AC:20:23:00:05,-85
136.8226,BE:AC:20:23:00:05,-86
137.442,BE:AC:20:23:00:01,-86
138.4736,BE:AC:20:23:00:01,-97
138.5234,BE:AC:20:23:00:05,-83
138.6733,BE:AC:20:23:00:01,-91
139.0803,BE:AC:20:23:00:01,-93
139.0949,BE:AC:20:23:00:05,-95
139.5293,BE:AC:20:23:00:05,-88
139.7087,BE:AC:20:23:00:01,-85
140.325,BE:AC:20:23:00:05,-83
143.9996,BE:AC:20:23:00:05,-88
144.6178,BE:AC:20:23:00:05,-89
144.8582,BE:AC:20:23:00:01,-95
145.0547,BE:AC:20:23:00:05,-89
145.0774,BE:AC:20:23:00:01,-94
147.5071,BE:AC:20:23:00:05,-87
148.3213,BE:AC:20:23:00:05,-86
148.5362,BE:AC:20:23:00:05,-84
148.7176,BE:AC:20:23:00:05,-81
149.1203,BE:AC:20:23:00:01,-80
149.9537,BE:AC:20:23:00:01,-80
150.1784,BE:AC:20:23:00:01,-86
150.371,BE:AC:20:23:00:01,-88
150.3776,BE:AC:20:23:00:05,-86
150.585,BE:AC:20:23:00:01,-85
150.5894,BE:AC:20:23:00:05,-91
150.7921,BE:AC:20:23:00:01,-82
151.3528,BE:AC:20:23:00:03,-94
151.3803,BE:AC:20:23:00:01,-83
151.6126,BE:AC:20:23:00:05,-83
151.7898,BE:AC:20:23:00:01,-86
152.3902,BE:AC:20:23:00:03,-99
152.43,BE:AC:20:23:00:01,-83
152.461,BE:AC:20:23:00:05,-84
152.6605,BE:AC:20:23:00:05,-81
152.8599,BE:AC:20:23:00:01,-90
152.8648,BE:AC:20:23:00:05,-89
153.8474,BE:AC:20:23:00:05,-81
154.4653,BE:AC:20:23:00:01,-90
154.6447,BE:AC:20:23:00:01,-78
154.666,BE:AC:20:23:00:05,-79
154.8725,BE:AC:20:23:00:01,-78
154.8923,BE:AC:20:23:00:05,-82
155.0923,BE:AC:20:23:00:01,-87
156.1063,BE:AC:20:23:00:05,-91
157.1131,BE:AC:20:23:00:01,-82
157.309,BE:AC:20:23:00:01,-80
158.3241,BE:AC:20:23:00:01,-74
158.5308,BE:AC:20:23:00:01,-75
158.7449,BE:AC:20:23:00:01,-85
158.9687,BE:AC:20:23:00:01,-88
159.0306,BE:AC:20:23:00:05,-95
159.1474,BE:AC:20:23:00:01,-87
159.3835,BE:AC:20:23:00:01,-77
159.57,BE:AC:20:23:00:01,-70
159.7693,BE:AC:20:23:00:01,-74
160.0153,BE:AC:20:23:00:01,-79
160.1852,BE:AC:20:23:00:01,-77
160.2318,BE:AC:20:23:00:05,-95
160.8131,BE:AC:20:23:00:01,-75
161.0148,BE:AC:20:23:00:01,-82
161.6301,BE:AC:20:23:00:01,-73
162.4596,BE:AC:20:23:00:01,-76
162.9087,BE:AC:20:23:00:01,-70
163.0821,BE:AC:20:23:00:01,-72
163.2877,BE:AC:20:23:00:01,-73
