AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.5586,-95.0,,,,,
2.3798,-91.0,,,,,
2.7956,-92.0,,,,,
7.2721,-90.0,,,,,
7.4975,-88.0,,,,,
7.6719,-98.0,,,,,
11.9871,-87.0,,,,,
12.4013,-90.0,,,,,
18.7301,-88.0,,,,,
18.9259,-92.0,,,,,
20.1565,-94.0,,,,,
28.7737,-95.0,,,,,
31.2288,-97.0,,,,,
31.8642,-90.0,,,,,
38.198,-91.0,,,,,
45.593,-91.0,,,,,
63.0651,-93.0,,,,,
81.523,-92.0,,,,,
91.3313,-95.0,,,,,
92.3814,-93.0,,,,,
94.8165,,,,,-91.0,
95.0013,,,,,-91.0,
95.6395,,,,,-97.0,
95.8104,,,,,-93.0,
95.8467,-86.0,,,,,
96.2408,-95.0,,,,,
96.4452,-93.0,,,,,
96.6523,,,,,-91.0,
96.6694,-95.0,,,,,
97.0395,,,,,-85.0,
97.0576,-85.0,,,,,
97.2756,-90.0,,,,,
98.9016,-89.0,,,,,
99.1001,-84.0,,,,,
99.3079,,,,,-93.0,
99.9387,,,,,-88.0,
99.9595,-91.0,,,,,
100.349,,,,,-87.0,
100.355,-94.0,,,,,
100.5839,,,,,-82.0,
100.775,,,,,-84.0,
100.9721,,,,,-80.0,
101.1696,-93.0,,,,,
102.6164,,,,,-86.0,
102.8249,,,,,-92.0,
103.2149,-90.0,,,,,
103.4226,-87.0,,,,,
103.6294,-97.0,,,,,
103.6461,,,,,-90.0,
103.8518,,,,,-87.0,
104.0454,-89.0,,,,,
104.2496,-93.0,,,,,
104.4602,,,,,-86.0,
105.4771,-95.0,,,,,
106.7058,-90.0,,,,,
107.9573,,,,,-81.0,
108.1597,,,,,-84.0,
108.3759,-93.0,,,,,
108.5652,,,,,-84.0,
108.9945,,,,,-81.0,
108.9972,-83.0,,,,,
109.6097,,,,,-86.0,
110.8106,,,,,-90.0,
111.6447,-84.0,,,,,
112.2261,,,,,-83.0,
112.264,-87.0,,,,,
112.8887,-80.0,,,,,
113.0923,,,,,-91.0,
113.0994,-85.0,,,,,
113.2821,,,,,-77.0,
113.3069,-88.0,,,,,
113.464,,,,,-83.0,
113.8908,-89.0,,,,,
114.4848,,,,,-78.0,
114.6755,,,,,-82.0,
114.8929,,,,,-82.0,
114.9134,-87.0,,,,,
115.0989,,,,,-85.0,
115.288,,,,,-83.0,
115.5148,,,,,-83.0,
115.7142,-84.0,,,,,
115.9076,,,,,-86.0,
116.1165,-84.0,,,,,
116.9099,,,,,-93.0,
116.9286,-86.0,,,,,
117.1466,,,,,-78.0,
117.1582,-84.0,,,,,
117.3324,,,,,-85.0,
117.7736,-77.0,,,,,
117.9675,-80.0,,,,,
118.5788,-88.0,,,,,
118.7856,,,,,-91.0,
118.7911,-83.0,,,,,
118.9941,,,,,-90.0,
119.4137,,,,,-88.0,
119.4425,-86.0,,,,,
119.6241,,,,,-92.0,
119.8123,-87.0,,,,,
120.0533,,,,,-98.0,
120.2338,,,,,-94.0,
120.2428,-85.0,,,,,
120.8579,-86.0,,,,,
121.0475,,,,,-96.0,
121.2823,-85.0,,,,,
121.4562,,,,,-91.0,
121.6572,-87.0,,,,,
122.6941,-81.0,,,,,
123.0936,,,,,-96.0,
123.2823,,,,,-90.0,
123.5357,-84.0,,,,,
123.735,,,,,-91.0,
123.765,-84.0,,,,,
123.9133,-86.0,,,,,
124.1177,-93.0,,,,,
124.3603,-93.0,,,,,
124.7378,,,,,-92.0,
124.9397,-89.0,,,,,
125.5616,,,,,-86.0,
125.5837,-89.0,,,,,
126.5966,-87.0,,,,,
126.9729,,,,,-96.0,
127.003,-98.0,,,,,
127.3812,,,,,-84.0,
127.6023,,,,,-92.0,
127.6279,-83.0,,,,,
128.0232,,,,,-86.0,
128.4306,-88.0,,,,,
128.6132,,,,,-91.0,
128.8714,,,,,-83.0,
128.8764,-87.0,,,,,
129.2281,,,,,-94.0,
129.6364,,,,,-86.0,
129.6895,-87.0,,,,,
131.094,-85.0,,,,,
131.2824,,,,,-78.0,
131.2964,-88.0,,,,,
131.503,-88.0,,,,,
131.704,-87.0,,,,,
131.9365,-98.0,,,,,
132.1056,,,,,-83.0,
132.5339,,,,,-79.0,
132.7303,,,,,-77.0,
132.9404,,,,,-81.0,
134.79,,,,,-87.0,
136.2531,,,,,-78.0,
136.6342,,,,,-85.0,
136.8226,,,,,-86.0,
137.442,-86.0,,,,,
138.4736,-97.0,,,,,
138.5234,,,,,-83.0,
138.6733,-91.0,,,,,
139.0803,-93.0,,,,,
139.0949,,,,,-95.0,
139.5293,,,,,-88.0,
139.7087,-85.0,,,,,
140.325,,,,,-83.0,
143.9996,,,,,-88.0,
144.6178,,,,,-89.0,
144.8582,-95.0,,,,,
145.0547,,,,,-89.0,
145.0774,-94.0,,,,,
147.5071,,,,,-87.0,
148.3213,,,,,-86.0,
148.5362,,,,,-84.0,
148.7176,,,,,-81.0,
149.1203,-80.0,,,,,
149.9537,-80.0,,,,,
150.1784,-86.0,,,,,
150.371,-88.0,,,,,
150.3776,,,,,-86.0,
150.585,-85.0,,,,,
150.5894,,,,,-91.0,
150.7921,-82.0,,,,,
151.3528,,,-94.0,,,
151.3803,-83.0,,,,,
151.6126,,,,,-83.0,
151.7898,-86.0,,,,,
152.3902,,,-99.0,,,
152.43,-83.0,,,,,
152.461,,,,,-84.0,
152.6605,,,,,-81.0,
152.8599,-90.0,,,,,
152.8648,,,,,-89.0,
153.8474,,,,,-81.0,
154.4653,-90.0,,,,,
154.6447,-78.0,,,,,
154.666,,,,,-79.0,
154.8725,-78.0,,,,,
154.8923,,,,,-82.0,
155.0923,-87.0,,,,,
156.1063,,,,,-91.0,
157.1131,-82.0,,,,,
157.309,-80.0,,,,,
158.3241,-74.0,,,,,
158.5308,-75.0,,,,,
158.7449,-85.0,,,,,
158.9687,-88.0,,,,,
159.0306,,,,,-95.0,
159.1474,-87.0,,,,,
159.3835,-77.0,,,,,
159.57,-70.0,,,,,
159.7693,-74.0,,,,,
160.0153,-79.0,,,,,
160.1852,-77.0,,,,,
160.2318,,,,,-95.0,
160.8131,-75.0,,,,,
161.0148,-82.0,,,,,
161.6301,-73.0,,,,,
162.4596,-76.0,,,,,
162.9087,-70.0,,,,,
163.0821,-72.0,,,,,
163.2877,-73.0,,,,,
163.4815,-81.0,,,,,
164.1059,-79.0,,,,,
164.2966,-75.0,,,,,
164.7093,-69.0,,,,,
164.9295,-75.0,,,,,
165.1251,-86.0,,,,,
165.5492,-74.0,,,,,
166.3487,-76.0,,,,,
166.7642,-73.0,,,,,
167.1589,-75.0,,,,,
167.3745,-75.0,,,,,
167.4442,,-98.0,,,,
167.5792,-74.0,,,,,
168.1977,-84.0,,,,,
168.4274,-97.0,,,,,
169.2266,-76.0,,,,,
169.4172,-74.0,,,,,
170.4312,-77.0,,,,,
171.0513,-79.0,,,,,
171.2866,-79.0,,,,,
171.4738,-77.0,,,,,
171.8705,-77.0,,,,,
172.0771,-81.0,,,,,
174.5368,-72.0,,,,,
175.7937,-77.0,,,,,
176.822,,,,,-93.0,
177.0283,-84.0,,,,,
177.8732,-73.0,,,,,
179.2915,-87.0,,,,,
179.4433,,,,,-97.0,
179.4713,-85.0,,,,,
179.6853,-75.0,,,,,
179.8882,,,,,-92.0,
179.9088,-79.0,,,,,
180.0912,-77.0,,,,,
180.2995,-90.0,,,,,
180.5014,-78.0,,,,,
180.7014,-79.0,,,,,
181.0779,,,,,-93.0,
181.1133,-82.0,,,,,
181.3206,-92.0,,,,,
181.5393,,,,,-94.0,
182.5632,-78.0,,,,,
183.6212,-74.0,,,,,
183.7858,-76.0,,,,,
183.9852,-78.0,,,,,
184.2033,-77.0,,,,,
186.2441,-71.0,,,,,
187.0489,-81.0,,,,,
187.2651,-76.0,,,,,
187.4595,-85.0,,,,,
187.8559,-71.0,,,,,
190.742,-82.0,,,,,
191.1614,-79.0,,,,,
195.6498,-86.0,,,,,
197.5114,-81.0,,,,,
198.7332,-77.0,,,,,
199.1565,-92.0,,,,,
199.3673,-75.0,,,,,
199.5996,-84.0,,,,,
199.7747,-80.0,,,,,
199.9863,-74.0,,,,,
200.1845,-73.0,,,,,
202.4385,-80.0,,,,,
203.6775,-79.0,,,,,
203.8858,-88.0,,,,,
204.5064,,-94.0,,,,
205.3271,-78.0,,,,,
206.3686,-85.0,,,,,
206.5529,-87.0,,,,,
207.379,-84.0,,,,,
207.6025,-78.0,,,,,
212.4936,,-91.0,,,,
214.5617,,-95.0,,,,
214.9463,-88.0,,,,,
215.133,-83.0,,,,,
216.1775,-77.0,,,,,
217.1938,-77.0,,,,,
218.6224,-75.0,,,,,
221.7021,-71.0,,,,,
222.9813,-77.0,,,,,
223.7556,-69.0,,,,,
224.2259,,-95.0,,,,
228.4708,-65.0,,,,,
229.2763,-59.0,,,,,
230.3423,,-86.0,,,,
231.515,-82.0,,,,,
232.9374,-66.0,,,,,
233.3525,-62.0,,,,,
233.9573,-66.0,,,,,
234.5654,-71.0,,,,,
235.1901,-72.0,,,,,
236.0193,-78.0,,,,,
236.4177,-88.0,,,,,
236.5259,,-94.0,,,,
236.7082,,-92.0,,,,
236.9116,,-90.0,,,,
237.1359,,-88.0,,,,
237.2618,-71.0,,,,,
237.6662,-81.0,,,,,
239.0929,-67.0,,,,,
239.3015,-65.0,,,,,
239.5027,-70.0,,,,,
239.7155,-63.0,,,,,
239.9595,-72.0,,,,,
240.1873,,-93.0,,,,
240.3419,-73.0,,,,,
241.1459,-61.0,,,,,
241.349,-64.0,,,,,
241.5676,-61.0,,,,,
241.6333,,-93.0,,,,
242.463,,-99.0,,,,
242.5924,-73.0,,,,,
242.8112,-63.0,,,,,
243.7024,,-94.0,,,,
244.0411,-68.0,,,,,
245.2991,-81.0,,,,,
245.6862,-76.0,,,,,
247.8148,,-97.0,,,,
248.3381,-77.0,,,,,
248.5371,-76.0,,,,,
249.385,-73.0,,,,,
249.6528,,-92.0,,,,
251.5128,,-91.0,,,,
253.4309,-71.0,,,,,
256.9304,-77.0,,,,,
257.9586,-89.0,,,,,
259.9614,-81.0,,,,,
262.8367,-77.0,,,,,
263.6457,,-87.0,,,,
265.2901,-74.0,,,,,
265.4809,-84.0,,,,,
266.0944,-86.0,,,,,
266.3089,-81.0,,,,,
266.5319,-87.0,,,,,
267.0899,,-93.0,,,,
267.1465,-79.0,,,,,
267.7136,,-88.0,,,,
267.9204,,-86.0,,,,
267.965,-72.0,,,,,
268.3677,-85.0,,,,,
268.5373,,-93.0,,,,
268.5687,-73.0,,,,,
268.7443,,-88.0,,,,
268.7894,-82.0,,,,,
269.1673,,-87.0,,,,
269.359,,-90.0,,,,
270.3967,,-87.0,,,,
270.4534,-80.0,,,,,
270.6083,,-96.0,,,,
270.6452,-83.0,,,,,
270.8027,,-88.0,,,,
270.8292,-80.0,,,,,
271.0374,-83.0,,,,,
271.2208,,-87.0,,,,
271.42,,-84.0,,,,
271.474,-80.0,,,,,
271.6942,-82.0,,,,,
271.8417,,-83.0,,,,
271.8819,-84.0,,,,,
