AppTimestamp(s),SensorTimestamp(s),gyro_x,gyro_y,gyro_z
0.0361,19586.7342,-1.07085,-0.686,-0.29505
0.0373,19586.7442,-1.03969,-0.66706,-0.41417
0.0386,19586.7542,-0.96395,-0.73976,-0.55344
0.0395,19586.7642,-0.85765,-0.77336,-0.64874
0.0407,19586.7742,-0.69578,-0.70799,-0.66768
0.0459,19586.7842,-0.37324,-0.42638,-0.57849
0.0542,19586.7942,0.00916,0.05803,-0.45571
0.069,19586.8042,0.6524,0.54489,-0.29871
0.0933,19586.8142,1.23578,0.78069,-0.28711
0.0944,19586.8241,1.68232,0.8094,-0.19914
0.097,19586.8342,1.81183,0.82772,-0.10446
0.1064,19586.8442,1.79961,0.76603,0.03665
0.1124,19586.8541,1.6866,0.52779,0.09529
0.1248,19586.8641,1.53816,0.19609,0.1295
0.1341,19586.8742,1.4508,-0.15516,0.14722
0.1443,19586.8842,1.38544,-0.67256,0.11973
0.1525,19586.8942,1.33841,-1.08612,0.09163
0.1657,19586.9042,1.17958,-1.40621,0.14539
0.1725,19586.9142,0.74953,-1.11911,0.17165
0.1843,19586.9242,0.29199,-0.90408,0.20953
0.1931,19586.9342,-0.00977,-0.77763,0.18082
0.2055,19586.9442,-0.33781,-0.59498,0.09407
0.2173,19586.9542,-0.54184,-0.45021,0.03115
0.2265,19586.9642,-0.64996,-0.12645,-0.03054
0.2363,19586.9742,-0.64019,0.90225,0.0843
0.2501,19586.9842,-0.40378,1.27304,0.20892
0.2574,19586.9942,-0.19609,1.48257,0.28894
0.2691,19587.0042,-0.01649,1.59741,0.46059
0.2729,19587.0142,0.09957,1.66339,0.57971
0.2881,19587.0242,0.14966,1.47952,0.68478
0.2926,19587.0342,0.11362,1.1918,0.75869
0.3047,19587.0442,-0.03787,0.96639,0.87598
0.3127,19587.0541,-0.21625,0.43066,0.97677
0.3246,19587.0642,-0.34758,-0.25656,1.05741
0.3327,19587.0742,-0.33353,-0.6353,0.99571
0.3559,19587.0842,-0.04154,-0.72388,0.89431
0.365,19587.094,0.37507,-0.2193,0.87598
0.3693,19587.1042,0.99815,0.77336,0.96883
0.376,19587.1141,1.48379,1.53938,1.11544
0.3876,19587.1242,1.83626,2.11604,1.25533
0.3978,19587.1342,1.87658,2.38848,1.31764
0.4059,19587.1442,1.75379,2.67254,1.30664
0.4136,19587.1542,1.52472,2.85274,1.18935
0.4266,19587.1642,1.20829,2.82159,1.01404
0.4347,19587.1742,0.92852,2.60778,0.8998
0.4484,19587.1842,0.67806,2.35855,0.79229
0.4596,19587.1942,0.44776,2.13253,0.68906
0.4699,19587.2042,0.22297,1.88269,0.5846
0.4773,19587.2142,0.04276,1.69088,0.57971
0.4847,19587.2242,-0.14294,1.54915,0.68356
0.4989,19587.2342,-0.27978,1.44897,0.8039
0.5058,19587.2442,-0.41661,1.34696,0.96578
0.5137,19587.2542,-0.47403,1.30114,1.07329
0.5425,19587.2642,-0.52962,1.27182,1.19607
0.5459,19587.2742,-0.57971,1.25288,1.26999
0.5501,19587.2842,-0.65424,1.18386,1.31703
0.5544,19587.2942,-0.70983,1.03175,1.3213
0.5747,19587.3041,-0.7141,0.89064,1.26816
0.5762,19587.3142,-0.67928,0.88637,1.16797
0.5856,19587.3242,-0.60109,0.98166,1.04947
0.5929,19587.3342,-0.51618,1.08184,0.95845
0.6063,19587.3442,-0.45326,1.0965,0.8882
0.6145,19587.3542,-0.43371,1.05252,0.84727
0.6248,19587.3642,-0.44166,1.01404,0.8094
0.6381,19587.3742,-0.44776,1.00976,0.75808
0.6476,19587.3842,-0.42211,1.01098,0.66706
0.6535,19587.3942,-0.39462,0.9615,0.55344
0.6663,19587.4042,-0.42028,0.77519,0.40928
0.6728,19587.4142,-0.48258,0.5455,0.29444
0.6847,19587.4242,-0.58582,0.36957,0.12523
0.6927,19587.4342,-0.71716,0.35125,-0.0562
0.7049,19587.4442,-0.90836,0.33231,-0.25473
0.7144,19587.4542,-1.0684,0.32803,-0.36896
0.7274,19587.4642,-1.2877,0.35858,-0.45876
0.735,19587.4742,-1.45936,0.33659,-0.49724
0.7624,19587.4842,-1.56565,0.2193,-0.50824
