AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0377,19586.7452,-0.11013,10.3238,7.60398,-1.03969,-0.66706,-0.41417,21.6,-33.6,-15.84
0.0399,19586.7652,-0.28491,9.28711,8.26,-0.85765,-0.77336,-0.64874,21.06,-33.42,-16.68
0.0463,19586.7853,-0.83558,7.38611,12.4307,-0.37324,-0.42638,-0.57849,21.06,-32.82,-17.4
0.0694,19586.8052,-1.0726,7.762,13.51048,0.6524,0.54489,-0.29871,21.42,-32.34,-18.6
0.0949,19586.8252,-2.32238,8.60237,8.71011,1.68232,0.8094,-0.19914,21.48,-31.92,-19.26
0.1067,19586.8453,-2.45645,8.33182,4.72855,1.79961,0.76603,0.03665,21.78,-31.02,-19.02
0.1252,19586.8652,-1.99437,8.87052,2.69348,1.53816,0.19609,0.1295,22.02,-31.62,-18.78
0.1446,19586.8852,-1.64482,9.35654,2.48758,1.38544,-0.67256,0.11973,22.26,-31.92,-17.46
0.1662,19586.9053,-2.17633,8.74362,1.96325,1.17958,-1.40621,0.14539,22.38,-32.64,-16.02
0.1848,19586.9253,-1.84114,9.48343,2.78685,0.29199,-0.90408,0.20953,22.8,-33.78,-15.12
0.2064,19586.9452,-1.47243,9.73243,4.46519,-0.33781,-0.59498,0.09407,22.56,-34.26,-13.92
0.2273,19586.9653,-2.22182,8.96868,8.76278,-0.64996,-0.12645,-0.03054,22.2,-34.74,-13.68
0.2526,19586.9853,-2.69827,7.63272,8.49463,-0.40378,1.27304,0.20892,21.96,-34.56,-13.8
0.2699,19587.0052,-3.9241,8.26478,7.36696,-0.01649,1.59741,0.46059,21.48,-34.44,-13.92
0.2891,19587.0253,-3.47159,8.1355,4.79798,0.14966,1.47952,0.68478,21.84,-34.08,-13.8
0.3051,19587.0453,-3.37104,7.1012,3.31597,-0.03787,0.96639,0.87598,21.66,-34.08,-13.74
0.325,19587.0652,-1.7765,6.69419,4.91769,-0.34758,-0.25656,1.05741,21.18,-34.14,-13.08
0.3572,19587.0853,-0.35674,5.43005,10.54167,-0.04154,-0.72388,0.89431,21.06,-34.56,-12.72
0.3701,19587.1053,-1.01035,4.30956,13.71399,0.99815,0.77336,0.96883,20.4,-35.1,-12.96
0.3883,19587.1252,-0.03591,3.64398,9.13627,1.83626,2.11604,1.25533,19.92,-35.34,-12.9
0.4067,19587.1453,2.25055,4.51068,4.6256,1.75379,2.67254,1.30664,19.8,-36.0,-12.78
0.4277,19587.1653,3.09091,4.94163,1.67594,1.20829,2.82159,1.01404,19.5,-36.24,-11.82
0.4494,19587.1852,2.80361,4.55377,1.02711,0.67806,2.35855,0.79229,18.9,-36.96,-9.84
0.4705,19587.2052,2.15718,3.73974,1.20428,0.22297,1.88269,0.5846,18.54,-37.74,-7.74
0.4852,19587.2253,0.67756,3.78763,1.74537,-0.14294,1.54915,0.68356,17.94,-38.28,-5.58
0.5082,19587.2452,0.60094,3.60806,2.73178,-0.41661,1.34696,0.96578,17.16,-38.76,-4.38
0.5433,19587.2652,1.69988,3.95043,3.41174,-0.52962,1.27182,1.19607,17.04,-38.94,-4.08
0.5509,19587.2853,3.10049,4.72376,3.47159,-0.65424,1.18386,1.31703,16.5,-39.42,-3.6
0.5751,19587.3052,4.51786,5.34146,4.74531,-0.7141,0.89064,1.26816,16.08,-39.48,-3.6
0.5861,19587.3252,5.37977,5.89213,6.12676,-0.60109,0.98166,1.04947,15.72,-39.6,-3.72
0.6069,19587.3453,5.46117,5.73651,5.7389,-0.45326,1.0965,0.8882,14.82,-40.14,-3.54
0.6254,19587.3653,5.86819,5.9855,5.34386,-0.44166,1.01404,0.8094,14.1,-40.44,-3.72
0.6484,19587.3852,6.45716,6.39012,5.41808,-0.42211,1.01098,0.66706,13.2,-40.98,-4.44
0.6671,19587.4053,6.52181,7.07965,4.49392,-0.42028,0.77519,0.40928,12.18,-41.64,-4.5
0.6853,19587.4253,6.67264,7.86016,4.5825,-0.58582,0.36957,0.12523,11.7,-42.06,-4.56
0.7056,19587.4452,6.54335,8.20972,4.71179,-0.90836,0.33231,-0.25473,11.7,-42.0,-4.8
0.729,19587.4653,5.47315,8.57603,5.10204,-1.2877,0.35858,-0.45876,11.28,-42.18,-4.98
0.7696,19587.4853,4.53941,9.01656,6.11479,-1.56565,0.2193,-0.50824,11.76,-41.58,-5.88
0.7864,19587.5072,3.92649,9.01896,6.56969,-1.41232,-0.24923,-0.38607,12.3,-41.22,-6.72
0.7952,19587.5282,4.06057,10.02931,7.87214,-1.02931,-1.2144,-0.24557,12.3,-40.56,-7.56
0.8142,19587.5483,5.1188,11.57357,8.70053,-0.6579,-1.53694,-0.33048,12.42,-39.84,-8.34
0.8324,19587.5682,5.26964,12.07875,8.33182,-0.52534,-1.85947,-0.61392,12.0,-39.54,-9.06
0.8814,19587.5882,4.68545,11.37006,10.08198,-0.2193,-2.16796,-0.74037,11.52,-39.18,-9.96
0.8831,19587.6083,3.89537,10.88883,10.18015,0.38729,-2.22966,-0.83566,11.46,-39.06,-10.86
0.8898,19587.6282,3.27766,10.37408,8.66701,0.70188,-2.31823,-0.83872,11.7,-39.06,-11.52
0.9145,19587.6482,3.28006,10.41478,7.96072,0.72388,-2.32251,-0.73793,12.06,-38.94,-12.54
0.9283,19587.6683,3.87382,11.09952,7.50343,0.76969,-2.24921,-0.74892,11.76,-39.06,-13.2
0.9495,19587.6883,4.94881,11.5185,6.359,0.69272,-2.1814,-1.06535,11.22,-38.88,-13.38
0.9758,19587.7082,4.14197,10.83616,6.11719,0.48564,-2.25959,-1.44714,11.28,-38.4,-13.56
0.9916,19587.7283,2.42054,9.76355,7.78834,0.47709,-2.45934,-1.54305,11.1,-37.74,-13.26
1.0176,19587.7481,1.97522,9.11233,8.837,0.84055,-2.41414,-1.48501,11.34,-37.5,-13.14
1.0273,19587.7682,2.14042,8.92558,7.57765,1.1411,-2.34694,-1.5797,11.94,-37.74,-13.26
1.0493,19587.7882,1.23301,7.96311,6.38294,1.10933,-2.36894,-1.69576,12.18,-37.98,-13.26
1.0676,19587.8083,0.39983,6.66785,6.67503,1.07696,-2.33961,-1.64567,12.9,-38.76,-13.5
1.0874,19587.8282,-0.08619,5.66708,6.40449,1.22356,-2.27608,-1.45875,13.56,-38.58,-13.56
1.1078,19587.8482,-0.1245,5.17626,5.08289,1.43737,-2.39276,-1.18141,14.16,-38.52,-13.26
1.1282,19587.8683,0.36392,4.80516,4.10127,1.67133,-2.75806,-0.96211,15.0,-38.16,-13.32
1.1485,19587.8882,0.64883,4.65912,3.18908,1.80389,-3.0641,-0.93035,15.18,-37.92,-12.6
1.1794,19587.9082,0.76614,4.52025,2.02071,1.51006,-3.02256,-1.03175,15.6,-37.92,-12.12
1.1953,19587.9283,0.51954,4.51307,2.36787,0.85643,-2.65971,-1.16003,16.02,-38.16,-11.88
1.2169,19587.9482,-0.01915,4.19464,3.1364,0.30849,-2.00425,-1.32191,16.14,-38.64,-11.52
1.2361,19587.9682,-0.51475,4.36702,3.24893,-0.0898,-1.48501,-1.507,16.62,-38.46,-11.7
1.2491,19587.9883,-1.49638,4.17788,2.15478,-0.45693,-1.08978,-1.68538,16.8,-38.04,-12.0
1.2764,19588.0082,-4.27604,3.72538,1.85072,-1.04214,-1.08978,-1.69271,17.1,-37.02,-12.42
1.2919,19588.0292,-6.74207,3.79242,4.29999,-1.51861,-0.95051,-1.21745,17.46,-36.24,-13.02
1.3189,19588.0503,-6.46195,5.22415,7.06529,-1.55404,-0.43494,-0.70799,18.24,-35.76,-13.74
1.3301,19588.0702,-6.34463,6.49068,6.62954,-1.51372,0.29688,-0.48136,18.9,-34.92,-14.88
1.3522,19588.0902,-7.3071,7.53695,5.6575,-1.75563,0.69394,-0.28955,19.5,-34.5,-16.32
1.3751,19588.1103,-7.185,8.78672,6.91924,-2.01097,0.95295,-0.03299,20.16,-33.84,-17.64
1.3919,19588.1302,-5.88974,10.3214,8.05888,-2.09038,1.66339,0.09591,20.28,-33.0,-18.84
1.41,19588.1502,-5.83467,11.15459,7.03416,-2.15086,2.07083,0.1857,20.94,-32.04,-19.56
1.4302,19588.1703,-6.71813,11.41795,8.25521,-2.04579,1.9792,0.59315,21.48,-30.54,-20.1
1.4527,19588.1902,-5.33428,12.39239,10.25676,-1.62063,2.00791,1.1411,21.6,-29.46,-20.64
1.4797,19588.2112,-1.79565,14.5352,10.37408,-0.98716,2.39032,1.31275,22.14,-28.92,-21.24
1.5001,19588.2312,-0.81882,14.65491,8.51857,-0.47831,2.55403,1.18202,22.68,-28.38,-22.26
1.5149,19588.2522,-1.00317,14.70998,8.4659,-0.12584,2.36588,1.20585,23.04,-28.86,-22.26
1.5358,19588.2722,0.16999,14.81771,9.67976,0.29138,2.39826,1.1918,24.12,-29.34,-21.54
1.5536,19588.2922,1.64721,14.38915,8.47308,0.65057,2.82342,0.90836,24.72,-29.22,-20.28
1.5754,19588.3122,0.24181,12.81616,5.65271,0.64996,2.69392,0.6408,24.9,-30.24,-17.76
1.5948,19588.3322,-2.48279,10.74278,4.64715,0.56994,2.12887,0.79474,25.44,-30.6,-15.96
1.6119,19588.3523,-2.51631,9.63427,4.89375,0.551,1.43126,1.1973,25.38,-30.78,-14.7
1.632,19588.3722,-0.42617,9.25598,5.31273,0.43371,1.1973,1.36101,25.5,-31.38,-13.2
1.6551,19588.3922,0.78051,9.05008,5.46357,0.20159,1.27976,1.15148,25.38,-31.68,-12.54
1.6821,19588.4123,0.51236,8.68377,6.3997,0.08674,1.55954,0.90164,25.08,-32.34,-11.64
1.6952,19588.4322,0.99359,7.75961,6.52659,0.13928,1.78495,0.75014,24.78,-33.06,-10.92
1.7144,19588.4522,0.67756,7.12514,6.51462,0.22724,2.11909,0.60476,24.36,-33.96,-10.32
1.7394,19588.4723,-1.73101,6.29675,4.9943,0.33048,2.21561,0.7196,24.24,-34.56,-9.3
1.7602,19588.4922,-3.38061,4.93445,4.27604,0.45082,1.65606,1.2144,23.94,-34.92,-8.58
1.7735,19588.5122,-3.32315,4.18506,5.19302,0.74098,1.0568,1.89307,23.28,-35.22,-7.02
1.7934,19588.5323,-1.51553,4.4987,5.35344,0.99938,1.39399,2.34756,22.92,-35.46,-5.46
1.814,19588.5522,0.14365,4.12042,3.91452,0.8717,1.9957,2.55586,21.84,-36.3,-4.44
1.8376,19588.5722,1.69031,4.12282,2.94726,0.50457,2.17957,2.52471,20.58,-37.2,-2.76
1.8587,19588.5932,3.45483,4.56095,2.82276,0.05437,2.20461,2.21439,19.14,-38.52,-1.68
1.8757,19588.6132,3.86185,4.87459,2.32716,-0.37018,2.06045,1.70248,16.92,-39.54,-0.6
1.9056,19588.6332,2.86347,4.10606,2.84671,-0.73182,1.61452,1.28221,15.3,-40.2,0.48
1.9183,19588.6532,2.02549,3.45483,4.56574,-0.77885,1.25288,1.08001,13.8,-40.92,0.66
1.9385,19588.6732,2.65517,3.39737,4.73094,-0.7086,1.30603,0.93768,12.72,-41.34,0.84
1.9549,19588.6932,3.31118,2.97839,3.39977,-0.85949,1.39216,0.74403,11.88,-41.34,0.72
