AppTimestamp(s),SensorTimestamp(s),mag_x,mag_y,mag_z
0.0367,19586.74,21.6,-33.6,-15.84
0.039,19586.76,21.06,-33.42,-16.68
0.0453,19586.78,21.06,-32.82,-17.4
0.0685,19586.8,21.42,-32.34,-18.6
0.094,19586.8199,21.48,-31.92,-19.26
0.1046,19586.84,21.78,-31.02,-19.02
0.1242,19586.8599,22.02,-31.62,-18.78
0.1436,19586.88,22.26,-31.92,-17.46
0.165,19586.9,22.38,-32.64,-16.02
0.1836,19586.92,22.8,-33.78,-15.12
0.2043,19586.94,22.56,-34.26,-13.92
0.2254,19586.96,22.2,-34.74,-13.68
0.2493,19586.98,21.96,-34.56,-13.8
0.2657,19587,21.48,-34.44,-13.92
0.2848,19587.02,21.84,-34.08,-13.8
0.304,19587.04,21.66,-34.08,-13.74
0.3238,19587.06,21.18,-34.14,-13.08
0.3546,19587.08,21.06,-34.56,-12.72
0.3664,19587.1,20.4,-35.1,-12.96
0.3863,19587.12,19.92,-35.34,-12.9
0.4047,19587.14,19.8,-36,-12.78
0.4251,19587.16,19.5,-36.24,-11.82
0.4445,19587.18,18.9,-36.96,-9.84
0.4684,19587.2,18.54,-37.74,-7.74
0.4838,19587.22,17.94,-38.28,-5.58
0.5047,19587.24,17.16,-38.76,-4.38
0.5388,19587.26,17.04,-38.94,-4.08
0.5486,19587.28,16.5,-39.42,-3.6
0.5739,19587.3,16.08,-39.48,-3.6
0.5844,19587.32,15.72,-39.6,-3.72
0.605,19587.34,14.82,-40.14,-3.54
0.624,19587.36,14.1,-40.44,-3.72
0.645,19587.38,13.2,-40.98,-4.44
0.6651,19587.4,12.18,-41.64,-4.5
0.6839,19587.42,11.7,-42.06,-4.56
0.704,19587.44,11.7,-42,-4.8
0.7253,19587.46,11.28,-42.18,-4.98
0.7608,19587.48,11.76,-41.58,-5.88
0.784,19587.502,12.3,-41.22,-6.72
0.7905,19587.523,12.3,-40.56,-7.56
0.8121,19587.543,12.42,-39.84,-8.34
0.831,19587.563,12,-39.54,-9.06
0.8795,19587.5829,11.52,-39.18,-9.96
0.8826,19587.603,11.46,-39.06,-10.86
0.8888,19587.623,11.7,-39.06,-11.52
0.9134,19587.643,12.06,-38.94,-12.54
0.9275,19587.663,11.76,-39.06,-13.2
0.9486,19587.683,11.22,-38.88,-13.38
0.9743,19587.7029,11.28,-38.4,-13.56
0.9903,19587.723,11.1,-37.74,-13.26
1.0137,19587.7428,11.34,-37.5,-13.14
1.0265,19587.763,11.94,-37.74,-13.26
1.0476,19587.783,12.18,-37.98,-13.26
1.0667,19587.803,12.9,-38.76,-13.5
1.0864,19587.8229,13.56,-38.58,-13.56
1.1069,19587.843,14.16,-38.52,-13.26
1.1269,19587.863,15,-38.16,-13.32
1.1473,19587.883,15.18,-37.92,-12.6
1.1746,19587.903,15.6,-37.92,-12.12
1.1921,19587.923,16.02,-38.16,-11.88
1.2101,19587.9429,16.14,-38.64,-11.52
1.2347,19587.963,16.62,-38.46,-11.7
1.2475,19587.983,16.8,-38.04,-12
1.2713,19588.003,17.1,-37.02,-12.42
1.291,19588.024,17.46,-36.24,-13.02
1.316,19588.045,18.24,-35.76,-13.74
1.3289,19588.065,18.9,-34.92,-14.88
1.3511,19588.085,19.5,-34.5,-16.32
1.3714,19588.105,20.16,-33.84,-17.64
1.3909,19588.125,20.28,-33,-18.84
1.4091,19588.145,20.94,-32.04,-19.56
1.4289,19588.165,21.48,-30.54,-20.1
1.4501,19588.185,21.6,-29.46,-20.64
1.4747,19588.206,22.14,-28.92,-21.24
1.4969,19588.226,22.68,-28.38,-22.26
1.5132,19588.247,23.04,-28.86,-22.26
1.5342,19588.267,24.12,-29.34,-21.54
1.5518,19588.287,24.72,-29.22,-20.28
1.5719,19588.307,24.9,-30.24,-17.76
1.594,19588.327,25.44,-30.6,-15.96
1.6109,19588.347,25.38,-30.78,-14.7
1.6308,19588.367,25.5,-31.38,-13.2
1.6528,19588.387,25.38,-31.68,-12.54
1.6793,19588.407,25.08,-32.34,-11.64
1.6931,19588.427,24.78,-33.06,-10.92
1.7122,19588.447,24.36,-33.96,-10.32
1.7336,19588.467,24.24,-34.56,-9.3
1.7578,19588.4869,23.94,-34.92,-8.58
1.7716,19588.507,23.28,-35.22,-7.02
1.7917,19588.527,22.92,-35.46,-5.46
1.8125,19588.547,21.84,-36.3,-4.44
1.8326,19588.567,20.58,-37.2,-2.76
1.855,19588.588,19.14,-38.52,-1.68
1.8733,19588.608,16.92,-39.54,-0.6
1.904,19588.628,15.3,-40.2,0.48
1.916,19588.648,13.8,-40.92,0.66
1.9366,19588.668,12.72,-41.34,0.84
1.953,19588.688,11.88,-41.34,0.72
1.9724,19588.708,11.1,-41.52,0.54
2.0102,19588.728,10.26,-41.94,0.42
2.0138,19588.748,9.48,-42.12,-0.66
2.037,19588.768,8.64,-42.36,-1.68
2.0672,19588.788,8.22,-42.42,-2.4
2.0724,19588.808,8.1,-42.18,-3.6
2.0926,19588.828,7.86,-41.88,-3.78
2.1118,19588.848,7.68,-42,-4.86
2.1318,19588.868,7.5,-41.88,-5.94
2.1518,19588.888,7.26,-41.52,-6.9
2.1718,19588.908,7.32,-41.46,-8.04
2.1919,19588.928,7.68,-41.22,-8.76
2.2133,19588.948,7.68,-41.22,-10.14
2.2344,19588.969,7.92,-41.22,-11.04
2.2555,19588.99,7.8,-40.74,-11.58
2.2764,19589.01,8.4,-40.74,-12.18
2.2953,19589.03,9.42,-40.56,-12.12
2.3151,19589.05,9.72,-40.26,-11.94
2.3411,19589.0699,10.5,-40.56,-11.88
2.357,19589.091,11.4,-40.26,-11.28
2.3837,19589.111,11.52,-40.32,-10.68
2.4025,19589.131,12.54,-40.86,-9.78
2.4152,19589.1509,13.2,-40.74,-9.06
2.4451,19589.171,14.16,-40.56,-9
2.4576,19589.191,15.18,-39.96,-8.88
2.4753,19589.211,16.32,-39.18,-9.24
2.495,19589.231,17.7,-38.46,-9.42
2.5152,19589.251,18.72,-37.86,-9.18
2.5363,19589.271,20.52,-36.54,-9.9
2.5613,19589.291,22.08,-35.46,-11.22
2.5747,19589.311,23.64,-34.14,-12.72
2.5975,19589.331,24.54,-32.58,-14.64
2.6148,19589.351,25.62,-31.2,-15.96
2.6359,19589.371,26.16,-29.88,-16.32
2.6572,19589.391,26.64,-28.5,-17.58
2.6882,19589.411,27.72,-27.12,-18.12
2.6964,19589.431,28.56,-25.8,-18.78
2.7298,19589.452,30.06,-24.06,-19.92
2.7485,19589.472,31.08,-22.32,-20.1
2.7601,19589.492,31.32,-20.82,-20.52
2.7793,19589.512,32.1,-18.9,-21.12
2.8002,19589.532,32.22,-16.8,-21.66
2.8202,19589.552,33,-15.24,-22.08
2.842,19589.5719,33.9,-13.2,-22.74
2.8562,19589.592,33.78,-11.94,-23.28
2.8758,19589.612,33.54,-10.92,-24.72
2.898,19589.632,32.82,-9.9,-25.92
2.9173,19589.652,32.4,-9.6,-26.82
2.9362,19589.672,32.16,-9.42,-27.66
2.97,19589.692,31.56,-9.06,-28.14
2.9806,19589.712,30.78,-8.7,-29.28
3.0034,19589.732,30,-8.28,-30.24
3.0304,19589.752,28.8,-8.1,-31.08
3.0361,19589.772,27.84,-8.46,-32.1
3.057,19589.7919,27.6,-9,-31.92
3.0754,19589.8119,27.6,-10.38,-31.26
3.0955,19589.832,28.08,-12.84,-30
3.1155,19589.852,28.56,-15.48,-27.3
3.1354,19589.872,28.56,-18.66,-24.96
3.1555,19589.892,27.72,-21.96,-22.74
3.1788,19589.912,27.36,-24.24,-20.16
3.1977,19589.932,27.36,-26.7,-18.06
3.2174,19589.952,27.18,-28.68,-16.08
3.2399,19589.972,27.12,-30.3,-14.28
3.2564,19589.992,26.1,-31.62,-13.08
3.2777,19590.012,24.84,-32.82,-11.64
3.3072,19590.032,23.28,-34.2,-10.14
3.3206,19590.052,21.96,-35.52,-8.52
3.3444,19590.073,20.46,-36.96,-6.9
3.3596,19590.093,18.72,-38.22,-5.64
3.3807,19590.113,16.98,-39.18,-4.86
3.4041,19590.133,15,-39.9,-5.1
3.4171,19590.153,13.02,-40.62,-5.4
3.4427,19590.173,11.04,-41.16,-5.4
3.4574,19590.193,9.42,-42.06,-5.7
3.4771,19590.213,7.44,-42.48,-5.4
3.497,19590.233,5.22,-42.96,-5.64
3.5173,19590.253,3.48,-42.9,-6.42
3.5395,19590.273,1.68,-42.66,-6.9
3.5623,19590.293,0.48,-42.84,-6.96
3.5801,19590.314,-0.24,-42.72,-7.2
3.5994,19590.335,-0.9,-42.96,-7.68
3.6198,19590.355,-0.9,-42.42,-8.22
3.643,19590.375,-1.08,-41.94,-9.9
3.6592,19590.3948,-0.3,-41.52,-11.04
3.6815,19590.415,0,-40.98,-11.82
3.7046,19590.435,0.42,-41.22,-12.42
3.7222,19590.455,1.08,-41.4,-12.3
3.7419,19590.475,1.62,-41.52,-12.3
3.7617,19590.495,2.88,-41.52,-12.3
3.7795,19590.515,4.08,-41.16,-12.48
3.7993,19590.535,5.82,-40.62,-12.72
3.8206,19590.555,7.92,-40.38,-12.78
3.8424,19590.5749,10.02,-39.9,-12.9
3.8655,19590.595,12.48,-39.48,-12.66
3.8931,19590.616,14.28,-39,-12.6
3.9043,19590.636,16.14,-37.86,-12.48
3.9254,19590.656,17.7,-36.96,-12.78
3.9451,19590.676,18.84,-36.36,-13.02
3.9759,19590.696,20.22,-35.28,-13.5
3.9852,19590.716,21.3,-34.92,-13.92
4.0051,19590.737,22.2,-34.44,-13.8
4.0289,19590.757,22.5,-33.72,-14.34
4.0481,19590.777,23.04,-33.54,-14.64
4.0616,19590.7969,22.62,-33.06,-15.24
4.0828,19590.817,22.68,-33,-16.14
4.1008,19590.837,22.86,-32.7,-17.04
4.1212,19590.857,22.5,-32.1,-17.94
4.1407,19590.877,22.2,-31.56,-19.02
4.1612,19590.897,21.18,-30.72,-20.1
4.1835,19590.917,20.52,-30.06,-21
4.2011,19590.937,20.04,-29.46,-22.2
4.2215,19590.957,19.74,-29.16,-23.34
4.2418,19590.977,19.38,-28.74,-24.12
4.2626,19590.997,19.38,-28.44,-25.08
4.2821,19591.017,19.08,-28.86,-25.38
4.3059,19591.037,19.2,-29.34,-25.56
4.3263,19591.057,19.02,-30.48,-25.08
4.3427,19591.078,18.3,-31.68,-23.88
4.3634,19591.098,18.12,-32.28,-22.62
4.3876,19591.118,18.12,-33.06,-21
4.4025,19591.138,18,-33.9,-19.38
4.4286,19591.158,18.3,-34.5,-18.72
4.4433,19591.178,18.06,-35.4,-17.58
4.4618,19591.198,17.7,-35.82,-16.44
4.4818,19591.218,17.76,-36.66,-15.3
4.5044,19591.238,17.46,-37.26,-13.5
4.5227,19591.258,17.7,-37.98,-12.72
4.5432,19591.278,17.88,-38.16,-11.76
4.5633,19591.298,18.24,-37.8,-11.28
4.5822,19591.318,19.08,-37.44,-11.34
4.6062,19591.338,20.1,-36.84,-10.98
4.6294,19591.358,21.12,-36.54,-10.38
4.6432,19591.378,22.2,-35.94,-9.9
4.6624,19591.398,22.98,-35.46,-9.54
4.6847,19591.418,23.28,-35.04,-9.18
4.702,19591.438,23.4,-34.56,-9.6
4.722,19591.458,23.28,-34.56,-10.02
4.742,19591.478,23.52,-34.56,-10.38
4.7621,19591.498,23.46,-34.56,-10.98
4.7821,19591.518,23.4,-34.98,-11.94
4.8031,19591.538,22.86,-34.92,-12.66
4.8546,19591.558,21.9,-34.8,-13.14
4.8561,19591.5779,21,-34.56,-13.8
4.8623,19591.598,19.98,-34.38,-13.68
4.883,19591.618,19.5,-34.86,-13.98
4.9018,19591.638,18.9,-35.4,-14.52
4.9219,19591.658,17.58,-35.82,-14.88
4.9512,19591.678,15.9,-35.94,-15.18
4.962,19591.698,14.1,-36.06,-14.94
4.9897,19591.718,12.96,-36.72,-14.82
5.0018,19591.738,11.76,-37.74,-13.5
5.0251,19591.758,11.22,-39.3,-12.54
5.046,19591.778,10.86,-40.2,-11.58
5.0689,19591.798,10.5,-40.62,-9.66
5.0814,19591.818,10.92,-41.16,-9.18
5.1015,19591.8379,10.98,-40.62,-8.58
5.122,19591.858,11.4,-40.44,-7.62
5.143,19591.878,11.4,-40.38,-6.72
5.1635,19591.898,11.52,-39.96,-5.58
5.1826,19591.918,12.12,-40.14,-3.9
5.2028,19591.938,12,-40.14,-3.12
5.2241,19591.9579,12.36,-39.9,-2.22
5.2487,19591.978,13.08,-39.72,-1.08
5.2652,19591.998,13.86,-39.42,-0.3
5.2831,19592.018,15,-39.12,1.2
5.3022,19592.038,15.72,-39.42,1.74
5.3233,19592.058,16.92,-39.24,2.7
5.3475,19592.078,17.88,-39.48,3.36
