AppTimestamp(s),MAC,Frequency,RSSI
0.8412,20:23:00:00:00:01,2437,-67
0.8412,20:23:00:00:00:02,2462,-70
0.8412,20:23:00:00:00:03,5200,-75
0.8412,20:23:00:00:00:04,5500,-76
0.8412,20:23:00:00:00:05,5500,-76
0.8412,20:23:00:00:00:06,2462,-77
0.8412,20:23:00:00:00:07,2462,-78
0.8412,20:23:00:00:00:08,2462,-80
0.8412,20:23:00:00:00:09,5200,-82
0.8412,20:23:00:00:00:10,5320,-84
0.8412,20:23:00:00:00:11,2412,-85
0.8412,20:23:00:00:00:12,2417,-85
0.8412,20:23:00:00:00:13,5500,-85
0.8412,20:23:00:00:00:14,5500,-86
0.8412,20:23:00:00:00:15,2452,-86
0.8412,20:23:00:00:00:16,5500,-86
0.8412,20:23:00:00:00:17,5500,-87
0.8412,20:23:00:00:00:18,2412,-87
0.8412,20:23:00:00:00:19,5260,-87
0.8412,20:23:00:00:00:20,2432,-88
0.8412,20:23:00:00:00:21,5500,-89
0.8412,20:23:00:00:00:22,5500,-91
0.8412,20:23:00:00:00:23,5200,-91
4.8082,20:23:00:00:00:01,2437,-63
4.8082,20:23:00:00:00:02,2462,-71
4.8082,20:23:00:00:00:24,2462,-73
4.8082,20:23:00:00:00:25,2412,-74
4.8082,20:23:00:00:00:07,2462,-75
4.8082,20:23:00:00:00:03,5200,-75
4.8082,20:23:00:00:00:06,2462,-76
4.8082,20:23:00:00:00:10,5320,-79
4.8082,20:23:00:00:00:26,2437,-81
4.8082,20:23:00:00:00:27,2437,-81
4.8082,20:23:00:00:00:04,5500,-82
4.8082,20:23:00:00:00:09,5200,-82
4.8082,20:23:00:00:00:05,5500,-83
4.8082,20:23:00:00:00:16,5500,-83
4.8082,20:23:00:00:00:19,5260,-83
4.8082,20:23:00:00:00:28,2437,-84
4.8082,20:23:00:00:00:14,5500,-84
4.8082,20:23:00:00:00:17,5500,-84
4.8082,20:23:00:00:00:29,2412,-84
4.8082,20:23:00:00:00:13,5500,-84
4.8082,20:23:00:00:00:21,5500,-84
4.8082,20:23:00:00:00:22,5500,-86
4.8082,20:23:00:00:00:30,2437,-86
4.8082,20:23:00:00:00:31,2412,-89
4.8082,20:23:00:00:00:32,2437,-91
8.8201,20:23:00:00:00:25,2412,-67
8.8201,20:23:00:00:00:01,2437,-68
8.8201,20:23:00:00:00:07,2462,-78
8.8201,20:23:00:00:00:03,5200,-79
8.8201,20:23:00:00:00:05,5500,-79
8.8201,20:23:00:00:00:10,5320,-79
8.8201,20:23:00:00:00:02,2462,-79
8.8201,20:23:00:00:00:19,5260,-80
8.8201,20:23:00:00:00:18,2412,-81
8.8201,20:23:00:00:00:30,2437,-81
8.8201,20:23:00:00:00:04,5500,-82
8.8201,20:23:00:00:00:09,5200,-82
8.8201,20:23:00:00:00:12,2417,-82
8.8201,20:23:00:00:00:33,2412,-84
8.8201,20:23:00:00:00:31,2412,-85
8.8201,20:23:00:00:00:34,2432,-85
8.8201,20:23:00:00:00:17,5500,-86
8.8201,20:23:00:00:00:21,5500,-86
8.8201,20:23:00:00:00:35,2412,-89
8.8201,20:23:00:00:00:36,2447,-92
8.8201,20:23:00:00:00:37,5180,-94
12.8034,20:23:00:00:00:01,2437,-70
12.8034,20:23:00:00:00:24,2462,-70
12.8034,20:23:00:00:00:06,2462,-71
12.8034,20:23:00:00:00:02,2462,-71
12.8034,20:23:00:00:00:25,2412,-71
12.8034,20:23:00:00:00:07,2462,-72
12.8034,20:23:00:00:00:03,5200,-75
12.8034,20:23:00:00:00:08,2462,-75
12.8034,20:23:00:00:00:05,5500,-77
12.8034,20:23:00:00:00:04,5500,-78
