AppTimestamp(s),SensorTimestamp(s),PitchX,RollY,YawZ,Quat_2,Quat_3,Quat_4
0.0547,65093.5471,49.975651,11.576796,-16.530445,0.42904782,0.03004867,-0.08747417
0.0585,65093.5672,49.167076,10.72878,-16.193768,0.42204267,0.02582911,-0.08901366
0.0611,65093.5871,48.577408,10.544805,-16.414185,0.41735595,0.0244292,-0.09215438
0.0651,65093.6071,48.069195,11.081195,-17.000937,0.41396657,0.0272883,-0.09547885
0.0889,65093.6272,47.673,11.624894,-17.350132,0.41142273,0.03093288,-0.09679702
0.1182,65093.6471,47.606304,11.673828,-17.337227,0.41094044,0.03146946,-0.09660809
0.1212,65093.6671,47.67384,11.27888,-17.159885,0.41108778,0.02887898,-0.09653375
0.1553,65093.6871,47.571644,10.666803,-16.984251,0.40973049,0.02482155,-0.09746711
0.1595,65093.7081,47.079182,10.16713,-17.054369,0.40545949,0.02134999,-0.10040729
0.1797,65093.728,46.300583,10.102103,-17.246132,0.3993285,0.02132215,-0.10310243
0.1995,65093.7481,45.411522,10.156597,-17.285542,0.39238843,0.02295199,-0.10430346
0.22,65093.7681,44.858799,9.934061,-17.140484,0.38779417,0.02249395,-0.10456482
0.2415,65093.7881,44.813961,9.61234,-17.044399,0.38712758,0.0203142,-0.10493742
0.2715,65093.8081,44.942097,9.076801,-16.813957,0.38761416,0.01662744,-0.10476033
0.2997,65093.8281,44.927525,8.466344,-16.508356,0.38690248,0.01280161,-0.10439664
0.3104,65093.8482,44.659092,7.739468,-16.134827,0.38407657,0.00861223,-0.10413145
0.3239,65093.8681,44.321217,7.141719,-15.825912,0.38082817,0.00530454,-0.10398175
0.3419,65093.8881,44.124954,6.728377,-15.67748,0.37888369,0.00273677,-0.10434458
0.3606,65093.9082,44.118336,6.190635,-15.415597,0.37833965,-0.00070526,-0.10402541
0.3808,65093.9281,44.133362,5.460264,-15.090958,0.3778061,-0.00551606,-0.10381634
0.3997,65093.9481,44.023903,4.889766,-15.008106,0.37641671,-0.00969288,-0.10511497
0.4307,65093.9682,43.828148,4.573261,-15.16128,0.37454242,-0.01250371,-0.10753129
0.4451,65093.9881,43.681339,4.373085,-15.411602,0.3731474,-0.01475271,-0.11030564
0.4658,65094.0081,43.52124,4.242679,-15.743541,0.37169284,-0.01668479,-0.11351635
0.4819,65094.0282,43.18742,4.251453,-16.085032,0.36897737,-0.01730389,-0.11648263
0.508,65094.0481,42.778625,4.175438,-16.329865,0.36558408,-0.01818534,-0.11900205
0.5319,65094.0681,42.501671,3.99995,-16.609562,0.36313033,-0.02013521,-0.12201871
0.5492,65094.0882,42.343487,3.899254,-17.010944,0.36167794,-0.02201114,-0.12568884
0.5596,65094.1081,42.19725,3.795595,-17.288221,0.36033392,-0.0235275,-0.12835827
0.5803,65094.1281,41.999943,3.451435,-17.218512,0.3583774,-0.02582361,-0.12901843
0.6013,65094.1481,41.793598,2.958388,-16.85009,0.35625237,-0.0283868,-0.12772459
0.6196,65094.1681,41.605125,2.748753,-16.586893,0.3545678,-0.02902598,-0.12637182
0.6444,65094.1881,41.475006,2.838976,-16.403917,0.35366279,-0.02756923,-0.12469725
0.6832,65094.2081,41.409149,2.743035,-15.99866,0.35312483,-0.02701487,-0.12175663
0.6867,65094.2281,41.463631,2.464621,-15.552038,0.35337937,-0.02795596,-0.11896747
0.7006,65094.2481,41.583946,2.225691,-15.245555,0.35418117,-0.02908252,-0.11715497
0.7204,65094.2691,41.721958,2.054968,-15.024175,0.35517928,-0.02993488,-0.11581481
0.7408,65094.2891,41.908531,1.924908,-14.85888,0.35659865,-0.03068128,-0.11478003
0.7624,65094.31,42.028591,1.882754,-14.693159,0.35757014,-0.03063765,-0.11350702
0.7946,65094.3311,42.07531,1.94522,-14.466351,0.35806805,-0.02947507,-0.11145329
0.8104,65094.3512,42.256599,1.981893,-14.217588,0.35962951,-0.02859349,-0.10923125
0.8272,65094.3711,42.516781,1.762486,-13.890635,0.36160454,-0.02960976,-0.10714503
0.8419,65094.3911,42.675598,1.418467,-13.513627,0.36266741,-0.03135797,-0.10510927
0.862,65094.4111,42.770447,1.375135,-13.163516,0.36348814,-0.03069178,-0.10237471
0.8876,65094.4311,42.984531,1.387737,-12.597433,0.36537349,-0.02899294,-0.09766593
0.9071,65094.4511,43.558384,1.179956,-11.734941,0.37004471,-0.02841583,-0.09112535
0.9307,65094.4711,44.398483,0.736568,-10.776089,0.37671015,-0.02955259,-0.08452059
0.9468,65094.4911,45.298038,-0.275131,-9.620582,0.38354179,-0.03449992,-0.07831097
0.9621,65094.5111,46.221649,-1.208245,-8.692822,0.39062533,-0.03941502,-0.07382713
0.9839,65094.5332,46.851116,-1.722857,-7.876524,0.39562616,-0.04106422,-0.06897634
1.0062,65094.5531,47.367775,-2.175067,-6.842576,0.39986479,-0.04131779,-0.06225158
1.0251,65094.5731,48.058483,-2.497506,-5.803083,0.40557665,-0.0404866,-0.05508485
1.0645,65094.5932,48.923664,-2.579949,-4.89181,0.41273031,-0.03814009,-0.04814915
