AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,PitchX,RollY,YawZ,Quat_1,Quat_2,Quat_3,Quat_4
0.0542,65093.5471,-1.01514,8.26,6.21535,-0.78496,-0.53878,0.09835,-2.1,-34.14,-45.42,49.975651,11.576796,-16.530445,0.8985339810865751,0.42904782,0.03004867,-0.08747417
0.058,65093.5672,0.22505,8.30788,8.5042,-0.53939,-0.3543,-0.18265,-2.4,-34.08,-45.66,49.167076,10.72878,-16.193768,0.9018255984996674,0.42204267,0.02582911,-0.08901366
0.0606,65093.5871,0.04788,7.27837,7.94636,-0.35491,0.02016,-0.42699,-2.64,-34.26,-46.02,48.577408,10.544805,-16.414185,0.9037282752209168,0.41735595,0.0244292,-0.09215438
0.064,65093.6071,-1.45567,6.36858,7.13951,-0.31398,0.26939,-0.33475,-2.34,-34.56,-46.5,48.069195,11.081195,-17.000937,0.9048595563998992,0.41396657,0.0272883,-0.09547885
0.0883,65093.6272,-1.9824,6.41167,6.61278,-0.1014,0.13806,-0.05253,-2.4,-34.5,-46.56,47.673,11.624894,-17.350132,0.9057620168087047,0.41142273,0.03093288,-0.09679702
0.1178,65093.6471,-1.75495,6.9791,5.61919,0.03543,-0.19792,0.10873,-2.28,-34.32,-46.56,47.606304,11.673828,-17.337227,0.9059826183798818,0.41094044,0.03146946,-0.09660809
0.1208,65093.6671,-1.28569,7.37414,4.85784,-0.08125,-0.37568,0.11179,-2.04,-34.26,-46.26,47.67384,11.27888,-17.159885,0.9060099760818138,0.41108778,0.02887898,-0.09653375
0.1529,65093.6871,-0.68953,7.67342,5.68384,-0.35003,-0.50274,-0.0617,-1.98,-34.32,-46.5,47.571644,10.666803,-16.984251,0.9066449022016312,0.40973049,0.02482155,-0.09746711
0.1589,65093.7081,-1.03908,7.20415,6.74925,-0.60903,-0.24984,-0.22419,-1.74,-34.44,-46.86,47.079182,10.16713,-17.054369,0.9083309727245877,0.40545949,0.02134999,-0.10040729
0.1791,65093.728,-1.71904,6.36379,7.12275,-0.75503,0.00794,-0.18937,-1.44,-34.68,-47.16,46.300583,10.102103,-17.246132,0.9107425563435709,0.3993285,0.02132215,-0.10310243
0.1991,65093.7481,-1.92494,6.51702,8.35816,-0.56566,-0.07208,-0.00672,-0.9,-34.68,-47.76,45.411522,10.156597,-17.285542,0.9135783022758386,0.39238843,0.02295199,-0.10430346
0.2195,65093.7681,-1.31442,6.53856,8.47787,-0.08919,-0.20586,0.05803,-0.96,-34.62,-47.76,44.858799,9.934061,-17.140484,0.9155194713089264,0.38779417,0.02249395,-0.10456482
0.2405,65093.7881,-1.65439,6.46913,6.96713,0.11179,-0.31948,0.14539,-1.2,-34.38,-47.88,44.813961,9.61234,-17.044399,0.9158098645272649,0.38712758,0.0203142,-0.10493742
0.2648,65093.8081,-0.93853,6.51223,6.08367,0.01527,-0.35064,0.19792,-1.32,-34.38,-48.0,44.942097,9.076801,-16.813957,0.915698675583203,0.38761416,0.01662744,-0.10476033
0.2982,65093.8281,-0.92177,6.55054,5.71735,-0.2303,-0.40073,0.1967,-1.92,-34.56,-48.0,44.927525,8.466344,-16.508356,0.9161025768482304,0.38690248,0.01280161,-0.10439664
0.3098,65093.8482,-0.43814,7.0198,7.00783,-0.33109,-0.36163,0.17776,-2.16,-34.56,-48.0,44.659092,7.739468,-16.134827,0.9173699684382304,0.38407657,0.00861223,-0.10413145
0.3207,65093.8681,-0.39504,6.62476,7.29513,-0.21502,-0.27306,0.07208,-2.22,-34.44,-48.06,44.321217,7.141719,-15.825912,0.9187652379453507,0.38082817,0.00530454,-0.10398175
0.3403,65093.8881,-1.09654,6.26802,6.7325,-0.0507,-0.28039,0.13439,-2.58,-34.44,-48.36,44.124954,6.728377,-15.67748,0.9195389432572035,0.37888369,0.00273677,-0.10434458
0.36,65093.9082,-0.86191,6.84981,6.19619,-0.01161,-0.42883,0.22846,-2.58,-34.44,-48.42,44.118336,6.190635,-15.415597,0.9198028734030688,0.37833965,-0.00070526,-0.10402541
0.3802,65093.9281,-0.21308,7.58483,6.50505,-0.10201,-0.45387,0.08491,-2.76,-34.56,-48.9,44.133362,5.460264,-15.090958,0.9200295057409141,0.3778061,-0.00551606,-0.10381634
0.3992,65093.9481,-0.28252,7.35499,7.06289,-0.18082,-0.40134,-0.08552,-2.82,-34.56,-49.02,44.023903,4.889766,-15.008106,0.9204169444289804,0.37641671,-0.00969288,-0.10511497
0.43,65093.9682,-0.8667,7.00783,7.3071,-0.14355,-0.32559,-0.15333,-2.94,-34.44,-49.02,43.828148,4.573261,-15.16128,0.92086842411265,0.37454242,-0.01250371,-0.10753129
0.4443,65093.9881,-1.07739,6.93121,7.29274,-0.11179,-0.35064,-0.1857,-3.0,-34.26,-48.84,43.681339,4.373085,-15.411602,0.9210733093544109,0.3731474,-0.01475271,-0.11030564
0.4647,65094.0081,-1.24738,6.69898,7.185,-0.25045,-0.2474,-0.22663,-2.52,-33.78,-48.66,43.52124,4.242679,-15.743541,0.9212383452495168,0.37169284,-0.01668479,-0.11351635
0.4811,65094.0282,-1.26893,6.64152,7.45315,-0.35064,-0.20342,-0.16554,-2.16,-33.96,-48.72,43.18742,4.251453,-16.085032,0.9219479772346344,0.36897737,-0.01730389,-0.11648263
0.5043,65094.0481,-0.88107,6.7732,8.15226,-0.25595,-0.31398,-0.17104,-1.74,-33.54,-48.78,42.778625,4.175438,-16.329865,0.9229605007558208,0.36558408,-0.01818534,-0.11900205
0.5292,65094.0681,-0.52912,6.52899,8.02536,-0.11118,-0.36957,-0.24068,-1.5,-33.54,-49.2,42.501671,3.99995,-16.609562,0.9234946513988497,0.36313033,-0.02013521,-0.12201871
0.5485,65094.0882,-1.34794,6.05494,7.79791,-0.06292,-0.30543,-0.18265,-2.04,-34.14,-49.38,42.343487,3.899254,-17.010944,0.9235295842217027,0.36167794,-0.02201114,-0.12568884
0.5592,65094.1081,-1.7741,5.68384,7.62314,-0.0898,-0.33537,0.05498,-2.52,-34.02,-49.32,42.19725,3.795595,-17.288221,0.9236504086307713,0.36033392,-0.0235275,-0.12835827
0.5799,65094.1281,-1.40779,6.22253,8.28154,-0.135,-0.29444,0.2584,-2.7,-34.14,-49.26,41.999943,3.451435,-17.218512,0.9242580943957932,0.3583774,-0.02582361,-0.12901843
0.6009,65094.1481,-0.26815,7.14909,8.97586,-0.13073,-0.10934,0.2248,-2.94,-34.02,-49.26,41.793598,2.958388,-16.85009,0.9251836939573,0.35625237,-0.0283868,-0.12772459
0.6192,65094.1681,-0.08619,6.49786,8.63349,-0.0788,0.12645,0.11484,-2.76,-33.96,-49.92,41.605125,2.748753,-16.586893,0.9259963989120514,0.3545678,-0.02902598,-0.12637182
