AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Quat_1,Quat_2,Quat_3,Quat_4,q_w,q_x,q_y,q_z,quat_angle_error_deg
0.0542,65093.5471,0.7003731682192562,8.47747292874025,15.897860241709939,-0.7689499453953642,-0.533635724879904,0.09507538716082418,-0.5067740579508404,-10.326831302866232,-45.435110836702485,0.8985339810865751,0.42904782,0.03004867,-0.08747417,1.0,0.0,0.0,0.0,52.06794055161249
0.058,65093.5672,0.7892538099265879,8.012128090322085,16.34397896444331,-0.564720013699757,-0.3155400983449378,-0.039179508669889666,-0.6609571215687675,-10.404373550689357,-45.7356100448794,0.9018255984996674,0.42204267,0.02582911,-0.08901366,1.0,0.0,0.0,0.0,51.201837288559204
0.0606,65093.5871,0.7705692669381402,7.597159646363858,16.5634376684084,-0.3850908912846724,-0.14109460512573366,-0.130568538638671,-0.7694054394707759,-10.477205005108203,-46.00825884205859,0.9037282752209168,0.41735595,0.0244292,-0.09215438,1.0,0.0,0.0,0.0,50.69491185883072
0.064,65093.6071,0.6410927578292864,7.299509907776235,16.48639566686809,-0.24917771625642302,-0.04544005066233543,-0.15895606076637508,-0.8044822327699064,-10.53366195644795,-46.228231581262385,0.9048595563998992,0.41396657,0.0272883,-0.09547885,1.0,0.0,0.0,0.0,50.39125138607676
0.0883,65093.6272,0.48954105605282194,7.164479652645958,16.213420196229148,-0.17237341808179205,-0.03775718652953726,-0.13785478945781834,-0.7610559513581607,-10.564840626994709,-46.384838871402806,0.9057620168087048,0.41142273,0.03093288,-0.09679702,1.0,0.0,0.0,0.0,50.14777950340981
0.1178,65093.6471,0.3972883892173713,7.167347894402212,15.933300854630959,-0.16453268841806204,-0.09179404440270252,-0.1017769322685349,-0.6461369339324794,-10.577911775254833,-46.49658413406395,0.9059826183798818,0.41094044,0.03146946,-0.09660809,1.0,0.0,0.0,0.0,50.08809580629524
0.1208,65093.6671,0.3700379150970765,7.220127534263754,15.825784312947858,-0.22000422085292037,-0.15987830953879947,-0.07972976656462309,-0.4713680164868659,-10.592635025123215,-46.60770527773972,0.9060099760818138,0.41108778,0.02887898,-0.09653375,1.0,0.0,0.0,0.0,50.080689550012856
0.1529,65093.6871,0.35609577986217866,7.228934374974658,15.972832546132251,-0.3087456161695463,-0.2020930166114593,-0.07667267993478673,-0.25242447065754425,-10.624083823146933,-46.76192037931015,0.9066449022016312,0.40973049,0.02482155,-0.09746711,1.0,0.0,0.0,0.0,49.90851399956062
0.1589,65093.7081,0.31342565128638555,7.152600653126141,16.31855276426148,-0.38323569801171364,-0.20862120471271525,-0.0759852719875702,-0.012661441412181507,-10.67012182142006,-46.974345180356586,0.9083309727245876,0.40545949,0.02134999,-0.10040729,1.0,0.0,0.0,0.0,49.4485724383669
0.1791,65093.728,0.2555326742146542,7.01826412052517,16.7093921429356,-0.401455617842153,-0.19911872629037916,-0.05781426402582998,0.21009321412379234,-10.713319846373913,-47.22478719605959,0.9107425563435708,0.3993285,0.02132215,-0.10310243,1.0,0.0,0.0,0.0,48.783660324415195
0.1991,65093.7481,0.23388812657081726,6.883588270149178,16.97528099773647,-0.3520729955920797,-0.2001815399736515,-0.015759037758248357,0.3649323624545746,-10.73487572341859,-47.472987363567825,0.9135783022758386,0.39238843,0.02295199,-0.10430346,1.0,0.0,0.0,0.0,47.99074570935969
0.2195,65093.7681,0.28744117036128425,6.789392858401022,17.01227172894537,-0.2626645733666,-0.22288035043758406,0.041352365371317965,0.4073047365308171,-10.729817411070407,-47.682815008458626,0.9155194713089264,0.38779417,0.02249395,-0.10456482,1.0,0.0,0.0,0.0,47.44078622055466
0.2405,65093.7881,0.418721937602065,6.747899843546226,16.843355030077632,-0.17953825526069406,-0.25988663630184516,0.09846653420639774,0.32193108001173254,-10.71025341850089,-47.83988048550053,0.9158098645272648,0.38712758,0.0203142,-0.10493742,1.0,0.0,0.0,0.0,47.35799682150488
0.2648,65093.8081,0.6008790157179227,6.754599730388448,16.600065132163078,-0.1333682290922182,-0.29700320047529727,0.1427099283081755,0.12792175206962386,-10.693292573480782,-47.952173119309045,0.915698675583203,0.38761416,0.01662744,-0.10476033,1.0,0.0,0.0,0.0,47.38971223712139
0.2982,65093.8281,0.7908062241984621,6.796336592395305,16.416661761402178,-0.12172551465746799,-0.3241105118755964,0.16739974842694552,-0.13232214033065737,-10.68645157416696,-48.04149693421832,0.9161025768482304,0.38690248,0.01280161,-0.10439664,1.0,0.0,0.0,0.0,47.27440799773817
0.3098,65093.8482,0.9459722366607045,6.858174913485954,16.33555208736512,-0.12164338675812293,-0.3398356304098645,0.17260739904966155,-0.41091116092120683,-10.68667660798718,-48.13497084409936,0.9173699684382304,0.38407657,0.00861223,-0.10413145,1.0,0.0,0.0,0.0,46.91086364446268
0.3207,65093.8681,1.045397617401614,6.937360184993251,16.316130058949618,-0.11514198422417939,-0.3501313347313591,0.16199618616792646,-0.6716543810509827,-10.689755539616954,-48.25415874967766,0.9187652379453508,0.38082817,0.00530454,-0.10398175,1.0,0.0,0.0,0.0,46.5075389835566
0.3403,65093.8881,1.0989223113298938,7.044505207681498,16.318585919925276,-0.1024566493226893,-0.36111954820889436,0.1368797301967359,-0.8943814390299816,-10.69329512100824,-48.40395756039601,0.9195389432572036,0.37888369,0.00273677,-0.10434458,1.0,0.0,0.0,0.0,46.28245721288631
0.36,65093.9082,1.124818240809788,7.174358533011156,16.351985299967144,-0.09496219277343625,-0.3716655611448932,0.09392394532921541,-1.0677719175571905,-10.69043672796439,-48.5690017702893,0.9198028734030688,0.37833965,-0.00070526,-0.10402541,1.0,0.0,0.0,0.0,46.20543926395133
0.3802,65093.9281,1.1170716469257016,7.285285934934136,16.442476273860755,-0.10080579063452372,-0.3745096965975192,0.03168867410799156,-1.1821567127422192,-10.66586871808451,-48.7190220976548,0.920029505740914,0.3778061,-0.00551606,-0.10381634,1.0,0.0,0.0,0.0,46.13920829437189
0.3992,65093.9481,1.0542512899108227,7.328308782071839,16.587750199617346,-0.1192551057787269,-0.36473677349686023,-0.042073438077954856,-1.2249227014583919,-10.601648956247317,-48.8227501145858,0.9204169444289804,0.37641671,-0.00969288,-0.10511497,1.0,0.0,0.0,0.0,46.025774664809084
0.43,65093.9682,0.9387875719243357,7.288230081667404,16.759152285980377,-0.1452402296510269,-0.34483858899302583,-0.11304583683653889,-1.1812925826326446,-10.489733564672669,-48.867206121338604,0.92086842411265,0.37454242,-0.01250371,-0.10753129,1.0,0.0,0.0,0.0,45.89325678000669
0.4443,65093.9881,0.806359328642602,7.184855585490659,16.933796471792387,-0.173320776984983,-0.32242010795085346,-0.16851216305667185,-1.0459424565493853,-10.342028218627036,-48.868327176289746,0.9210733093544108,0.3731474,-0.01475271,-0.11030564,1.0,0.0,0.0,0.0,45.83299951790925
0.4647,65094.0081,0.6974025102307839,7.047385743186139,17.108685089917664,-0.19571723254719098,-0.305954720931408,-0.20142048314665614,-0.8410865747602687,-10.18923517497933,-48.86238265034432,0.9212383452495168,0.37169284,-0.01668479,-0.11351635,1.0,0.0,0.0,0.0,45.78440749240433
0.4811,65094.0282,0.6287106322003551,6.896292168118789,17.284344301683767,-0.20238753028643156,-0.3006919176477664,-0.20936339965810527,-0.6231779451890385,-10.067820701656466,-48.88472132843421,0.9219479772346344,0.36897737,-0.01730389,-0.11648263,1.0,0.0,0.0,0.0,45.57490982139918
0.5043,65094.0481,0.5875237194883915,6.742111356619467,17.44839591295645,-0.1886957351398666,-0.30381939953067405,-0.19123524488007748,-0.4657797312984726,-10.006048780716853,-48.95116853724303,0.9229605007558208,0.36558408,-0.01818534,-0.11900205,1.0,0.0,0.0,0.0,45.27440394599083
0.5292,65094.0681,0.5545062452729779,6.5993930595339085,17.587920484330862,-0.1612635064514449,-0.3039421796985838,-0.14506003091088798,-0.426034369730907,-10.013140438764118,-49.05401362307558,0.9234946513988496,0.36313033,-0.02013521,-0.12201871,1.0,0.0,0.0,0.0,45.11511007760124
0.5485,65094.0882,0.5420360723558868,6.500231990558147,17.71043364524674,-0.1325693350772884,-0.2875148078253208,-0.07191509433702009,-0.5138134145701347,-10.070836731875971,-49.17610288316934,0.9235295842217028,0.36167794,-0.02201114,-0.12568884,1.0,0.0,0.0,0.0,45.1046738742953
0.5592,65094.1081,0.598276335317617,6.480637464410459,17.83204876942851,-0.11020948179460867,-0.24558266152897346,0.017023322285449692,-0.6885975813685976,-10.142355897774905,-49.31257323744009,0.9236504086307712,0.36033392,-0.0235275,-0.12835827,1.0,0.0,0.0,0.0,45.0685598425069
0.5799,65094.1281,0.7560146958703431,6.5437541043837575,17.941068927421775,-0.09235358614315077,-0.17776540661565576,0.10199185283740964,-0.8912188812207391,-10.196545478539981,-49.477526251911215,0.9242580943957932,0.3583774,-0.02582361,-0.12901843,1.0,0.0,0.0,0.0,44.88650690264486
0.6009,65094.1481,0.9881583274887407,6.648868460269668,17.991266676994428,-0.07184954909066629,-0.09560578964390036,0.1668028794065666,-1.0817436205275202,-10.220502424788052,-49.68466843990371,0.9251836939573,0.35625237,-0.0283868,-0.12772459,1.0,0.0,0.0,0.0,44.60785843227444
0.6192,65094.1681,1.2309682325963076,6.7515819222144495,17.946904078601854,-0.04288526215248473,-0.020658115712961386,0.20716357047437986,-1.2548770285074073,-10.214460640354801,-49.919656249473,0.9259963989120514,0.3545678,-0.02902598,-0.12637182,1.0,0.0,0.0,0.0,44.36182751697098
0.6438,65094.1881,1.4375955200066333,6.839514321290265,17.825748249194206,-0.004632528319913284,0.02760747601363818,0.22550219552062215,-1.4266693904748127,-10.181592916753793,-50.13392853466929,0.9266138161980214,0.35366279,-0.02756923,-0.12469725,1.0,0.0,0.0,0.0,44.17404674963973
0.6827,65094.2081,1.5878428618962974,6.917391630490796,17.68392569676196,0.038466851320149084,0.04520404354444133,0.22342020889514058,-1.603888896483724,-10.123505778236073,-50.26905235707148,0.9272261721324508,0.35312483,-0.02701487,-0.12175663,1.0,0.0,0.0,0.0,43.98705331398426
0.6859,65094.2281,1.6659339189327376,6.9855260472735825,17.57008494737291,0.07856789999852344,0.04422038243393052,0.20356215526573357,-1.7676768321309997,-10.045894504886725,-50.293529168595605,0.9274633287848532,0.35337937,-0.02795596,-0.11896747,1.0,0.0,0.0,0.0,43.9144301980451
0.6997,65094.2481,1.6623250772812905,7.046902367445073,17.504527618835336,0.10813845609087964,0.041238026474083554,0.17404555725055387,-1.888266908444128,-9.96630130533189,-50.227375651523,0.9273535565533676,0.35418117,-0.02908252,-0.11715497,1.0,0.0,0.0,0.0,43.94805929581615
0.7198,65094.2691,1.5902003733452663,7.114163671532248,17.485699163899838,0.12368487250999886,0.04658202945729204,0.1464462705342434,-1.9470034872620208,-9.909060748578696,-50.13471904063867,0.9271129984002656,0.35517928,-0.02993488,-0.11581481,1.0,0.0,0.0,0.0,44.02166971713488
0.7403,65094.2891,1.4782155308034366,7.203029239043151,17.502837750746643,0.12760538707030594,0.06079872150004735,0.13069118301251625,-1.9444962637480219,-9.888091188582486,-50.081529661366346,0.9266723296769674,0.35659865,-0.03068128,-0.11478003,1.0,0.0,0.0,0.0,44.15621116463496
0.7618,65094.31,1.3460135333762304,7.326752026794446,17.546656531619313,0.1272300556893411,0.0767491004149259,0.13249204386108468,-1.8968211299560738,-9.898567090065782,-50.08728328523805,0.9264561974500346,0.35757014,-0.03063765,-0.11350702,1.0,0.0,0.0,0.0,44.22205676984436
0.7919,65094.3311,1.195376803396737,7.489912713252233,17.616165491566562,0.13051362248755263,0.08700989964151318,0.1539574187269976,-1.8252856328792644,-9.926333760025813,-50.11278344528515,0.9265509462333242,0.35806805,-0.02947507,-0.11145329,1.0,0.0,0.0,0.0,44.19320262112931
0.8095,65094.3512,1.0250992516439865,7.6770154378719235,17.717153389464347,0.14305702991327218,0.0922059156453189,0.1956076253750337,-1.7490695362912112,-9.963180742303997,-50.0923645882871,0.9262383936601944,0.35962951,-0.02859349,-0.10923125,1.0,0.0,0.0,0.0,44.28831754822204
0.8268,65094.3711,0.8390278939705952,7.857802821766186,17.838756523732037,0.17133703735838923,0.09881525289716078,0.2582733103942402,-1.6882134206125656,-10.017880198567866,-49.98081952257562,0.9256810256834856,0.36160454,-0.02960976,-0.10714503,1.0,0.0,0.0,0.0,44.45745420277834
0.8415,65094.3911,0.6372240805573255,8.02179442097246,17.925997098533315,0.22524896751045168,0.10552092731066527,0.34295536665128684,-1.66867959584619,-10.11222170087175,-49.78347347401066,0.925441013139918,0.36266741,-0.03135797,-0.10510927,1.0,0.0,0.0,0.0,44.530099558362856
0.8616,65094.4111,0.4286909387893345,8.192745233423086,17.90358932885571,0.3110612574772,0.09699685527357375,0.44595344431110245,-1.7169068499670097,-10.259523269340434,-49.547609691159145,0.9254478945203712,0.36348814,-0.03069178,-0.10237471,1.0,0.0,0.0,0.0,44.5280183156873
0.8822,65094.4311,0.26292422313021735,8.377492744516717,17.74433234284428,0.42100425701468014,0.058284488706471224,0.5528761805762927,-1.8470354077047497,-10.447479863356051,-49.32101582036974,0.9252691437374378,0.36537349,-0.02899294,-0.09766593,1.0,0.0,0.0,0.0,44.58205077407634
0.9063,65094.4511,0.21891274707793618,8.51195428753378,17.503434637532056,0.5334394341317431,-0.005066244079489648,0.6414337246347243,-2.0537999177415562,-10.641708469848624,-49.11661758563523,0.9240971939107944,0.37004471,-0.02841583,-0.09112535,1.0,0.0,0.0,0.0,44.934778183364585
0.9301,65094.4711,0.33477697005217677,8.496899668433493,17.276283602807883,0.6256037857675802,-0.0635004251010652,0.69406524932752,-2.313191544715875,-10.803910955004667,-48.9102973413535,0.92199369692928,0.37671015,-0.02955259,-0.08452059,1.0,0.0,0.0,0.0,45.56138118318336
0.9418,65094.4911,0.5497556465734703,8.290080702993881,17.125320560910748,0.6875086726071182,-0.08111834962798421,0.7088700694353721,-2.589113937842175,-10.913905561331873,-48.66319657011418,0.9195503481709136,0.38354179,-0.03449992,-0.07831097,1.0,0.0,0.0,0.0,46.27913162792575
0.9616,65094.5111,0.7454211741679754,7.944095501434705,17.048065010811523,0.726786742567708,-0.040095141943623194,0.6976975191430137,-2.849680437897585,-10.979174982133905,-48.34697996669345,0.9167376192983212,0.39062533,-0.03941502,-0.07382713,1.0,0.0,0.0,0.0,47.09258037510858
0.9835,65094.5332,0.8490269422383148,7.557311476441049,16.987094556678326,0.7597272351992619,0.050370610977883847,0.6728622988860724,-3.083531458168398,-11.018775605651996,-47.95816827861187,0.914896680439737,0.39562616,-0.04106422,-0.06897634,1.0,0.0,0.0,0.0,47.61788287188775
1.0059,65094.5531,0.8711792150712755,7.1984268123643815,16.853774688590992,0.7918022541681314,0.16670864708303754,0.6381445352834035,-3.302499928332553,-11.03890267579709,-47.514691484713424,0.913523798669348,0.39986479,-0.04131779,-0.06225158,1.0,0.0,0.0,0.0,48.00610170524315
1.0234,65094.5731,0.8646193588462234,6.876471343864451,16.57907739205446,0.8064661556649098,0.2882828771393087,0.5943718459746554,-3.533715912762214,-11.027343947495503,-47.04020943554722,0.9115010013684544,0.40557665,-0.0404866,-0.05508485,1.0,0.0,0.0,0.0,48.57278010877807
1.0608,65094.5932,0.8875071597943001,6.572401275853583,16.17287051526617,0.7768349902936303,0.40514887580084424,0.54926678107129,-3.8024051924085107,-10.966879671480775,-46.55492272628481,0.9087797775569026,0.41273031,-0.03814009,-0.04814915,1.0,0.0,0.0,0.0,49.32546650201484
