AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:35,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:57,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:41,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:35,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:57,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:41,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:25
0.651,-60.0,-89.0,-84.0,-86.0,-87.0,,,-72.0,,,,-63.0,,,,,,,-78.0,,,,,-65.0,-66.0,-63.0,,-65.0,,,,-76.0,-71.0,-70.0,-64.0,-79.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
4.9166,-64.0,,-81.0,,-83.0,,-88.0,,,,,-62.0,,,,,,,-76.0,,,-87.0,,-63.0,-63.0,-65.0,-90.0,-68.0,,,,-75.0,-72.0,-72.0,-64.0,-83.0,,-89.0,,,,,,,,,,,,,,,,,2437.0,,5200.0,,5500.0,,2462.0,,,,,2452.0,,,,,,,2412.0,,,2412.0,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
8.8927,-62.0,,-87.0,-90.0,-91.0,,-80.0,,,-89.0,,-60.0,,,,,,-71.0,,,,,,-66.0,-66.0,-66.0,-86.0,-69.0,-90.0,,,-79.0,-72.0,-72.0,-65.0,,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,5500.0,5500.0,,2462.0,,,2417.0,,2452.0,,,,,,2462.0,,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,2412.0,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,,
12.8931,-56.0,-86.0,-82.0,-85.0,-86.0,,,,,-85.0,,-67.0,,,,,,,,,,,,-74.0,-66.0,-62.0,-86.0,-65.0,-90.0,-92.0,,-77.0,-76.0,-75.0,-69.0,-89.0,,-92.0,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,,,2417.0,,2452.0,,,,,,,,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,2412.0,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,
16.9371,-63.0,-90.0,-82.0,-80.0,-81.0,,,-68.0,-83.0,,,-61.0,,,,,,-81.0,-76.0,,,,,-62.0,-65.0,-66.0,-86.0,-64.0,,,,-81.0,-72.0,-73.0,-68.0,-82.0,,,,,,,,,,,,,,,,,,-90.0,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,5320.0,,,2452.0,,,,,,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,2462.0,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
20.9467,-60.0,,-83.0,-84.0,-85.0,,-82.0,-73.0,,,,-63.0,,,,,,-78.0,-72.0,,,-89.0,,-66.0,-66.0,-67.0,,-66.0,-92.0,,,-81.0,-68.0,-69.0,-65.0,-83.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,5500.0,5500.0,,2462.0,5200.0,,,,2452.0,,,,,,2462.0,2412.0,,,2412.0,,2457.0,2462.0,2412.0,,2427.0,2412.0,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
24.9173,-64.0,,-82.0,,,,,-76.0,,,,-56.0,,,,,,,-72.0,,,-85.0,,-67.0,-61.0,-71.0,,-66.0,,,,-76.0,-71.0,-71.0,-61.0,-78.0,,,,,,,,,,,,,,,,,,-89.0,2437.0,,5200.0,,,,,5200.0,,,,2452.0,,,,,,,2412.0,,,2412.0,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,2437.0
28.9398,-67.0,,-82.0,,,,,-65.0,-88.0,,,-64.0,,-92.0,,,-88.0,-78.0,-80.0,,,,,-70.0,-66.0,-64.0,,-66.0,,,,-78.0,-72.0,-72.0,-66.0,,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,,,,,5200.0,5320.0,,,2452.0,,5260.0,,,5200.0,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,,,2437.0,5200.0,5200.0,2462.0,,,,,,,,,,,,,,,,,,,
32.94,-60.0,,-86.0,-85.0,-84.0,,,-70.0,,,,-61.0,,,,,,-73.0,,,,,,-70.0,-66.0,-64.0,,-70.0,,,,,-72.0,-71.0,,,,,,,,,,,,,,,,,,,,-88.0,2437.0,,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,2462.0,,,,,,2457.0,2462.0,2412.0,,2427.0,,,,,5200.0,5200.0,,,,,,,,,,,,,,,,,,,,2437.0
36.9543,-59.0,-86.0,-85.0,-85.0,-85.0,,,-70.0,,,,-66.0,,,,,,-79.0,-73.0,,,,,-66.0,-68.0,-66.0,,-72.0,,-89.0,,-74.0,-72.0,-72.0,-68.0,-81.0,,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,,,2452.0,,,,,,2462.0,2412.0,,,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,,2437.0,5200.0,5200.0,2462.0,2462.0,,,,,,,,,,,,,,,,,,
