AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:03:25
2.7387,-66.0,,-72.0,,-63.0,,-74.0,,-63.0,-69.0,,-64.0,,,-72.0,-72.0,-63.0,,,2437.0,,5200.0,,2452.0,,2412.0,,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
6.7483,-63.0,,-68.0,,,,-70.0,-66.0,-67.0,-65.0,,-62.0,,,-67.0,-68.0,-67.0,,,2437.0,,5200.0,,,,2412.0,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
10.7519,-55.0,,,,-64.0,,,-67.0,-64.0,-67.0,,-73.0,,,-70.0,-69.0,-65.0,-78.0,,2437.0,,,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,2462.0,
14.7342,-56.0,,,,-69.0,,,-65.0,-68.0,-63.0,,-65.0,,,-70.0,-69.0,-67.0,-79.0,,2437.0,,,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,2462.0,
18.7447,-61.0,,,,-73.0,,,-64.0,-65.0,-69.0,,-66.0,,-78.0,-71.0,-71.0,-67.0,,,2437.0,,,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,2437.0,5200.0,5200.0,2462.0,,
22.7584,-58.0,,-72.0,,-65.0,,,-65.0,-65.0,-67.0,,-64.0,,,-72.0,-72.0,-67.0,,,2437.0,,5200.0,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
26.7368,-55.0,,-70.0,,-61.0,,,-72.0,-65.0,-70.0,,-64.0,,,-71.0,-72.0,-65.0,,,2437.0,,5200.0,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
30.7279,-59.0,,-74.0,,-61.0,,,-65.0,-66.0,-67.0,,-71.0,,,-76.0,-76.0,-66.0,,,2437.0,,5200.0,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
34.7388,-56.0,,-73.0,,-60.0,,,-62.0,-63.0,-65.0,,-65.0,,,-74.0,-74.0,-64.0,,,2437.0,,5200.0,,2452.0,,,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
38.7474,-61.0,,,,-60.0,,-70.0,-61.0,-66.0,-62.0,,-64.0,,,-74.0,-74.0,-66.0,,,2437.0,,,,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,,,5200.0,5200.0,2462.0,,
