AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:02,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:04,wifi_rssi_20:23:00:00:00:05,wifi_rssi_20:23:00:00:00:06,wifi_rssi_20:23:00:00:00:07,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:10,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:13,wifi_rssi_20:23:00:00:00:14,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:16,wifi_rssi_20:23:00:00:00:17,wifi_rssi_20:23:00:00:00:19,wifi_rssi_20:23:00:00:00:21,wifi_rssi_20:23:00:00:00:22,wifi_rssi_20:23:00:00:00:23,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:26,wifi_rssi_20:23:00:00:00:27,wifi_rssi_20:23:00:00:00:28,wifi_rssi_20:23:00:00:00:30,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:41,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:02:39,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:26,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:02,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:04,wifi_freq_20:23:00:00:00:05,wifi_freq_20:23:00:00:00:06,wifi_freq_20:23:00:00:00:07,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:10,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:13,wifi_freq_20:23:00:00:00:14,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:16,wifi_freq_20:23:00:00:00:17,wifi_freq_20:23:00:00:00:19,wifi_freq_20:23:00:00:00:21,wifi_freq_20:23:00:00:00:22,wifi_freq_20:23:00:00:00:23,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:26,wifi_freq_20:23:00:00:00:27,wifi_freq_20:23:00:00:00:28,wifi_freq_20:23:00:00:00:30,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:41,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:02:39,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:26
0.6324,-68.0,,,,,,,,,,,,-82.0,,,,,,,-91.0,-88.0,,,,,-82.0,,-72.0,-80.0,,-83.0,,,-92.0,-72.0,-72.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,2452.0,,,,,,,2462.0,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,,,
2.6021,-66.0,,-91.0,,-88.0,,,-73.0,,-92.0,,,-68.0,,,,,,,-95.0,,,,,,-66.0,,-69.0,-72.0,,-72.0,,,-89.0,-72.0,-72.0,-73.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,5200.0,,5500.0,,,5200.0,,2417.0,,,2452.0,,,,,,,2462.0,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
4.5717,-70.0,-88.0,,,,,,-74.0,,,,,-70.0,,,,,,,-86.0,-84.0,,,,,-76.0,,,-71.0,,-74.0,,,-84.0,-72.0,-71.0,,-93.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,,,,,,5200.0,,,,,2452.0,,,,,,,2462.0,2412.0,,,,,2457.0,,,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,2462.0,,,,,,,,,,,,,,,,,
6.6013,-77.0,-91.0,-89.0,-90.0,-91.0,,,-74.0,,,,,-71.0,,,,,,,-90.0,-80.0,,,,,-74.0,,-70.0,-75.0,,-78.0,,,-88.0,-73.0,-73.0,-72.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,5500.0,5500.0,,,5200.0,,,,,2452.0,,,,,,,2462.0,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
8.6196,-64.0,-91.0,-91.0,,,,,-75.0,,,,,-70.0,,,,,,,-86.0,,,,,,-77.0,,-74.0,-72.0,,-69.0,,,,-75.0,-74.0,-75.0,-86.0,,,,,,,,,,,,,,,,,,2437.0,2437.0,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,2462.0,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
10.6131,-63.0,,-92.0,,,,,-76.0,,,,,-69.0,,,,,,,,,,,,,-81.0,,-73.0,-73.0,,-74.0,,,-86.0,-72.0,-72.0,-74.0,,,,,,,,,,,,,,,,,,,2437.0,,5200.0,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,,
12.6027,-62.0,,,,,,,-75.0,,,,,-76.0,,,,,,,-92.0,,,,,-90.0,-73.0,,-71.0,-81.0,,-78.0,,,-79.0,-74.0,-74.0,-70.0,,,,,,,,,,,,,,,,-92.0,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,2462.0,,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,2462.0,,
14.6224,-63.0,,,,,,,-76.0,,,,,-69.0,,,,,,,,-90.0,,,,,-84.0,,-76.0,-76.0,,-73.0,,,-89.0,-75.0,-75.0,-78.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
16.5732,-60.0,,,,,,,-78.0,,,,,-71.0,,,,,,,,-92.0,,,,,-80.0,,-70.0,-77.0,,-76.0,,,,-72.0,-72.0,-73.0,,,,,,,,,,,,,,,,-92.0,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,2462.0,,
18.633,-65.0,,,,,,,-81.0,,,,,-70.0,,,,,,,,-92.0,,,,,-73.0,,-75.0,-73.0,,-73.0,,,-85.0,-78.0,-77.0,-81.0,-87.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
20.6043,-62.0,,,,,,,,,,,,-74.0,,,,,,,,-90.0,,,,,-81.0,,-78.0,-74.0,,-82.0,,,-92.0,-72.0,-71.0,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,,,
22.5887,-72.0,,,,,,,-77.0,,,,,-80.0,,,,,,,,,,,,,-73.0,,-74.0,-72.0,,-68.0,,,-82.0,-71.0,-71.0,-74.0,-89.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
24.6209,-69.0,,,,,,,-74.0,,,,,-74.0,,,,,,,,-89.0,,,,-94.0,-70.0,,-70.0,-84.0,,-74.0,,,-85.0,-73.0,-73.0,-80.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,,
26.5951,-65.0,,,,,,,-70.0,,,,,-71.0,,,,,,,,-87.0,,,,,,-96.0,,-72.0,,-84.0,,,-86.0,-72.0,-72.0,-78.0,-90.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,,2457.0,,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
28.6107,-72.0,,,,,,,,,-94.0,,,-76.0,,,,,,,,-92.0,,,,,-70.0,,-85.0,-81.0,,-73.0,,,-90.0,-76.0,-75.0,-85.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,2417.0,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,,
30.5959,-61.0,,,,,,,-72.0,,,,,-76.0,,,,,,,,-89.0,,,,-92.0,-75.0,,-74.0,-76.0,,-82.0,,,-85.0,-74.0,-75.0,-73.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,,,,,,,,,,,,,
32.594,-74.0,,,,,,,-75.0,,,,,-75.0,,,,,,,,-88.0,,,,,-73.0,,-77.0,-81.0,,-74.0,,,-85.0,-72.0,-72.0,-75.0,-88.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
34.5773,-68.0,,,,,,,-73.0,,,,,-76.0,,,,,,,,,,,,,-77.0,,-74.0,-75.0,,-76.0,,,-84.0,-73.0,-73.0,-74.0,-88.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,,,,,,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
36.5908,-65.0,,,,,,,-74.0,,-88.0,,,-74.0,,,,,,,,-88.0,,,,-95.0,-77.0,,-77.0,-76.0,-93.0,-75.0,,,,-74.0,-74.0,-77.0,-87.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,2462.0,2427.0,,,,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
38.5894,-71.0,,,,,,,-73.0,,-90.0,,,-73.0,,,,,,,,-90.0,,,,-94.0,-78.0,,-83.0,-78.0,,-73.0,,,-86.0,-75.0,-75.0,-77.0,-93.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,2417.0,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
40.6042,-72.0,,,,,,,-74.0,,,,,-70.0,,,,,,,,-86.0,,,,-92.0,-78.0,,-81.0,-77.0,,-72.0,,,-83.0,-70.0,-70.0,-78.0,-92.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,5200.0,,,,,2452.0,,,,,,,,2412.0,,,,2412.0,2457.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,,,,,,,,,,,,,,,,
