AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05
19.7222,-99.0,,,
69.2643,-98.0,,,
69.8719,,,,-104.0
71.3069,,,,-92.0
71.3206,-97.0,,,
71.7253,-96.0,,,
73.557,-97.0,,,
73.5662,,,,-98.0
75.6261,,,,-100.0
75.8443,,,,-96.0
77.4629,,,,-97.0
77.4817,-100.0,,,
77.6649,,,,-97.0
77.6928,-96.0,,,
79.3165,,,,-95.0
81.3815,,,,-89.0
81.5928,,,,-83.0
81.7778,,,,-87.0
82.1802,,,,-95.0
85.6587,,,,-97.0
87.3117,,,,-91.0
87.4941,,,,-97.0
87.5422,-99.0,,,
87.6825,,,,-94.0
89.34,,,,-97.0
91.7736,,,,-99.0
93.4042,,,,-98.0
93.6128,,,,-99.0
95.3784,-96.0,,,
95.564,-95.0,,,
95.659,,,,-98.0
97.6234,-97.0,,,
97.6989,,,,-94.0
97.8286,-91.0,,,
99.2617,-92.0,,,
99.5424,,,,-97.0
99.7676,,,,-90.0
101.5665,,,,-95.0
101.7786,,,,-97.0
103.6245,,-98.0,,
109.3551,,-99.0,,
109.5662,,-96.0,,
109.7765,,-96.0,,
111.1894,,-96.0,,
113.2509,,-91.0,,
113.6477,,-92.0,,
115.4946,,-97.0,,
115.7011,,-97.0,,
115.9382,,-96.0,,
117.3531,,-94.0,,
117.488,,,-100.0,
117.5347,,-96.0,,
117.7321,,-100.0,,
119.3704,,-93.0,,
119.5608,,-95.0,,
119.7521,,,-93.0,
119.7681,,-99.0,,
121.3745,,,-95.0,
121.6159,,-88.0,,
121.7803,,,-95.0,
123.2287,,,-97.0,
123.2583,,-86.0,,
123.679,,-90.0,,
123.8665,,,-97.0,
123.8893,,-86.0,,
125.2856,,,-96.0,
125.2992,,-84.0,,
125.4839,,,-97.0,
125.4917,,-93.0,,
125.7007,,,-95.0,
125.7182,,-85.0,,
127.5394,,,-97.0,
127.5486,,-100.0,,
127.7426,,-91.0,,
129.3889,,,-97.0,
129.3965,,-91.0,,
129.5969,,,-96.0,
129.6023,,-84.0,,
131.4113,,,-98.0,
131.4344,,-84.0,,
131.6316,,-93.0,,
131.8284,,-95.0,,
133.4825,,,-94.0,
133.6567,,,-96.0,
133.8798,,,-97.0,
133.891,,-86.0,,
135.3167,,-85.0,,
135.5355,,-94.0,,
135.7211,,-84.0,,
137.3858,,-90.0,,
137.5466,,,-97.0,
137.5878,,-96.0,,
137.7479,,,-95.0,
137.7754,,-84.0,,
139.588,,,-95.0,
139.8411,,-91.0,,
141.4054,,,-98.0,
141.4523,,-98.0,,
141.6056,,,-97.0,
141.6682,,-92.0,,
141.8147,,,-96.0,
141.851,,-100.0,,
143.2645,,,-97.0,
143.3122,,-97.0,,
143.7159,,-91.0,,
145.2952,,,-96.0,
145.3557,,-84.0,,
145.5619,,-93.0,,
145.7029,,,-96.0,
145.7371,,-97.0,,
147.3541,,,-96.0,
147.3867,,-84.0,,
147.5848,,-99.0,,
149.4278,,-91.0,,
149.6119,,,-96.0,
149.6246,,-96.0,,
149.8377,,-91.0,,
151.042,,,-98.0,
151.3197,,-96.0,,
151.4588,,,-99.0,
151.6868,,-86.0,,
153.3549,,-90.0,,
153.5362,,-97.0,,
154.9614,,-99.0,,
155.3767,,-93.0,,
155.5875,,-98.0,,
155.8024,,-87.0,,
157.4131,,-91.0,,
159.2412,,-100.0,,
159.6477,,-100.0,,
161.4835,,-100.0,,
161.6904,,,,-96.0
163.5171,,,,-99.0
163.7322,,,,-97.0
165.3865,,,,-96.0
165.565,,,,-94.0
165.784,,,,-90.0
166.1799,,,,-91.0
169.3095,-99.0,,,
169.3161,,,,-98.0
169.4862,,,,-89.0
169.6874,,,,-92.0
169.6938,-93.0,,,
169.89,,,,-88.0
170.7069,-98.0,,,
171.3364,-95.0,,,
171.3586,,,,-89.0
171.5285,-97.0,,,
171.7307,-96.0,,,
173.5887,,,,-92.0
175.4249,,,,-99.0
175.4321,-98.0,,,
175.6211,,,,-92.0
175.6519,-98.0,,,
175.8399,,,,-94.0
177.4853,-101.0,,,
179.3598,,,,-94.0
181.418,,,,-93.0
181.568,-97.0,,,
181.7771,-88.0,,,
183.2281,,,,-95.0
183.4121,-95.0,,,
183.4338,,,,-96.0
183.6379,,,,-93.0
183.833,-96.0,,,
183.8502,,,,-99.0
185.2935,,,,-96.0
185.6822,-91.0,,,
185.6905,,,,-98.0
185.8655,-92.0,,,
185.8921,,,,-92.0
187.3251,-95.0,,,
187.5001,-92.0,,,
187.5218,,,,-95.0
187.718,-94.0,,,
189.378,,,,-98.0
189.5607,-87.0,,,
190.7982,-84.0,,,
191.3903,-86.0,,,
191.6023,-92.0,,,
191.8182,-87.0,,,
193.253,-92.0,,,
193.4447,,,,-98.0
193.8706,-96.0,,,
195.2644,,,,-99.0
195.3057,-93.0,,,
195.4625,,,,-99.0
195.5246,-96.0,,,
195.6805,,,,-99.0
195.7271,-98.0,,,
197.3705,-96.0,,,
197.5911,-92.0,,,
197.7839,-90.0,,,
199.6295,-93.0,,,
201.4681,-101.0,,,
