AppTimestamp(s),ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04
2.7732,-81.0,
2.9829,-81.0,
3.0989,,-99.0
3.2092,-79.0,
3.3184,,-95.0
4.0187,-87.0,
4.8498,-73.0,
5.0443,-84.0,
5.1815,,-101.0
6.8928,-81.0,
7.2834,-78.0,
8.8584,,-99.0
8.9106,-70.0,
9.1302,-95.0,
9.3395,-77.0,
9.5321,-71.0,
10.7724,-78.0,
10.902,,-95.0
11.1678,-75.0,
11.3259,,-101.0
11.37,-77.0,
12.82,-81.0,
13.016,-81.0,
13.8415,-73.0,
14.8827,-71.0,
15.0773,-75.0,
15.2791,-93.0,
17.3356,-76.0,
19.2009,-69.0,
19.3902,-69.0,
20.411,-71.0,
20.8219,-73.0,
21.0102,-84.0,
21.2256,-72.0,
21.3436,,-100.0
21.5587,,-100.0
22.7994,,-95.0
22.8646,-72.0,
23.0876,-67.0,
23.1883,,-100.0
23.2773,-73.0,
25.1134,-93.0,
25.3106,-71.0,
26.731,-76.0,
26.9576,-83.0,
27.0445,,-101.0
27.1322,-77.0,
27.3671,-75.0,
28.9952,-75.0,
29.0871,,-100.0
29.3958,-80.0,
30.8277,-78.0,
31.025,-74.0,
31.2295,-80.0,
31.4306,-80.0,
31.8529,-78.0,
32.8583,-82.0,
32.9941,,-99.0
33.1018,-73.0,
33.2004,,-98.0
33.2751,-80.0,
33.4395,,-100.0
35.0521,,-96.0
35.1301,-76.0,
35.325,-72.0,
36.9108,,-100.0
36.9758,-77.0,
37.2932,,-100.0
37.381,-73.0,
38.8247,-73.0,
38.9564,,-96.0
39.2469,-73.0,
40.7825,,-97.0
41.2906,-79.0,
42.9308,-78.0,
43.043,,-98.0
43.1361,-72.0,
43.2456,,-97.0
43.3454,-78.0,
45.0917,,-96.0
46.8369,-79.0,
47.1391,,-98.0
47.2418,-79.0,
49.1249,-78.0,
49.3034,-72.0,
50.7133,-73.0,
50.9382,-80.0,
51.1323,-79.0,
51.341,-81.0,
52.973,-79.0,
53.1728,-71.0,
53.3125,,-96.0
53.5005,,-98.0
54.7377,,-95.0
54.8255,-81.0,
55.0391,-70.0,
55.2612,-79.0,
56.8704,-75.0,
57.0911,-77.0,
57.2769,-75.0,
58.0996,-77.0,
58.9188,-72.0,
59.1443,-78.0,
59.2185,,-102.0
60.8542,,-97.0
61.007,-81.0,
61.4001,-76.0,
61.4642,,-100.0
62.124,,-100.0
62.6347,-72.0,
63.248,-77.0,
63.3139,,-102.0
63.4529,-79.0,
63.712,,-102.0
63.8551,-96.0,
64.0472,-80.0,
64.4655,-91.0,
64.5408,,-98.0
64.6701,-81.0,
64.8891,-89.0,
65.1018,-86.0,
65.3024,-86.0,
65.9043,-89.0,
66.9485,-84.0,
67.1366,-86.0,
67.3278,-90.0,
67.7252,-87.0,
67.9259,-93.0,
68.5504,-94.0,
69.1531,-85.0,
69.3607,-86.0,
69.5838,-91.0,
71.0047,-97.0,
72.0416,-96.0,
72.2281,-96.0,
73.467,-100.0,
87.1656,-99.0,
90.8616,-95.0,
91.0731,-97.0,
92.9225,-97.0,
93.3563,-96.0,
93.5482,-100.0,
94.9972,-96.0,
95.1884,-98.0,
95.4084,-96.0,
95.8213,-96.0,
97.245,-94.0,
98.0728,-95.0,
99.0887,-99.0,
99.3024,-98.0,
99.5181,-97.0,
101.5761,-96.0,
103.0053,-99.0,
103.4245,-96.0,
103.6283,-96.0,
104.8499,-97.0,
105.0545,-96.0,
105.2673,-98.0,
105.4618,-98.0,
106.6862,-99.0,
106.9107,-96.0,
107.3238,-99.0,
108.7424,-101.0,
109.3569,-95.0,
110.7936,-97.0,
111.6029,-102.0,
114.9064,-102.0,
115.1311,-100.0,
115.5323,-97.0,
116.961,-98.0,
118.8057,-97.0,
123.097,-97.0,
123.3017,-99.0,
123.5164,-98.0,
124.7321,-96.0,
124.9434,-97.0,
125.5667,-100.0,
127.4227,-96.0,
128.8445,-93.0,
129.2521,-93.0,
129.4733,-88.0,
130.9075,-101.0,
131.3216,-93.0,
131.7132,-87.0,
132.1383,-92.0,
132.3436,-96.0,
132.5533,-97.0,
132.7409,-91.0,
132.9585,-97.0,
133.3511,-91.0,
133.55,-99.0,
135.0211,-88.0,
135.1973,-83.0,
135.4167,-84.0,
135.8241,-78.0,
136.032,-80.0,
136.4289,-79.0,
136.6338,-82.0,
136.847,-86.0,
137.0569,-77.0,
138.899,-79.0,
139.1128,-80.0,
139.3094,-86.0,
140.7455,-83.0,
140.9469,-81.0,
141.3546,-80.0,
142.797,-91.0,
143.2087,-74.0,
144.8296,-74.0,
145.2149,,-101.0
145.2376,-77.0,
