AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:44,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:44,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:03:11
1.4479,,-57.0,,,-87.0,-85.0,-75.0,-81.0,-77.0,-83.0,,,-86.0,,,,,,,,,,-88.0,,,,,,,,,,,,-75.0,,2417.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,,2437.0,,,,,,,,,,5500.0,,,,,,,,,,,,2462.0
3.4084,,-51.0,-84.0,-78.0,,-79.0,-73.0,-74.0,-74.0,,,-83.0,-84.0,,,,,,,,,,,,,,,,,,,,,,-66.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
5.5539,,-60.0,,-84.0,-88.0,,-76.0,-74.0,-77.0,-86.0,,-88.0,-82.0,,,,,,,,,,,,,,,,,,,,,,-54.0,,2417.0,,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
7.5078,,-59.0,-81.0,-89.0,,-90.0,-79.0,-86.0,-67.0,,,-89.0,-81.0,,,,,,,,,,,,,,,,,,,,,,-61.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
9.5611,,-62.0,,,,,-76.0,-75.0,-71.0,-86.0,-84.0,-85.0,-76.0,,,,,,-88.0,,,,,,,,,,,,,,,,-68.0,,2417.0,,,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,5260.0,,,,,,,,,,,,,,,,2462.0
11.4109,,-57.0,,-80.0,,-81.0,-77.0,-81.0,-70.0,,-88.0,-81.0,-80.0,,,,,,,,,,,,,,,,,,,,,,-48.0,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
13.4477,-87.0,-56.0,-83.0,,,-83.0,-81.0,-79.0,-74.0,,,-82.0,-72.0,,,,,,,,,,,,,,,,,,,,,,-40.0,2437.0,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
15.4137,,-51.0,-79.0,-82.0,-85.0,,-84.0,-77.0,-83.0,,,-79.0,-88.0,,,,,,,,,,,,,,,,,,,,,,-57.0,,2417.0,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
17.4322,,-52.0,-83.0,,-92.0,-85.0,-83.0,-77.0,-73.0,-88.0,,-83.0,,,,,,,,,,,,,,,,,,,,,,,-61.0,,2417.0,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,,,,,,,,,,,,,,,,,,,,,2462.0
19.5612,,-50.0,-81.0,-81.0,,-83.0,-80.0,-79.0,-72.0,,-86.0,,-79.0,,,,,,,,,,,,,,,,,,,,,,-63.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
21.6181,,-52.0,,-81.0,-85.0,-82.0,,-77.0,-75.0,,,-84.0,-84.0,,,,-81.0,,,,,,,,,,,,,,,,,,-68.0,,2417.0,,2462.0,2412.0,2427.0,,2422.0,2437.0,,,2462.0,2437.0,,,,2462.0,,,,,,,,,,,,,,,,,,2462.0
23.5033,-87.0,-58.0,-89.0,,,,-80.0,-82.0,-83.0,-86.0,,-83.0,-87.0,,,,,,,,,,,,,,,,,,,,,,-78.0,2437.0,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
25.4156,,-63.0,,,-87.0,-81.0,-75.0,-87.0,-67.0,,-87.0,-80.0,-82.0,,,,,,,,,,,,,,,,,,,,,,-74.0,,2417.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
27.556,,-48.0,,-83.0,,-84.0,,-76.0,-78.0,,,-84.0,-84.0,,,,,,-86.0,-86.0,,,,,,,,,,,,,,,-76.0,,2417.0,,2462.0,,2427.0,,2422.0,2437.0,,,2462.0,2437.0,,,,,,5260.0,5260.0,,,,,,,,,,,,,,,2462.0
29.4538,,-50.0,,,-90.0,-77.0,-82.0,-75.0,-70.0,,-82.0,,-86.0,,,,,,,,,-93.0,,,,,,,,,,,,,-74.0,,2417.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0,,,,,,,,,5240.0,,,,,,,,,,,,,2462.0
31.5703,,-56.0,-83.0,,-87.0,,-84.0,-79.0,-77.0,-84.0,-84.0,,-86.0,,,,,,,,,,,,,,,,,,,,,,-81.0,,2417.0,2452.0,,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
33.4494,,-62.0,,-86.0,-87.0,-81.0,-85.0,-76.0,-75.0,,-87.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,-76.0,,2417.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,2462.0
35.4238,,-61.0,-85.0,-86.0,,,-78.0,-79.0,-77.0,-82.0,-83.0,,-85.0,,,,,,,,,,,,,,,,,,,,,,-75.0,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
37.5554,,-65.0,-83.0,,,,-80.0,-78.0,-75.0,-84.0,-84.0,-86.0,-86.0,,,,,,,,,,,,,,,,,,,,,,-74.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
39.4191,-89.0,,-85.0,-85.0,-88.0,,-79.0,-78.0,-80.0,-84.0,,-84.0,-85.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,
41.4308,,,-85.0,-87.0,,-87.0,-79.0,-79.0,-80.0,,-82.0,-87.0,-86.0,,,,,,,,,,,,,,,,,,,,,,-75.0,,,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
43.4178,,-62.0,-85.0,-87.0,,-86.0,-78.0,-80.0,-76.0,-82.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,-76.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,,,,,,,,2462.0
45.4532,,-60.0,-85.0,-85.0,,-85.0,-78.0,-79.0,-80.0,-82.0,-83.0,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,,,,,,,,,,,,,,,,,2462.0
47.4382,,-62.0,,,-88.0,,-77.0,-79.0,-79.0,-83.0,,-86.0,-84.0,,,,,,,,-89.0,,,,,,,,,,,,,,-70.0,,2417.0,,,2412.0,,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,5240.0,,,,,,,,,,,,,,2462.0
49.42,,,-85.0,,-89.0,-85.0,-78.0,-78.0,-78.0,,-85.0,-84.0,-86.0,,,,,,,,,,,,,,,,,,,,,,-78.0,,,2452.0,,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
51.4163,,-63.0,,-86.0,,-83.0,-78.0,-80.0,-77.0,-85.0,,,-88.0,,,,,,,,,-90.0,,,,,,,,,,,,,-79.0,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,,2437.0,,,,,,,,,5240.0,,,,,,,,,,,,,2462.0
53.5268,,-64.0,-85.0,,,-87.0,-78.0,-80.0,-82.0,,-84.0,,-84.0,,,,-84.0,,,,,,,,,,,,,,,,,,-61.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0,,,,2462.0,,,,,,,,,,,,,,,,,,2462.0
55.442,,-62.0,-93.0,,,-81.0,-82.0,-81.0,-74.0,-80.0,-80.0,,-87.0,,,,,,,,,,,,,,,,,,,,,,-71.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
57.4229,,-65.0,-89.0,,,,-78.0,-81.0,-79.0,-83.0,-81.0,,-82.0,,,,,,,,,-90.0,,,,,,,,,,,,,-68.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,5240.0,,,,,,,,,,,,,2462.0
59.4173,,-63.0,-90.0,,,-84.0,-77.0,-81.0,-77.0,-83.0,-82.0,,-85.0,,,,,,,,,,,,,,,,,,,,,,-75.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
61.5688,,-61.0,-86.0,,,-84.0,-77.0,-80.0,-81.0,-83.0,-82.0,,-84.0,,,,,,,,,,,,,,,,,,,,,,-75.0,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
63.64,-85.0,-60.0,,,,-86.0,-86.0,-73.0,-81.0,-85.0,,-80.0,-86.0,,,,,,,,,,,,,,,,,,,,,,-77.0,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
67.6242,,-66.0,,,,,-83.0,-84.0,-82.0,,,-88.0,,,,,-81.0,,-74.0,-75.0,,,,-83.0,,,,,,,,,,,-82.0,,2417.0,,,,,2437.0,2422.0,2437.0,,,2462.0,,,,,2462.0,,5260.0,5260.0,,,,2462.0,,,,,,,,,,,2462.0
71.6368,,-77.0,,,,,-90.0,,,,,,-91.0,,,,,-85.0,-66.0,-66.0,,,,,,-93.0,-91.0,-89.0,-90.0,,,,,,,,2417.0,,,,,2437.0,,,,,,2437.0,,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,2437.0,,,,,,
75.7143,,-87.0,,,,,,,,,,,,,,,-75.0,-84.0,-69.0,-69.0,,,,-77.0,,-87.0,-87.0,-87.0,,,-87.0,,,,,,2417.0,,,,,,,,,,,,,,,2462.0,2472.0,5260.0,5260.0,,,,2462.0,,5180.0,5180.0,2437.0,,,5640.0,,,,
79.8217,,-85.0,,,,,,,,,,,,,,,-76.0,,-69.0,-69.0,,,,-77.0,-85.0,-79.0,-79.0,,,,-79.0,-79.0,,,,,2417.0,,,,,,,,,,,,,,,2462.0,,5260.0,5260.0,,,,2462.0,5200.0,5180.0,5180.0,,,,5640.0,5640.0,,,
83.9077,,-83.0,,,,,,,,,,,,,,,,-77.0,-82.0,,,,,-81.0,,-76.0,-75.0,,-82.0,,-81.0,-81.0,,-83.0,,,2417.0,,,,,,,,,,,,,,,,2472.0,5260.0,,,,,2462.0,,5180.0,5180.0,,2437.0,,5640.0,5640.0,,2412.0,
87.9065,,-78.0,,,,,,,,,,,,,,,,-85.0,-79.0,-79.0,,,,,,-78.0,-77.0,-77.0,-77.0,-85.0,,,-85.0,,,,2417.0,,,,,,,,,,,,,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,2437.0,5560.0,,,5560.0,,
91.7016,,-73.0,,,,,,,,,,,,,,,,-79.0,-80.0,-81.0,,,,,,-79.0,-78.0,-82.0,,,-82.0,-81.0,,,-79.0,,2417.0,,,,,,,,,,,,,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,,,5640.0,5640.0,,,2462.0
95.9061,,-74.0,,,,,,,,,,,,,,,,-78.0,-83.0,-83.0,,,,,,-71.0,-71.0,-83.0,,,-82.0,-82.0,,,-68.0,,2417.0,,,,,,,,,,,,,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,,,5640.0,5640.0,,,2462.0
99.7079,,,,,,,,,-85.0,,,,,-82.0,,,,-76.0,,,,,,,,-74.0,-74.0,-81.0,-82.0,,-83.0,-83.0,,,-79.0,,,,,,,,,2437.0,,,,,2412.0,,,,2472.0,,,,,,,,5180.0,5180.0,2437.0,2437.0,,5640.0,5640.0,,,2462.0
103.7739,,-74.0,,,,,,,,,,,,-75.0,,,,-77.0,-80.0,-81.0,,,,,,-76.0,-76.0,-82.0,,,-81.0,-82.0,,,,,2417.0,,,,,,,,,,,,2412.0,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,,,5640.0,5640.0,,,
107.7463,,-75.0,,,,,,,,,,,,-76.0,,,,-77.0,-81.0,-82.0,,,,,,-77.0,-77.0,-81.0,,,-83.0,-83.0,,,,,2417.0,,,,,,,,,,,,2412.0,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,,,5640.0,5640.0,,,
111.7557,,-76.0,,,,,,,-85.0,,,,,-82.0,,,,-78.0,-80.0,-80.0,,,,,,-75.0,-75.0,-79.0,-83.0,,,,,,,,2417.0,,,,,,,2437.0,,,,,2412.0,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,2437.0,,,,,,
115.7464,,-77.0,,,,,,,,,,,,-83.0,-86.0,,,-77.0,-80.0,-80.0,,,,,,-76.0,-76.0,-81.0,-83.0,,,,,,,,2417.0,,,,,,,,,,,,2412.0,2437.0,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,2437.0,,,,,,
119.7644,,-76.0,,,,,,,,,,,,-81.0,,,,-76.0,-76.0,-76.0,,,,,,-75.0,-74.0,-78.0,-79.0,,,-81.0,,,,,2417.0,,,,,,,,,,,,2412.0,,,,2472.0,5260.0,5260.0,,,,,,5180.0,5180.0,2437.0,2437.0,,,5640.0,,,
123.7416,,-80.0,,,,,,,-80.0,,,,,,,,-79.0,-78.0,-69.0,-69.0,,,,-79.0,,-80.0,-80.0,,,,,,,,-73.0,,2417.0,,,,,,,2437.0,,,,,,,,2462.0,2472.0,5260.0,5260.0,,,,2462.0,,5180.0,5180.0,,,,,,,,2462.0
127.726,,-76.0,,,,,,,-83.0,,,,,,,-83.0,-72.0,-81.0,-68.0,-68.0,,,,-71.0,,-79.0,-79.0,,,,,,,,,,2417.0,,,,,,,2437.0,,,,,,,2437.0,2462.0,2472.0,5260.0,5260.0,,,,2462.0,,5180.0,5180.0,,,,,,,,
131.6446,,-79.0,,,,,,,-77.0,,,,-85.0,,,,-74.0,-85.0,-68.0,-69.0,,,,-75.0,,-86.0,-85.0,,,,,,,,,,2417.0,,,,,,,2437.0,,,,2437.0,,,,2462.0,2472.0,5260.0,5260.0,,,,2462.0,,5180.0,5180.0,,,,,,,,
135.6304,,-63.0,,-83.0,,,-81.0,-83.0,-71.0,,,,-83.0,,,,-84.0,,-77.0,-78.0,,,,-84.0,,,,,,,,,,,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,,,2437.0,,,,2462.0,,5260.0,5260.0,,,,2462.0,,,,,,,,,,,
139.4706,,-59.0,-87.0,-79.0,,-83.0,-76.0,-82.0,-76.0,,,-79.0,-86.0,,,,,,,,,,,,,,,,,,,,,,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
141.558,,-61.0,-85.0,-86.0,,-83.0,-75.0,-78.0,-77.0,-84.0,-83.0,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,,,,,5260.0,,,,,,,,,,,,,,,,
143.435,,-60.0,-87.0,-84.0,,-79.0,-84.0,-83.0,-71.0,,-91.0,,-86.0,,,,,,,,,,,,,,,,,,,,,,-79.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2462.0
145.4139,-90.0,-59.0,,,-90.0,-82.0,-79.0,-78.0,-86.0,-92.0,,-87.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,2437.0,2417.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,,,
