AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:93,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:00:99,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:02,wifi_rssi_20:23:00:00:01:03,wifi_rssi_20:23:00:00:01:05,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:08,wifi_rssi_20:23:00:00:01:09,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:13,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:44,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:18,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:02:21,wifi_rssi_20:23:00:00:02:22,wifi_rssi_20:23:00:00:02:23,wifi_rssi_20:23:00:00:02:24,wifi_rssi_20:23:00:00:02:25,wifi_rssi_20:23:00:00:02:26,wifi_rssi_20:23:00:00:02:27,wifi_rssi_20:23:00:00:02:28,wifi_rssi_20:23:00:00:02:29,wifi_rssi_20:23:00:00:02:30,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:93,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:00:99,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:02,wifi_freq_20:23:00:00:01:03,wifi_freq_20:23:00:00:01:05,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:08,wifi_freq_20:23:00:00:01:09,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:13,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:44,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:18,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:02:21,wifi_freq_20:23:00:00:02:22,wifi_freq_20:23:00:00:02:23,wifi_freq_20:23:00:00:02:24,wifi_freq_20:23:00:00:02:25,wifi_freq_20:23:00:00:02:26,wifi_freq_20:23:00:00:02:27,wifi_freq_20:23:00:00:02:28,wifi_freq_20:23:00:00:02:29,wifi_freq_20:23:00:00:02:30,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
2.9305,-77.0,-48.0,-71.0,-74.0,-82.0,-76.0,-71.0,-70.0,-62.0,,-85.0,-74.0,-87.0,-75.0,,,,,,,,-83.0,,,-82.0,,,,,-89.0,,,,-89.0,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2462.0,2437.0,,,,,,,,2462.0,,,2462.0,,,,,5260.0,,,,5240.0,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,,
6.9116,,-52.0,-74.0,-72.0,-78.0,,-71.0,-70.0,-74.0,-86.0,-85.0,-74.0,,-73.0,,,,,,,,,,-92.0,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.0,,,2417.0,2452.0,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,2472.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
10.9281,-84.0,-57.0,-76.0,-74.0,,,-74.0,-79.0,-66.0,-82.0,-83.0,-74.0,,-79.0,,,,,,,,-87.0,,-91.0,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,2472.0,,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.9107,-79.0,-54.0,-71.0,-73.0,-82.0,-71.0,-68.0,-76.0,-69.0,-83.0,-83.0,-73.0,-91.0,-72.0,,,,,,,,,,,-80.0,,,,,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.0,-90.0,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,2462.0,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,2437.0
18.9316,-84.0,-51.0,-75.0,-71.0,,-78.0,-72.0,-72.0,-65.0,,-87.0,,,-80.0,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,-88.0,,,,,-89.0,,,,,,,,,,,,,,,,,-79.0,,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,,,2437.0,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,2462.0,,,,,2412.0,,,,,,,,,,,,,,,,,2462.0,
22.915,-81.0,-51.0,-72.0,-69.0,,-70.0,-69.0,-70.0,-68.0,-82.0,-83.0,-73.0,,-72.0,,,,,,,,-86.0,,,-81.0,,,,,,,,,-87.0,-86.0,,,,-91.0,,,-86.0,,,,,,,,,,,,,,,,,,,,,,-79.0,,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,2462.0,,,,,,,,,5240.0,5240.0,,,,5500.0,,,2462.0,,,,,,,,,,,,,,,,,,,,,,2462.0,
26.9352,,-51.0,-70.0,-69.0,,-76.0,-72.0,-73.0,-66.0,-80.0,-80.0,-69.0,,-76.0,,,,,,,,,,,,,,,,,,,,,-88.0,,,,,,-91.0,,,-89.0,-89.0,-91.0,-90.0,,,,,,,,,,,,,,,,,-79.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,5240.0,,,,,,2437.0,,,2462.0,2462.0,2412.0,2412.0,,,,,,,,,,,,,,,,,2462.0,
30.9511,-83.0,-55.0,-73.0,-77.0,,-72.0,-73.0,-74.0,-68.0,-80.0,-80.0,-75.0,,-75.0,,,,,,,,-85.0,,,-82.0,,,,,-92.0,,,-91.0,,,,-91.0,,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,-79.0,,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,2462.0,,,2462.0,,,,,5260.0,,,2412.0,,,,5500.0,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,,2462.0,
34.9018,,,-75.0,-73.0,,-74.0,-73.0,-70.0,-63.0,-83.0,-84.0,,-85.0,-71.0,,,,,,,,,,,-79.0,,,,,,,,,-88.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,,,,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,2437.0,,,,,,,,,,,2462.0,,,,,,,,,5240.0,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,
38.9445,-84.0,-45.0,-72.0,-73.0,-79.0,-74.0,-71.0,-70.0,-70.0,-81.0,-80.0,-73.0,,-72.0,,,,,,,,,,,,,,,,,,,,-87.0,-89.0,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,-79.0,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,5240.0,5240.0,,,,,,,,,,,,,2412.0,,,,,,,,,,,,,,,,2462.0,
