AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:06,wifi_rssi_20:23:00:00:01:07,wifi_rssi_20:23:00:00:01:37,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:02:16,wifi_rssi_20:23:00:00:02:17,wifi_rssi_20:23:00:00:02:19,wifi_rssi_20:23:00:00:02:20,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:06,wifi_freq_20:23:00:00:01:07,wifi_freq_20:23:00:00:01:37,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:02:16,wifi_freq_20:23:00:00:02:17,wifi_freq_20:23:00:00:02:19,wifi_freq_20:23:00:00:02:20,wifi_freq_20:23:00:00:03:11
2.9305,-48.0,-71.0,,,,-71.0,-70.0,-62.0,-74.0,,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,2462.0,,,,,,,,,,,,,,,
6.9116,-52.0,,-72.0,,,-71.0,-70.0,-74.0,,-73.0,,,,,,,,,,,,,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
10.9281,-57.0,-76.0,-74.0,,,-74.0,,-66.0,-74.0,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,,2437.0,,2437.0,2462.0,,,,,,,,,,,,,,,
14.9107,-54.0,-71.0,,,-71.0,-68.0,,-69.0,,-72.0,,,,,,,,,,,,,,,2417.0,2452.0,,,2427.0,2437.0,,2437.0,,2437.0,,,,,,,,,,,,,,
18.9316,-51.0,-75.0,-71.0,,,-72.0,-72.0,-65.0,,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,
22.915,-51.0,,-69.0,,-70.0,-69.0,-70.0,-68.0,,,,,,,,,,,,,,,,,2417.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,
26.9352,-51.0,-70.0,-69.0,,,-72.0,,-66.0,-69.0,,,,,,,,,,,,,,,,2417.0,2452.0,2462.0,,,2437.0,,2437.0,2462.0,,,,,,,,,,,,,,,
30.9511,-55.0,-73.0,,,-72.0,-73.0,-74.0,-68.0,,,,,,,,,,,,,,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,,,,,,,,,,,,,,,
34.9018,,,-73.0,,-74.0,-73.0,-70.0,-63.0,,-71.0,,,,,,,,,,,,,,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
38.9445,-45.0,-72.0,,,,-71.0,-70.0,-70.0,,-72.0,,,,,,,,,,,,,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,2437.0,,,,,,,,,,,,,,
