AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:91,wifi_rssi_20:23:00:00:00:92,wifi_rssi_20:23:00:00:00:94,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:00,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:32,wifi_rssi_20:23:00:00:01:34,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:43,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:91,wifi_freq_20:23:00:00:00:92,wifi_freq_20:23:00:00:00:94,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:00,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:32,wifi_freq_20:23:00:00:01:34,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:43,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
2.2149,-80.0,,-48.0,-73.0,,-77.0,,-81.0,-74.0,-73.0,-65.0,-81.0,-82.0,-77.0,,-80.0,,,,,,,,,,,-87.0,-91.0,,,,,,,,,,,,-59.0,,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,5240.0,5240.0,,,,,,,,,,,,2462.0,
6.2028,,,-47.0,-76.0,,-76.0,,-81.0,-70.0,-76.0,-66.0,-85.0,-83.0,,,-76.0,,,,,,,,,-80.0,,,,,,,,,,,,,,,-58.0,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,2462.0,
10.2621,-82.0,,,-75.0,,,-86.0,-80.0,-75.0,-77.0,-64.0,-87.0,-86.0,-73.0,,-76.0,,,,,,,,,-80.0,,-88.0,,,,,,,,,,,,,-66.0,,2437.0,,,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,2462.0,,5240.0,,,,,,,,,,,,,2462.0,
14.2328,-81.0,,-50.0,-75.0,,-74.0,,-83.0,-71.0,-73.0,-69.0,-87.0,-85.0,-77.0,,-79.0,,,-92.0,,,-87.0,-88.0,,-84.0,,-89.0,,,,,,,,,,,,,-66.0,,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,2457.0,,,2437.0,2462.0,,2462.0,,5240.0,,,,,,,,,,,,,2462.0,
18.2557,-85.0,,-46.0,-81.0,,-75.0,-88.0,-83.0,-73.0,-71.0,-72.0,-86.0,-89.0,-77.0,,-83.0,,,,,,,,,-85.0,,-88.0,,,,,,,,,,,,,-78.0,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,2462.0,,5240.0,,,,,,,,,,,,,2462.0,
22.217,-83.0,,-49.0,-75.0,,-74.0,,-76.0,-74.0,-77.0,-68.0,-85.0,-85.0,-77.0,,-83.0,,,,,-91.0,,-88.0,,-82.0,,,,,,,,,,,,,,,-71.0,,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,2437.0,,2462.0,,2462.0,,,,,,,,,,,,,,,2462.0,
26.2157,,,,,-93.0,-78.0,,-82.0,-79.0,-77.0,-65.0,-85.0,-87.0,-77.0,,-84.0,,-91.0,,,,,,,-82.0,,-88.0,-92.0,,,,,,,,,,,,-71.0,,,,,,2412.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,2412.0,,,,,,,2462.0,,5240.0,5240.0,,,,,,,,,,,,2462.0,
30.2102,-82.0,,-48.0,-78.0,,,-90.0,-74.0,-75.0,-71.0,-66.0,-82.0,-83.0,,,-80.0,,-90.0,,,-90.0,,,,-80.0,,-91.0,-92.0,,,,,,,,,,,,-71.0,,2437.0,,2417.0,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,2412.0,,,2437.0,,,,2462.0,,5240.0,5240.0,,,,,,,,,,,,2462.0,
34.2105,-83.0,,-45.0,-78.0,,-77.0,-89.0,-71.0,-72.0,-72.0,-66.0,-89.0,,-77.0,,-79.0,,-90.0,,,,,,,,,,,,,,,,,,,,,,-68.0,,2437.0,,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,2437.0,,2412.0,,,,,,,,,,,,,,,,,,,,,,2462.0,
38.2314,-79.0,,-47.0,-78.0,,,,-74.0,-73.0,-72.0,-65.0,-82.0,-82.0,-77.0,,-78.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,-65.0,,2437.0,,2417.0,2452.0,,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,2412.0,,,,,,,,,,,,,,,,,,,,,,,2462.0,
