AppTimestamp(s),wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:03:11
3.8114,-44.0,-77.0,,,-74.0,,-73.0,-76.0,,-69.0,2417.0,2452.0,,,2437.0,,2437.0,2462.0,,2462.0
7.8204,-44.0,-77.0,,,-70.0,-74.0,-65.0,,,-69.0,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
11.8007,,-75.0,-77.0,,-70.0,,-64.0,,-77.0,-69.0,,2452.0,2462.0,,2437.0,,2437.0,,2437.0,2462.0
15.8238,-51.0,,,-75.0,-68.0,-70.0,-70.0,,,-70.0,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
19.802,-50.0,,-76.0,,-75.0,,-73.0,-75.0,,-76.0,2417.0,,2462.0,,2437.0,,2437.0,2462.0,,2462.0
23.8172,-50.0,,-77.0,,,-77.0,-69.0,-77.0,,-75.0,2417.0,,2462.0,,,2422.0,2437.0,2462.0,,2462.0
27.8013,-48.0,-74.0,-74.0,-72.0,,-71.0,-73.0,,,,2417.0,2452.0,2462.0,2427.0,,2422.0,2437.0,,,
31.8391,-56.0,,-74.0,,-76.0,-74.0,-67.0,-76.0,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,
35.8254,-49.0,,,-76.0,-76.0,,-65.0,-76.0,,-74.0,2417.0,,,2427.0,2437.0,,2437.0,2462.0,,2462.0
39.838,-49.0,,-73.0,-72.0,,-74.0,-69.0,-73.0,,,2417.0,,2462.0,2427.0,,2422.0,2437.0,2462.0,,
43.8168,-50.0,,,-75.0,-73.0,-73.0,-69.0,-75.0,,,2417.0,,,2427.0,2437.0,2422.0,2437.0,2462.0,,
47.8179,-53.0,,,,-73.0,-73.0,-69.0,-74.0,-76.0,,2417.0,,,,2437.0,2422.0,2437.0,2462.0,2437.0,
51.8441,-53.0,,-74.0,,-75.0,-70.0,-66.0,-72.0,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,
55.802,-50.0,,,,-75.0,-70.0,-64.0,-74.0,,-74.0,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
59.825,-52.0,-77.0,,,-75.0,-70.0,-64.0,-74.0,,,2417.0,2452.0,,,2437.0,2422.0,2437.0,2462.0,,
63.8176,-49.0,-76.0,-75.0,,-74.0,-72.0,-64.0,,,,2417.0,2452.0,2462.0,,2437.0,2422.0,2437.0,,,
67.7975,-49.0,,-76.0,,-77.0,-74.0,-64.0,,,-76.0,2417.0,,2462.0,,2437.0,2422.0,2437.0,,,2462.0
71.8167,-45.0,,,,-68.0,-69.0,-67.0,-74.0,,-60.0,2417.0,,,,2437.0,2422.0,2437.0,2462.0,,2462.0
75.7927,-45.0,,,-67.0,-68.0,-69.0,-64.0,,,-67.0,2417.0,,,2427.0,2437.0,2422.0,2437.0,,,2462.0
79.8297,,,-73.0,-71.0,-66.0,-72.0,-64.0,,,-69.0,,,2462.0,2427.0,2437.0,2422.0,2437.0,,,2462.0
83.8236,-43.0,,-68.0,-71.0,-71.0,-68.0,-69.0,,,,2417.0,,2462.0,2427.0,2437.0,2422.0,2437.0,,,
87.8253,-48.0,-69.0,-66.0,,-67.0,-65.0,-65.0,,,,2417.0,2452.0,2462.0,,2437.0,2422.0,2437.0,,,
91.8023,-51.0,,-68.0,-67.0,-63.0,,-65.0,-68.0,,,2417.0,,2462.0,2427.0,2437.0,,2437.0,2462.0,,
95.8093,-47.0,-68.0,,-67.0,-64.0,-67.0,-61.0,,,,2417.0,2452.0,,2427.0,2437.0,2422.0,2437.0,,,
99.7958,-50.0,-72.0,-64.0,,-66.0,,-60.0,-64.0,,,2417.0,2452.0,2462.0,,2437.0,,2437.0,2462.0,,
103.8104,-50.0,-66.0,-62.0,,,-66.0,-53.0,-64.0,,,2417.0,2452.0,2462.0,,,2422.0,2437.0,2462.0,,
107.8084,-50.0,-67.0,-63.0,,-62.0,-62.0,-57.0,,,,2417.0,2452.0,2462.0,,2437.0,2422.0,2437.0,,,
111.8231,,-66.0,-62.0,,-64.0,-62.0,-52.0,-64.0,,,,2452.0,2462.0,,2437.0,2422.0,2437.0,2462.0,,
115.7982,-52.0,,-63.0,-64.0,-64.0,,-55.0,-64.0,,,2417.0,,2462.0,2427.0,2437.0,,2437.0,2462.0,,
119.8034,-52.0,,-59.0,-64.0,-62.0,,-57.0,-59.0,,,2417.0,,2462.0,2427.0,2437.0,,2437.0,2462.0,,
123.8161,,,-59.0,-64.0,-62.0,-66.0,-55.0,-60.0,,,,,2462.0,2427.0,2437.0,2422.0,2437.0,2462.0,,
127.784,-60.0,,-59.0,-64.0,-62.0,,-55.0,-58.0,,,2417.0,,2462.0,2427.0,2437.0,,2437.0,2462.0,,
131.8048,-52.0,-69.0,-69.0,-66.0,,-65.0,-62.0,,,,2417.0,2452.0,2462.0,2427.0,,2422.0,2437.0,,,
135.8199,-50.0,-70.0,,-64.0,-63.0,-63.0,-54.0,,,,2417.0,2452.0,,2427.0,2437.0,2422.0,2437.0,,,
139.8387,-48.0,,-73.0,-70.0,-67.0,-63.0,-66.0,,,,2417.0,,2462.0,2427.0,2437.0,2422.0,2437.0,,,
143.821,-43.0,-70.0,,-72.0,-68.0,-68.0,-70.0,,,,2417.0,2452.0,,2427.0,2437.0,2422.0,2437.0,,,
147.8145,-44.0,,-70.0,-74.0,-65.0,-66.0,-69.0,,,,2417.0,,2462.0,2427.0,2437.0,2422.0,2437.0,,,
151.8098,-45.0,,-71.0,,-71.0,-66.0,-66.0,-73.0,,,2417.0,,2462.0,,2437.0,2422.0,2437.0,2462.0,,
155.8169,-45.0,-72.0,,,-72.0,-69.0,-70.0,,,-70.0,2417.0,2452.0,,,2437.0,2422.0,2437.0,,,2462.0
159.8264,-52.0,-75.0,,-73.0,-75.0,,-65.0,,,-63.0,2417.0,2452.0,,2427.0,2437.0,,2437.0,,,2462.0
