AppTimestamp(s),MAC,RSSI
0.0662,BE:AC:20:23:00:02,-82
0.641,BE:AC:20:23:00:02,-85
2.069,BE:AC:20:23:00:02,-100
2.2755,BE:AC:20:23:00:02,-75
2.4815,BE:AC:20:23:00:02,-96
4.1248,BE:AC:20:23:00:02,-79
4.3254,BE:AC:20:23:00:02,-80
4.5349,BE:AC:20:23:00:02,-90
6.1812,BE:AC:20:23:00:02,-86
6.3791,BE:AC:20:23:00:02,-82
6.6015,BE:AC:20:23:00:02,-79
8.0337,BE:AC:20:23:00:02,-78
8.2348,BE:AC:20:23:00:02,-85
8.4338,BE:AC:20:23:00:02,-88
8.6631,BE:AC:20:23:00:02,-92
10.0748,BE:AC:20:23:00:02,-94
10.2528,BE:AC:20:23:00:02,-83
10.477,BE:AC:20:23:00:02,-79
12.0919,BE:AC:20:23:00:02,-76
14.1489,BE:AC:20:23:00:02,-75
14.4983,BE:AC:20:23:00:04,-102
14.5516,BE:AC:20:23:00:02,-86
15.981,BE:AC:20:23:00:02,-77
16.3934,BE:AC:20:23:00:02,-82
16.6075,BE:AC:20:23:00:02,-74
18.0351,BE:AC:20:23:00:02,-86
18.2421,BE:AC:20:23:00:02,-84
18.4659,BE:AC:20:23:00:02,-76
20.0948,BE:AC:20:23:00:02,-90
22.2986,BE:AC:20:23:00:04,-99
22.3423,BE:AC:20:23:00:02,-73
22.5764,BE:AC:20:23:00:02,-83
24.2165,BE:AC:20:23:00:02,-83
24.426,BE:AC:20:23:00:02,-78
26.0256,BE:AC:20:23:00:02,-75
26.4264,BE:AC:20:23:00:02,-77
26.5934,BE:AC:20:23:00:04,-97
28.015,BE:AC:20:23:00:04,-98
28.0566,BE:AC:20:23:00:02,-85
28.4684,BE:AC:20:23:00:02,-81
30.0867,BE:AC:20:23:00:04,-96
30.3163,BE:AC:20:23:00:02,-80
30.5183,BE:AC:20:23:00:02,-78
32.1587,BE:AC:20:23:00:02,-83
32.5688,BE:AC:20:23:00:02,-75
33.1862,BE:AC:20:23:00:02,-89
34.2,BE:AC:20:23:00:02,-84
34.6334,BE:AC:20:23:00:02,-87
36.0685,BE:AC:20:23:00:02,-77
36.2512,BE:AC:20:23:00:02,-84
36.4126,BE:AC:20:23:00:04,-97
36.4616,BE:AC:20:23:00:02,-77
38.0889,BE:AC:20:23:00:02,-82
40.3029,BE:AC:20:23:00:04,-99
40.3502,BE:AC:20:23:00:02,-77
40.5911,BE:AC:20:23:00:02,-83
41.9799,BE:AC:20:23:00:02,-82
42.1872,BE:AC:20:23:00:04,-98
42.1954,BE:AC:20:23:00:02,-77
42.3734,BE:AC:20:23:00:04,-97
42.6038,BE:AC:20:23:00:04,-97
42.9995,BE:AC:20:23:00:02,-82
43.9964,BE:AC:20:23:00:04,-95
44.0256,BE:AC:20:23:00:02,-76
44.2709,BE:AC:20:23:00:02,-77
44.4298,BE:AC:20:23:00:02,-76
44.6487,BE:AC:20:23:00:04,-95
46.291,BE:AC:20:23:00:02,-85
48.1265,BE:AC:20:23:00:02,-77
48.3019,BE:AC:20:23:00:04,-99
48.324,BE:AC:20:23:00:02,-77
48.5333,BE:AC:20:23:00:02,-77
50.6056,BE:AC:20:23:00:02,-88
52.0562,BE:AC:20:23:00:02,-85
52.2662,BE:AC:20:23:00:02,-77
52.4319,BE:AC:20:23:00:02,-76
52.6294,BE:AC:20:23:00:04,-98
52.6598,BE:AC:20:23:00:02,-76
54.2956,BE:AC:20:23:00:02,-77
54.4905,BE:AC:20:23:00:02,-82
56.1372,BE:AC:20:23:00:02,-78
56.3624,BE:AC:20:23:00:02,-80
56.547,BE:AC:20:23:00:02,-76
57.9916,BE:AC:20:23:00:02,-76
58.1911,BE:AC:20:23:00:02,-79
58.6114,BE:AC:20:23:00:02,-78
60.0378,BE:AC:20:23:00:02,-77
60.3966,BE:AC:20:23:00:04,-99
60.4582,BE:AC:20:23:00:02,-76
61.2734,BE:AC:20:23:00:02,-86
62.0806,BE:AC:20:23:00:02,-76
62.3271,BE:AC:20:23:00:02,-69
62.5052,BE:AC:20:23:00:02,-88
64.1314,BE:AC:20:23:00:04,-102
64.1457,BE:AC:20:23:00:02,-70
64.3387,BE:AC:20:23:00:02,-85
64.5221,BE:AC:20:23:00:04,-102
64.5401,BE:AC:20:23:00:02,-79
65.9828,BE:AC:20:23:00:02,-75
66.1855,BE:AC:20:23:00:02,-67
