AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:95,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:95,wifi_freq_20:23:00:00:03:11
1.3671,,-57.0,-84.0,,,,-78.0,-82.0,-74.0,,,,,,-82.0,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,,,,,,2462.0
3.36,,,,-84.0,,-82.0,-79.0,-86.0,-74.0,,,,,,-86.0,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,,,2462.0
5.3344,,-46.0,,,,,-75.0,-82.0,-67.0,,,-82.0,-83.0,,,,2417.0,,,,,2437.0,2422.0,2437.0,,,2462.0,2437.0,,
7.3575,,-55.0,,,-84.0,-78.0,,-77.0,-79.0,,,-87.0,,,,,2417.0,,,2412.0,2427.0,,2422.0,2437.0,,,2462.0,,,
9.3658,,-56.0,,,,-81.0,-83.0,-85.0,-85.0,,,-85.0,,,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,
11.3578,,,,-84.0,,-86.0,-82.0,-80.0,-71.0,,,-86.0,,,,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,
13.4013,-85.0,-56.0,,,,-84.0,-81.0,-80.0,-73.0,,,,,,,2437.0,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,,,,
15.3284,,-62.0,,-79.0,,-83.0,-83.0,,-76.0,,,-82.0,,,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,2462.0,,,
17.3765,,-51.0,,-80.0,,-86.0,-81.0,,-78.0,,,,-85.0,,,,2417.0,,2462.0,,2427.0,2437.0,,2437.0,,,,2437.0,,
19.3603,,-52.0,,,,-84.0,-82.0,-87.0,-75.0,,,-87.0,,,,,2417.0,,,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,,
