AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
3.0011,,-51.0,-62.0,,,-65.0,-68.0,-62.0,-59.0,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,
7.0979,,-51.0,-63.0,,,-66.0,-64.0,-68.0,-61.0,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,
11.055,,,-61.0,-64.0,,-64.0,-63.0,-63.0,-60.0,,,,,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,
15.0261,,-49.0,-65.0,-67.0,,-64.0,-63.0,,-56.0,,,,2417.0,2452.0,2462.0,,2427.0,2437.0,,2437.0,,
19.0405,,-47.0,-65.0,,,-64.0,-65.0,-67.0,-60.0,,,,2417.0,2452.0,,,2427.0,2437.0,2422.0,2437.0,,
23.0124,,-55.0,-65.0,-66.0,,,-65.0,-65.0,-64.0,,,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,
27.0232,,,-65.0,-71.0,,-70.0,,-65.0,-60.0,-71.0,,,,2452.0,2462.0,,2427.0,,2422.0,2437.0,2462.0,
31.0643,,-47.0,-65.0,-65.0,,,-66.0,-67.0,-62.0,,,,2417.0,2452.0,2462.0,,,2437.0,2422.0,2437.0,,
35.034,,-52.0,,-61.0,,,-64.0,-58.0,-57.0,-63.0,,,2417.0,,2462.0,,,2437.0,2422.0,2437.0,2462.0,
39.0275,,-52.0,-63.0,,,,-61.0,-64.0,-61.0,-63.0,,,2417.0,2452.0,,,,2437.0,2422.0,2437.0,2462.0,
