AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:98,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:12,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:98,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:12,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
1.6821,-72.0,,-49.0,-70.0,,,,-65.0,-72.0,-65.0,-69.0,-67.0,-53.0,-76.0,-76.0,-64.0,-84.0,-75.0,,,,,,,,,,,,,,,,,,,,-83.0,2437.0,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,2437.0
5.7476,,-92.0,-49.0,-73.0,,,,-65.0,-76.0,-69.0,-67.0,-67.0,-58.0,-75.0,-74.0,-65.0,-83.0,-78.0,,,,,,,,,,,,,,,,,,,,-87.0,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,2437.0
9.6563,-77.0,-87.0,-49.0,-69.0,,,,-65.0,,-67.0,-67.0,-69.0,-58.0,-83.0,-81.0,-67.0,-86.0,-74.0,,-87.0,,,,,,,,,,,,,,,,,-89.0,-87.0,2437.0,5200.0,2417.0,2452.0,,,,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,2462.0,,,,,,,,,,,,,,,,,2462.0,2437.0
13.7045,-76.0,,-49.0,-64.0,,,,-65.0,-67.0,-69.0,-71.0,-65.0,-54.0,-79.0,-79.0,-67.0,-84.0,-70.0,,,,,,,,,,,,,,,,,,,,-87.0,2437.0,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,2437.0
17.682,-68.0,-86.0,-47.0,-64.0,,,,-66.0,-71.0,-65.0,-62.0,-67.0,-50.0,-75.0,-75.0,-67.0,-85.0,-69.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,
21.6854,-76.0,-84.0,,-72.0,,,,-65.0,-74.0,-67.0,-66.0,-62.0,-59.0,-79.0,-79.0,-67.0,,-70.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,
25.6606,-68.0,,-52.0,-64.0,,,,-69.0,-73.0,-70.0,-67.0,-61.0,-59.0,-76.0,-76.0,-70.0,-86.0,-72.0,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,
29.6832,,-83.0,-56.0,-72.0,,,,-69.0,-69.0,-68.0,-66.0,-61.0,-59.0,-84.0,-82.0,-69.0,-86.0,-72.0,-89.0,,,,,,,,,,,,-91.0,,,,,,,,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,2462.0,,,,,,,,,,,,2412.0,,,,,,,
33.7229,,-89.0,-48.0,-67.0,,,,-64.0,-73.0,-68.0,-66.0,-61.0,-57.0,-73.0,-73.0,-68.0,-90.0,-75.0,,,,,,,,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,
37.6762,,-90.0,-48.0,-69.0,,,,-65.0,-79.0,-72.0,-67.0,-62.0,-61.0,-77.0,-77.0,-67.0,-88.0,-75.0,,,,,,,,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,,,,,,,
