AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90
1.6821,-72.0,-49.0,-70.0,-65.0,-72.0,-65.0,-69.0,-67.0,-53.0,,,-64.0,,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,
5.7476,,-49.0,-73.0,-65.0,,-69.0,-67.0,-67.0,-58.0,-75.0,-74.0,-65.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
9.6563,-77.0,-49.0,-69.0,-65.0,,-67.0,-67.0,-69.0,-58.0,,,-67.0,-74.0,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
13.7045,,-49.0,-64.0,-65.0,-67.0,-69.0,-71.0,-65.0,-54.0,,,-67.0,-70.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
17.682,-68.0,-47.0,-64.0,-66.0,,-65.0,-62.0,-67.0,-50.0,,,-67.0,-69.0,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
21.6854,-76.0,,-72.0,-65.0,-74.0,-67.0,-66.0,-62.0,-59.0,,,-67.0,-70.0,2437.0,,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
25.6606,-68.0,-52.0,-64.0,-69.0,,-70.0,-67.0,-61.0,-59.0,,,-70.0,-72.0,2437.0,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
29.6832,,-56.0,-72.0,-69.0,-69.0,-68.0,-66.0,-61.0,-59.0,,,-69.0,-72.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
33.7229,,-48.0,-67.0,-64.0,,-68.0,-66.0,-61.0,-57.0,-73.0,-73.0,-68.0,,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,
37.6762,,-48.0,-69.0,-65.0,,-72.0,-67.0,-62.0,-61.0,-77.0,,-67.0,-75.0,,2417.0,2452.0,2462.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,2437.0
41.6664,,-52.0,-67.0,-64.0,-74.0,-66.0,-63.0,-69.0,-61.0,,,-65.0,-72.0,,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,,2462.0,2437.0
45.6893,-71.0,-52.0,-65.0,-67.0,-72.0,-66.0,-60.0,,-61.0,,,-72.0,-74.0,2437.0,2417.0,2452.0,2462.0,2412.0,2427.0,2437.0,,2437.0,,,2462.0,2437.0
