AppTimestamp(s),ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06
0.401,,-83.0,,,,
0.4812,,,,-93.0,,
0.5986,,-88.0,,,,
0.6831,,,,-87.0,,
0.8033,,-87.0,,,,
0.888,,,,-93.0,,
1.0042,,-83.0,,,,
2.4334,,-97.0,,,,
2.6536,,-80.0,,,,
2.7156,,,,-91.0,,
2.8446,,-84.0,,,,
2.9518,,,,-91.0,,
4.5128,,-87.0,,,,
4.5561,,,,-86.0,,
4.6902,,-85.0,,,,
4.8973,,-83.0,,,,
4.9736,,,,-95.0,,
6.4306,,,,-96.0,,
6.5299,,-87.0,,,,
6.6097,,,,-98.0,,
6.7334,,-90.0,,,,
6.8153,,,,-88.0,,
6.9322,,-96.0,,,,
8.3643,,-92.0,,,,
8.482,,,,-86.0,,
8.5695,,-87.0,,,,
8.7676,,-85.0,,,,
8.8777,,,,-95.0,,
8.9701,,-83.0,,,,
10.4307,,-92.0,,,,
10.6303,,-88.0,,,,
10.7139,,,,-89.0,,
11.8709,,-89.0,,,,
12.3495,,,,-89.0,,
12.4972,,-97.0,,,,
12.5637,,,,-93.0,,
12.7565,,,,-91.0,,
12.9033,,-99.0,,,,
12.9528,,,,-93.0,,
14.4117,,,,-92.0,,
14.5157,,-82.0,,,,
14.5901,,,,-85.0,,
14.7311,,-92.0,,,,
14.9352,,-86.0,,,,
16.3991,,-86.0,,,,
16.4365,,,,-91.0,,
16.5715,,-89.0,,,,
16.6428,,,,-90.0,,
16.78,,-88.0,,,,
16.8467,,,,-88.0,,
16.9777,,-88.0,,,,
18.4681,,,,-90.0,,
18.6193,,-90.0,,,,
18.8401,,-91.0,,,,
20.4629,,-89.0,,,,
20.5283,,,,-93.0,,
20.7394,,,,-93.0,,
20.8749,,-84.0,,,,
20.9458,,,,-89.0,,
22.5389,,-91.0,,,,
22.5792,,,,-99.0,,
22.7936,,,,-92.0,,
22.9522,,-79.0,,,,
23.0448,,,,-91.0,,
24.4002,,-91.0,,,,
24.437,,,,-97.0,,
24.6258,,-94.0,,,,
24.7891,,-85.0,,,,
24.8383,,,,-90.0,,
24.9958,,-81.0,,,,
26.4311,,-90.0,,,,
26.4695,,,,-99.0,,
26.6183,,-83.0,,,,
26.8518,,-92.0,,,,
26.882,,,,-91.0,,
28.4817,,-82.0,,,,
28.6722,,-89.0,,,,
28.7438,,,,-93.0,,
28.8659,,-86.0,,,,
