AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:01,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:03,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25,Latitude_degrees,Longitude_degrees,floor_ID
0.0605,19029.7283,-2.37751,8.93304,2.22668,0.36588,-0.65271,0.01539,26.0,-24.3,-5.6,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.0658,19029.7483,-1.90824,9.96018,0.76856,-0.14785,-0.894,0.01783,26.1,-24.3,-5.6,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.0729,19029.7683,-2.56906,10.48932,2.03034,-0.75566,-1.59711,-0.08051,26.0,-24.3,-5.7,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.0735,19029.7883,-2.99524,9.40711,3.35917,-1.17777,-2.2208,-0.22162,26.0,-24.3,-6.0,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.0792,19029.8083,-2.00161,7.98012,5.20755,-1.61943,-1.67408,-0.00538,25.9,-24.2,-6.3,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.093,19029.8283,-0.249,7.75745,7.72154,-1.80085,-0.70586,0.1229,25.8,-24.2,-6.8,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.1292,19029.8483,-0.07662,8.53798,8.96895,-1.33232,-0.76939,-0.08174,25.7,-24.0,-7.8,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.1306,19029.8683,-1.76937,8.73671,7.71675,-0.45451,-1.04,-0.40672,25.6,-23.8,-9.2,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.176,19029.8883,-4.80052,7.4845,5.21712,-0.05256,-1.31367,-0.3157,24.9,-23.4,-12.7,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
0.1829,19029.9083,-6.93621,9.91709,5.95696,-0.18389,-0.59468,0.44727,24.1,-23.0,-13.2,-110.0,-83.0,-110.0,-110.0,-110.0,-110.0,-82.0,-90.0,-59.0,-79.0,-110.0,-110.0,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,-1.0,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.461206636646,11.11131516231,-2.0
