AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
1.1046,-82.0,-90.0,-59.0,-79.0,,,-73.0,-88.0,-79.0,-73.0,-72.0,-60.0,-78.0,-78.0,-73.0,-94.0,-84.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,
3.0854,,-87.0,-51.0,-73.0,,,-73.0,-89.0,-72.0,-68.0,-66.0,-71.0,-75.0,-75.0,-76.0,-94.0,-78.0,-98.0,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,2437.0,,,,,,,,,,,,,
5.047,-81.0,-92.0,-60.0,-69.0,,,-80.0,-81.0,-77.0,-69.0,-69.0,-67.0,-78.0,-79.0,-79.0,-94.0,-84.0,,,,,,,,,,,,,,-91.0,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,2437.0
7.0064,-79.0,-89.0,-57.0,-69.0,,,-75.0,-83.0,,-72.0,-74.0,-63.0,-80.0,-80.0,-85.0,,-75.0,,,,,,,,,,,,,,-89.0,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,2437.0
9.0072,-86.0,-89.0,-62.0,-75.0,,,-71.0,-84.0,-74.0,-77.0,-70.0,-64.0,-78.0,-78.0,-72.0,,-80.0,,,,,,,,,,,,,,-95.0,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,2437.0
11.0545,-77.0,-86.0,-61.0,-73.0,,,-78.0,-86.0,-70.0,-71.0,-75.0,-63.0,-76.0,-76.0,-78.0,-91.0,-75.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,
13.0077,-76.0,,-62.0,-77.0,,,-78.0,-76.0,-72.0,-69.0,-72.0,-67.0,-76.0,-76.0,-80.0,,-77.0,,,,,,,,,,,,,,-90.0,2437.0,,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,2437.0
15.0104,-83.0,,-62.0,-75.0,,,-78.0,-87.0,-73.0,-69.0,-73.0,-61.0,-76.0,-76.0,-79.0,,-72.0,,,,,,,,,,,,,,-91.0,2437.0,,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,,,,2437.0
17.0299,-86.0,,-57.0,-78.0,,,-78.0,-78.0,-79.0,-74.0,-72.0,-68.0,-77.0,-76.0,,,-83.0,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,,,,,,,
19.0574,-74.0,,-58.0,-76.0,,,,-85.0,-83.0,-72.0,-75.0,-66.0,-74.0,-74.0,-73.0,-94.0,-77.0,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2437.0,,,,,,,,,,,,,,
