AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:35,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:55,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:66,wifi_rssi_20:23:00:00:01:68,wifi_rssi_20:23:00:00:01:70,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:83,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:35,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:55,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:66,wifi_freq_20:23:00:00:01:68,wifi_freq_20:23:00:00:01:70,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:83,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:25
2.7726,-80.0,,-63.0,-72.0,,,-74.0,-77.0,,-72.0,-53.0,-49.0,-68.0,-84.0,-85.0,-73.0,-81.0,-78.0,,,-90.0,,-84.0,-84.0,,-83.0,-83.0,-82.0,-81.0,,,,,,,,,-79.0,,-88.0,,-89.0,,,,,,,,,-86.0,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,5240.0,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,2462.0,,2412.0,,5240.0,,,,,,,,,5500.0,,
6.5613,-78.0,,-63.0,-73.0,,,-73.0,-78.0,,-74.0,-49.0,-48.0,-70.0,-83.0,-84.0,-73.0,-75.0,-75.0,,,,,-82.0,-82.0,-89.0,-81.0,,-82.0,-82.0,,,,-90.0,-89.0,,-92.0,,-83.0,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,5500.0,5500.0,2462.0,5500.0,,5500.0,5500.0,,,,2462.0,2462.0,,2462.0,,2462.0,,,,,,,,,,,,,,,
10.5701,-80.0,-88.0,-64.0,-71.0,,,-73.0,-76.0,,-72.0,-48.0,-50.0,-70.0,,-86.0,-74.0,-74.0,-72.0,,,,,-85.0,-83.0,-86.0,-84.0,-87.0,,-82.0,,,,-86.0,-85.0,,,,,,,,-89.0,,,,,,,,,,,-85.0,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,5200.0,2462.0,2462.0,2437.0,,,,,5500.0,5500.0,2462.0,5500.0,5500.0,,5500.0,,,,2462.0,2462.0,,,,,,,,5240.0,,,,,,,,,,,2437.0
14.6108,-74.0,,-71.0,-67.0,,,,-80.0,,-68.0,-48.0,-48.0,-68.0,-84.0,-85.0,-70.0,-73.0,-75.0,-81.0,,-91.0,,-85.0,-87.0,,-85.0,-87.0,-86.0,-86.0,,,,,,,,,-80.0,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,,5240.0,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,2462.0,,,,,,,,,,,,,,,
18.6186,-78.0,,-63.0,-76.0,,,-75.0,-81.0,,-69.0,-53.0,-46.0,-66.0,-85.0,-86.0,-75.0,-74.0,-75.0,-82.0,,-87.0,-87.0,-84.0,-83.0,-89.0,-83.0,-83.0,-83.0,-82.0,-92.0,,,,-86.0,,,,,,,,,,,,,,,-94.0,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,,5240.0,5240.0,5500.0,5500.0,2462.0,5500.0,5500.0,5500.0,5500.0,2412.0,,,,2462.0,,,,,,,,,,,,,,,2437.0,,,,
22.5955,-78.0,,-60.0,-76.0,,,-75.0,-76.0,,-73.0,-47.0,-46.0,-62.0,-85.0,-86.0,-75.0,-76.0,-71.0,,,,,-84.0,-84.0,,-83.0,-83.0,-83.0,-83.0,,,,-84.0,-86.0,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,2462.0,2462.0,,,,,,,,,,,,,,,,,,,
26.5955,,,,-74.0,,,-79.0,-80.0,,-72.0,-54.0,-46.0,-61.0,-85.0,,-78.0,-74.0,-74.0,-80.0,,,,-81.0,-80.0,,-83.0,-82.0,-81.0,-82.0,,-82.0,,,,-86.0,,,-82.0,,,,-89.0,,,,,,,,,,,,,,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,,2462.0,2462.0,2437.0,2462.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,2437.0,,,,2412.0,,,2462.0,,,,5240.0,,,,,,,,,,,
30.5789,-76.0,,,-70.0,,,-75.0,,,,-54.0,-46.0,-62.0,-85.0,-85.0,-78.0,-75.0,-70.0,-80.0,,-87.0,,-84.0,-83.0,-86.0,-84.0,-84.0,-83.0,-83.0,,-85.0,,,-86.0,,,-86.0,-82.0,,,,,,,,-86.0,,,,-87.0,,,-82.0,2437.0,,,2452.0,,,2462.0,,,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,,5240.0,,5500.0,5500.0,2462.0,5500.0,5500.0,5500.0,5500.0,,2437.0,,,2462.0,,,2437.0,2462.0,,,,,,,,5500.0,,,,2442.0,,,2437.0
34.5922,-75.0,,-66.0,-69.0,,,-70.0,,,,-48.0,-47.0,-66.0,-84.0,-84.0,-71.0,-73.0,-74.0,,,-88.0,-87.0,-84.0,-83.0,,-84.0,-83.0,-84.0,-84.0,,,,,,,,,,,,,-85.0,,,,,,,,,,,-86.0,2437.0,,2417.0,2452.0,,,2462.0,,,,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,,,5240.0,5240.0,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,5240.0,,,,,,,,,,,2437.0
38.5584,,,-62.0,-72.0,,,-72.0,-81.0,,-75.0,-48.0,-46.0,-70.0,-84.0,-84.0,-72.0,-77.0,-74.0,-85.0,,,,-85.0,-85.0,,-85.0,-84.0,-85.0,-85.0,,-86.0,-94.0,,,,,,,,,,-86.0,,,,,,,,,,,,,,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5200.0,5200.0,2462.0,2462.0,2437.0,2462.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,2437.0,2412.0,,,,,,,,,,5240.0,,,,,,,,,,,
