AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:03:11
0.6055,,,-60.0,-73.0,,-70.0,,-70.0,-47.0,-51.0,-64.0,,,-69.0,-73.0,-72.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
4.3895,,,-64.0,-67.0,,-73.0,,-78.0,-50.0,-51.0,-66.0,,,-71.0,-73.0,-73.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
8.3746,,,-64.0,-71.0,,-70.0,,-79.0,-52.0,-47.0,-62.0,,,-69.0,-79.0,-73.0,,,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
12.3894,,,-63.0,-76.0,,-70.0,,,-56.0,-47.0,-70.0,,,-70.0,-72.0,-75.0,,,,,-77.0,,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,2462.0,
16.3588,,,-66.0,-75.0,,-71.0,,-75.0,-54.0,-45.0,-72.0,,,-72.0,-75.0,,,-83.0,,,,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,,,5500.0,,,,
20.3844,,,-66.0,-74.0,,-73.0,,,-47.0,-45.0,-75.0,,,,-70.0,-76.0,,,-81.0,-81.0,,,,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,,5500.0,5500.0,,
24.3597,-77.0,,-61.0,-74.0,,-78.0,,-75.0,-48.0,-48.0,-70.0,,,,-75.0,-70.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,,,,,
28.3689,,,-61.0,-75.0,,-76.0,,-72.0,-50.0,-49.0,-62.0,,,,-75.0,-73.0,,,,,-78.0,,,,2417.0,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,,2462.0,2437.0,,,,,2462.0,
32.3799,,,,-79.0,,-76.0,,-78.0,-48.0,-49.0,-67.0,,,-75.0,-72.0,-73.0,,,,,-76.0,,,,,2452.0,,2462.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,2462.0,
36.3731,-75.0,,-65.0,-76.0,,-76.0,,,-53.0,-47.0,-66.0,,,-77.0,-77.0,-71.0,,,,,,,2437.0,,2417.0,2452.0,,2462.0,,,2437.0,2422.0,2437.0,,,2462.0,2462.0,2437.0,,,,,,
