AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:67,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:22,wifi_rssi_20:23:00:00:03:38,wifi_rssi_20:23:00:00:03:39,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:67,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:22,wifi_freq_20:23:00:00:03:38,wifi_freq_20:23:00:00:03:39
3.942,,-81.0,-57.0,-58.0,,-85.0,-60.0,-67.0,,-57.0,-61.0,-70.0,-46.0,-67.0,-68.0,-62.0,-78.0,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9576,-64.0,-78.0,-63.0,-62.0,,,-59.0,-61.0,,-58.0,-63.0,-69.0,-46.0,-66.0,-66.0,-58.0,-80.0,,-62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.9458,-61.0,-75.0,-56.0,-61.0,,,-59.0,-61.0,,-54.0,-59.0,-71.0,-42.0,-66.0,-66.0,-58.0,-80.0,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.9564,-60.0,-77.0,-67.0,-56.0,,,-65.0,-57.0,,-50.0,-64.0,-67.0,-46.0,-66.0,-67.0,-66.0,-77.0,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.9367,-66.0,-76.0,-60.0,-63.0,,-91.0,-65.0,-63.0,,-54.0,-64.0,-70.0,-48.0,-69.0,-70.0,-68.0,,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9156,-64.0,-79.0,-60.0,-57.0,,,-61.0,-63.0,,-52.0,-65.0,-68.0,-44.0,-72.0,-72.0,-61.0,-78.0,,-59.0,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.9574,-60.0,-79.0,-63.0,-59.0,,-90.0,-59.0,-68.0,,-56.0,-66.0,-73.0,-42.0,-69.0,-69.0,-60.0,-72.0,,-60.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.949,-59.0,-79.0,-59.0,-57.0,,-86.0,-65.0,-65.0,,-59.0,-66.0,-74.0,-44.0,-68.0,-67.0,-64.0,,,-58.0,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.9367,-61.0,-79.0,-61.0,-55.0,,-85.0,-61.0,-69.0,,-60.0,-70.0,-74.0,-44.0,-69.0,-69.0,-62.0,-83.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.958,-62.0,-80.0,-61.0,-56.0,-90.0,-85.0,-59.0,-63.0,,-56.0,-64.0,-74.0,-54.0,-68.0,-69.0,-65.0,-75.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
