AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:24,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:22,wifi_rssi_20:23:00:00:01:23,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:39,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:72,wifi_rssi_20:23:00:00:01:73,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:10,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:08,wifi_rssi_20:23:00:00:03:39,wifi_rssi_20:23:00:00:03:40,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:24,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:22,wifi_freq_20:23:00:00:01:23,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:39,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:72,wifi_freq_20:23:00:00:01:73,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:10,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:08,wifi_freq_20:23:00:00:03:39,wifi_freq_20:23:00:00:03:40
2.5673,-64.0,,-68.0,-60.0,-93.0,,,-61.0,-59.0,,-58.0,-66.0,-72.0,-49.0,-75.0,-76.0,-61.0,-78.0,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,2462.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5599,-58.0,,-57.0,-55.0,,,,-54.0,-61.0,,-54.0,-65.0,-68.0,-51.0,-73.0,-75.0,-54.0,-74.0,,-62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6153,-66.0,-80.0,-63.0,-56.0,,,,-54.0,-62.0,,-54.0,-61.0,-68.0,-47.0,-73.0,-73.0,-54.0,-74.0,,-61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,,2437.0,5200.0,2417.0,2452.0,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.0,,,,,
14.577,-63.0,-78.0,-65.0,-60.0,,,-83.0,-62.0,-64.0,,-58.0,-67.0,-68.0,-52.0,-68.0,-68.0,-62.0,-78.0,,-67.0,,,,-92.0,,,,,,,,,-91.0,,,-91.0,,,,,-92.0,,,,,,,,,,,-91.0,,-91.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,,,,,,,,,2412.0,,,2412.0,,,,,2412.0,,,,,,,,,,,2442.0,,2442.0,,,,
18.6059,-67.0,-82.0,-64.0,-59.0,,,-87.0,-57.0,-64.0,,-60.0,-65.0,-72.0,-48.0,-68.0,-68.0,-57.0,-78.0,,-62.0,,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5747,-64.0,-75.0,-61.0,-55.0,,,-86.0,-61.0,-62.0,,-56.0,-67.0,-73.0,-48.0,-72.0,-72.0,-59.0,-81.0,,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5703,,-78.0,-61.0,-52.0,,-87.0,-87.0,-62.0,-62.0,,-56.0,-60.0,-81.0,-52.0,-71.0,-72.0,-59.0,-81.0,,-60.0,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,,,,,,,5200.0,2417.0,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.0,,,,,,
30.6032,-65.0,-77.0,,-56.0,,-89.0,-83.0,-62.0,-69.0,,-58.0,-60.0,-73.0,-44.0,-68.0,-69.0,-61.0,-77.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,-89.0,,,,,,,,,,-88.0,,-90.0,,,,,2437.0,5200.0,,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,2442.0,,,,,,,,,,2442.0,,2442.0,,,,
34.5676,-62.0,-81.0,-58.0,-60.0,,,,-61.0,-73.0,,-60.0,-60.0,-72.0,-44.0,-70.0,-70.0,-61.0,-78.0,,-59.0,,,,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,,,
38.5556,-58.0,-76.0,-62.0,-56.0,,,-82.0,-61.0,-69.0,,-60.0,-65.0,-72.0,-44.0,-71.0,-71.0,-60.0,-78.0,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5821,,-79.0,-58.0,-56.0,,-91.0,-86.0,-61.0,-69.0,,-60.0,-65.0,-72.0,-43.0,-73.0,-72.0,-61.0,-75.0,,-57.0,-87.0,,,,,,,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,,,5200.0,2417.0,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,2462.0,,,,,,,,,,,,,,,,,,2462.0,,,,,,,,,,,,,,,,,,,
46.5807,-55.0,-79.0,-59.0,-56.0,,,-82.0,-62.0,-66.0,,-56.0,-62.0,-69.0,-46.0,-77.0,-77.0,-63.0,-79.0,,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.5642,-64.0,-82.0,-59.0,-56.0,,,-84.0,-64.0,-66.0,,-54.0,-60.0,-69.0,-47.0,-70.0,-70.0,-65.0,-78.0,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.5575,-60.0,-80.0,-59.0,-60.0,,,-87.0,-65.0,-66.0,,-57.0,-60.0,-69.0,-46.0,-72.0,-72.0,-65.0,-76.0,,-58.0,,,-87.0,,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,5500.0,,2462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.5841,-61.0,,-62.0,-60.0,,,-84.0,-62.0,-63.0,,-56.0,-60.0,-69.0,-45.0,-73.0,-72.0,-63.0,,,-59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.5919,-54.0,,-62.0,-60.0,,-90.0,-84.0,-62.0,-63.0,,-55.0,-61.0,-68.0,-44.0,-71.0,-71.0,-63.0,-78.0,,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2412.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
