AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:01,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:67,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:85,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:01,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:67,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:85,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60
3.6893,-64.0,-79.0,-71.0,-68.0,,,-70.0,-69.0,,-56.0,-68.0,-78.0,-52.0,-73.0,-73.0,-63.0,-87.0,,-60.0,,,,-88.0,-90.0,,-90.0,-90.0,-90.0,-92.0,,,,,,,,-92.0,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,5500.0,,,,,,,,,,
5.6174,-57.0,-79.0,-65.0,-59.0,,,-64.0,-66.0,,-58.0,-72.0,-77.0,-50.0,-72.0,-72.0,-63.0,-91.0,,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4721,-72.0,-78.0,-69.0,-70.0,,,-67.0,-69.0,,-59.0,-71.0,-73.0,-51.0,-73.0,-73.0,-64.0,-87.0,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.4546,-74.0,-82.0,-71.0,-66.0,,-91.0,-70.0,-66.0,,-60.0,-66.0,-82.0,-52.0,-77.0,-77.0,-79.0,-90.0,,-61.0,,,,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,
11.5591,-64.0,-78.0,-73.0,-60.0,,,-61.0,-72.0,,-60.0,-71.0,-78.0,-54.0,-75.0,-75.0,-60.0,-86.0,,-67.0,,,,-86.0,-87.0,,-87.0,-86.0,-88.0,-87.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,
15.4771,-84.0,-80.0,,-60.0,,,,-67.0,,-63.0,-71.0,-86.0,-55.0,-68.0,-68.0,-60.0,-83.0,,-75.0,,,,,,,,,,,,,,,,,,,,,-95.0,-93.0,,,,,,,2437.0,5200.0,,2452.0,,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,2462.0,2462.0,,,,,,
17.5609,-73.0,-80.0,-69.0,-56.0,,,-64.0,-75.0,,-56.0,-75.0,-73.0,-52.0,-78.0,-78.0,-65.0,-81.0,,-66.0,,,,-85.0,-86.0,,-86.0,-85.0,-86.0,-86.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,
19.4617,-76.0,-82.0,-69.0,-67.0,,,-65.0,-65.0,,-63.0,-68.0,-78.0,-61.0,-73.0,-73.0,,-87.0,,-71.0,,,,-87.0,-87.0,,-88.0,-87.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,,2437.0,,,,5500.0,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,
21.4167,-65.0,-78.0,-74.0,-63.0,,,-65.0,-67.0,,-62.0,-68.0,-77.0,-51.0,-73.0,-73.0,-71.0,-90.0,,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.4984,-65.0,-83.0,-74.0,-64.0,,,-63.0,-72.0,,-57.0,-69.0,-80.0,-49.0,-70.0,-70.0,-65.0,-81.0,,-67.0,,,,-92.0,,,,,-92.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,,,,,5500.0,,,,,,,,,,,,,,,,,,,
