AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:87,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:87
3.6893,-64.0,,-71.0,-68.0,,-70.0,-69.0,,-56.0,-68.0,,-52.0,,,-63.0,,-60.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,,,,,,,,,
5.6174,-57.0,,-65.0,-59.0,,-64.0,-66.0,,-58.0,,,-50.0,-72.0,,-63.0,,-63.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,,,,
7.4721,-72.0,,-69.0,-70.0,,-67.0,-69.0,,-59.0,-71.0,,-51.0,,,-64.0,,-64.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,,,,,,,,,
9.4546,-74.0,,-71.0,-66.0,,-70.0,-66.0,,-60.0,-66.0,,-52.0,-77.0,,,,-61.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,,,2437.0,,,,,,,,,,,
11.5591,-64.0,,-73.0,-60.0,,-61.0,-72.0,,-60.0,-71.0,,-54.0,,,-60.0,,-67.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,2437.0,,,,,,,,,,,
15.4771,,-80.0,,-60.0,,,-67.0,,-63.0,-71.0,,-55.0,-68.0,-68.0,-60.0,,-75.0,,,,,,,,,,,,,5200.0,,2452.0,,,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,
17.5609,-73.0,,-69.0,-56.0,,-64.0,-75.0,,-56.0,,-73.0,-52.0,,,-65.0,,-66.0,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2462.0,2412.0,,2427.0,,2422.0,2437.0,,,2462.0,,2437.0,,,,,,,,,,,
19.4617,,,-69.0,-67.0,,-65.0,-65.0,,-63.0,-68.0,,-61.0,-73.0,-73.0,,,-71.0,,,,,,,,,,,,,,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,,,2437.0,,,,,,,,,,,
21.4167,-65.0,,,-63.0,,-65.0,-67.0,,-62.0,-68.0,,-51.0,-73.0,,-71.0,,-63.0,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,2437.0,,,,,,,,,,,
23.4984,-65.0,,,-64.0,,-63.0,,,-57.0,-69.0,,-49.0,-70.0,-70.0,-65.0,,-67.0,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2437.0,,,,,,,,,,,
