AppTimestamp(s),SensorTimestamp(s),mag_x,mag_y,mag_z
0.0267,328.9301,17.5,-19.4,-16.3
0.0278,328.9502,17.4,-19.5,-16.2
0.0741,328.9702,17.4,-19.6,-16.2
0.0755,328.9902,17.3,-19.7,-16.3
0.0894,329.0103,17.3,-19.8,-16.4
0.1107,329.0303,17.3,-19.9,-16.4
0.1297,329.0504,17.2,-20,-16.4
0.1485,329.0705,17.1,-20,-16.5
0.1715,329.0905,17.1,-20.1,-16.6
0.1893,329.1106,17,-20.1,-16.7
0.2081,329.1306,16.9,-20.1,-16.8
0.2317,329.1507,16.7,-20.1,-17
0.2494,329.1708,16.5,-20.1,-17.3
0.2817,329.1908,16.2,-20.1,-17.6
0.2917,329.2109,16,-20.1,-18
0.3082,329.231,15.6,-20.1,-18.4
0.3313,329.251,15.4,-20,-18.8
0.3496,329.2711,15.1,-20,-19
0.3682,329.2911,14.9,-19.9,-19.3
0.3896,329.3112,14.6,-19.8,-19.4
0.412,329.3313,14.3,-19.7,-19.7
0.437,329.3513,14.1,-19.6,-19.9
0.4503,329.3714,13.8,-19.5,-20.3
0.4903,329.3914,13.6,-19.4,-20.5
0.4946,329.4115,13.4,-19.3,-20.9
0.5143,329.4315,13.3,-19.1,-21
0.5341,329.4515,13.2,-18.8,-21.2
0.5556,329.4716,13.3,-18.7,-21.3
0.5702,329.4917,13.4,-18.4,-21.4
0.5935,329.5117,13.5,-18.3,-21.4
0.6104,329.5318,13.7,-18,-21.3
0.6374,329.5518,13.9,-17.8,-21.3
0.6506,329.5719,14,-17.7,-21.4
0.672,329.592,14,-17.6,-21.5
0.6908,329.612,14.1,-17.5,-21.6
0.7119,329.6321,14.1,-17.4,-21.6
0.7308,329.6522,14.1,-17.4,-21.6
0.7511,329.6722,14,-17.4,-21.8
0.7736,329.6923,13.8,-17.5,-21.8
0.7943,329.7123,11.5,-18.6,-22
0.8102,329.7324,6,-21.5,-20.6
0.8328,329.7525,-0.4,-24.8,-16.5
0.8507,329.7725,-6.6,-27.8,-11.4
0.8715,329.7926,-12.6,-27.9,-2
0.8936,329.8126,-15.2,-24.6,6.7
0.911,329.8327,-18.1,-20.5,12.6
0.9313,329.8528,-22.1,-17.4,12.8
0.9534,329.8728,-24.1,-10.9,16.9
0.9703,329.8929,-25.9,-6.2,14.8
0.991,329.913,-27.1,-1,16.4
1.0177,329.933,-26.6,3.2,17.1
1.0344,329.9531,-26.4,6.2,16.5
1.052,329.9731,-27.6,5.6,15
1.0756,329.9932,-28,4.5,14
1.0914,330.0133,-30.3,1.5,9.1
1.1102,330.0333,-30,-1.7,6.9
1.1325,330.0534,-30.3,-6.8,3.9
1.1528,330.0734,-28.2,-12.5,0.8
1.1712,330.0934,-26.5,-18,-2.2
1.1937,330.1135,-21.8,-21.2,-1.8
1.2089,330.1335,-18.5,-26.2,-1.8
1.2326,330.1535,-11.3,-29.2,-2.2
1.2513,330.1736,-5,-31.5,-4.7
1.2705,330.1936,0.7,-32.6,-5.3
1.2905,330.2136,7.6,-30.4,-4.3
1.3121,330.2336,15.4,-27.4,-6.1
1.3321,330.2536,19.1,-24.8,-8
1.3539,330.2736,23,-19.9,-9.5
1.3753,330.2936,26.3,-15.3,-12
1.3888,330.3136,27.8,-11.3,-13.6
1.409,330.3336,27.3,-6.3,-17.1
1.4325,330.3535,26.5,-2.1,-20.3
1.4597,330.3735,24,2.7,-21.3
1.4711,330.3935,22.7,5.2,-24.5
1.4991,330.4135,19.2,7.2,-25.5
1.5185,330.4335,14,7.6,-26.8
1.5296,330.4535,9.5,8.7,-28.8
1.5516,330.4735,6.1,9.1,-29.8
1.5695,330.4935,-0.9,8.9,-27.8
1.5925,330.5135,-5.3,6.7,-31.3
1.6144,330.5335,-9.6,2.9,-28
1.6654,330.5535,-13.1,-1,-29.7
1.6673,330.5735,-14.2,-4.6,-26.9
1.6785,330.5935,-16.4,-9.7,-26.4
1.6908,330.6135,-16.8,-14.5,-22.6
1.7094,330.6335,-17.3,-17.4,-20.8
1.7324,330.6535,-17.4,-20.6,-19.5
1.7513,330.6735,-16.7,-23.1,-16.4
1.7697,330.6935,-16.4,-25.6,-14.5
1.7921,330.7135,-16,-27.1,-9.8
1.8098,330.7335,-13.6,-29.2,-7.5
1.8295,330.7535,-13.1,-30.8,-3.8
1.8515,330.7734,-12.3,-30.8,4.3
1.8693,330.7934,-12,-31.1,9.6
1.8881,330.8134,-10.4,-29.4,11.8
1.9124,330.8335,-9.7,-27.9,18.5
1.9305,330.8535,-10.6,-24.2,23.5
1.9513,330.8735,-11.2,-21,26.4
1.9761,330.8936,-12.6,-16.8,27.4
1.9961,330.9136,-12,-10.8,31.3
2.0139,330.9336,-13.8,-7.5,31.7
2.0352,330.9536,-14.6,-3,32.4
2.1023,330.9737,-16.2,-0.7,31.8
2.1204,330.9937,-18.2,2.2,28.1
2.1263,331.0137,-22.2,3,24.7
2.1295,331.0338,-25.1,2.3,23.4
2.1337,331.0538,-25.7,2.1,20.1
2.1527,331.0738,-27.2,0.3,19.8
2.1718,331.0938,-29.5,-3.5,16.5
2.1924,331.1139,-29.2,-7.7,13.8
2.2127,331.1339,-29.3,-11.6,10.2
2.2325,331.1539,-27.8,-17.1,7.8
2.2508,331.1739,-25.9,-21.1,7.2
2.273,331.194,-21.2,-24.6,3.8
2.2922,331.214,-18.1,-28.8,1.8
2.3107,331.234,-14,-30.7,1.1
2.338,331.2541,-8.4,-33.1,0.2
2.3505,331.2741,-2.7,-33,0.2
2.371,331.2941,2.2,-33,-0.3
2.3945,331.3141,6.9,-32.7,-2.7
2.4142,331.3342,12.5,-30.6,-1.4
2.4316,331.3542,13.9,-28.3,-6.1
2.4527,331.3742,18.4,-25.3,-9.2
2.4737,331.3943,21.1,-21.7,-11.2
2.4936,331.4144,23.7,-17.5,-12.4
2.5136,331.4344,24.3,-13.3,-15.9
2.5319,331.4544,25,-8.5,-20
2.5528,331.4744,24.4,-5.4,-20.6
2.5727,331.4945,22.4,-2,-22.3
2.5926,331.5145,19.4,2,-24.3
2.6112,331.5345,16.1,3.8,-27.5
2.635,331.5546,11.9,5.1,-27.9
2.6611,331.5746,8.6,5.5,-30.2
2.6727,331.5946,3.9,4.5,-32.2
2.6975,331.6146,0.4,3.4,-32
2.7129,331.6347,-4.2,0.1,-32.8
2.7323,331.6547,-7.3,-2.9,-31.3
2.7538,331.6747,-9,-7,-31.4
2.7788,331.6948,-10.3,-9.3,-27.4
2.7982,331.7148,-11.8,-13.1,-25.6
2.8255,331.7348,-13,-17,-26.3
2.8328,331.7548,-13.6,-19.8,-23.2
2.8528,331.7749,-13.6,-23.7,-19.2
2.8742,331.7949,-13.2,-25.2,-17
2.8941,331.8149,-12.3,-27.8,-13.2
2.9173,331.835,-11.9,-29.2,-10.4
2.9348,331.855,-11.2,-30.7,-7.6
2.9529,331.875,-9,-31.7,-3.8
2.9743,331.895,-6.7,-31.9,-1.8
2.9995,331.9151,-4.8,-32.5,1.9
3.0245,331.9351,-3.6,-32,3.5
3.033,331.9551,-2.9,-30.7,10
3.0591,331.9751,-2.6,-29.9,12.3
3.0736,331.9951,-2.3,-27.8,18.5
3.0931,332.0151,-2.4,-25.6,21.7
3.1146,332.0351,-3.6,-22.8,26.1
3.1375,332.0551,-5.9,-17,29.3
3.162,332.0751,-8.2,-13.6,32.2
3.1807,332.0951,-9.9,-9.5,31.7
3.1922,332.1151,-11.7,-6.4,32.3
3.2119,332.1351,-14.1,-4.3,30.2
3.2353,332.1551,-15.9,-1.7,30.2
3.2522,332.1751,-18.1,0.4,27.8
3.2739,332.1951,-19.8,1,25.9
3.2974,332.2151,-22,1.9,25.3
3.3141,332.2351,-24,2.7,22
3.3326,332.2551,-25.3,3.5,20.4
3.354,332.2751,-27.1,2.2,17.4
3.3769,332.2951,-27.8,0.6,16.2
3.4038,332.3151,-29.7,-2.5,14.7
3.4252,332.3351,-29.7,-5.5,13.6
3.4373,332.3552,-29.5,-8.8,12.4
3.4594,332.3752,-28.7,-12.4,10.6
3.4808,332.3952,-27.7,-16.3,9.3
3.4975,332.4152,-25.3,-19.6,6.6
3.5189,332.4353,-21.7,-23.2,6.8
3.5439,332.4553,-18.9,-26.4,4.4
3.5598,332.4753,-16.5,-28.8,4.9
3.5752,332.4954,-13.5,-30.7,3
3.5986,332.5154,-9.3,-31.8,1.8
3.6122,332.5354,-5.3,-32.1,0.6
3.6332,332.5554,1.7,-32.8,-3.3
3.6882,332.5755,5.6,-31.7,-3
3.6948,332.5955,9.8,-30.4,-6
3.6965,332.6155,13.5,-28.4,-6.6
3.7143,332.6356,17.5,-25.3,-9.4
3.7323,332.6556,20.1,-22.2,-8.8
3.7524,332.6756,21.2,-19.3,-13.2
3.7746,332.6956,24.1,-15.3,-15.3
3.7921,332.7157,24.6,-10.7,-16.3
3.8122,332.7357,25.2,-6.7,-18.6
3.8344,332.7557,25.3,-2.7,-19.9
3.855,332.7758,24.4,0.8,-21.5
3.8726,332.7958,22.9,2.6,-25.6
3.8974,332.8158,20.5,8,-23.9
3.9128,332.8358,18.7,11.5,-26.4
3.9326,332.8559,14.9,13,-27.8
3.9573,332.8759,12.2,14.5,-29.1
3.9733,332.8959,8.8,14.5,-29.9
3.9987,332.9159,4.8,15,-29.1
4.0149,332.9359,3.1,14.2,-28.8
4.0333,332.9559,-0.4,12.2,-30.8
4.0528,332.9759,-5.3,8.1,-30.8
4.0729,332.9958,-8.4,4,-31.5
4.094,333.0158,-9.6,0.3,-30.3
4.1129,333.0358,-10.2,-3.7,-29.7
4.1342,333.0557,-11.7,-6.5,-29.2
4.1528,333.0757,-13.5,-10.4,-27.4
4.1736,333.0957,-13,-13.3,-27.3
4.1955,333.1156,-12.8,-17.4,-24.9
4.2161,333.1356,-13.3,-19.6,-22.7
4.2347,333.1555,-12.3,-21.5,-22
4.2533,333.1755,-11.1,-24,-20.1
4.2715,333.1955,-11.4,-26.5,-18.6
4.2964,333.2154,-10.9,-27.6,-13.3
4.3159,333.2354,-9.6,-29.3,-10.2
4.3351,333.2553,-9.4,-30.4,-5.6
4.357,333.2753,-10.8,-31.2,-2.5
4.3756,333.2953,-10.7,-30.2,3.3
4.3946,333.3153,-12.5,-28.5,9.6
4.4245,333.3353,-13.7,-26.2,13.7
4.4352,333.3553,-16.3,-23.2,17.5
4.456,333.3752,-17.9,-20.7,18.6
4.4758,333.3952,-18.4,-16.4,23.3
4.5012,333.4152,-18.3,-14,23.8
4.515,333.4352,-18.1,-11.3,26
4.5324,333.4552,-18.1,-7.6,28.9
4.5541,333.4752,-18.4,-4.1,29.6
4.5736,333.4952,-19.1,-1.7,26.3
4.5931,333.5152,-20.1,1.2,27.8
4.617,333.5352,-20.7,3.4,27.5
4.6323,333.5552,-20.5,5.6,25.1
4.6522,333.5752,-21.9,6.6,22.9
4.6794,333.5953,-24.2,6.6,19.9
4.6935,333.6153,-26.1,6.3,18.1
4.7122,333.6353,-28.1,5.4,14.3
4.7339,333.6554,-29.6,4.2,14.3
4.7554,333.6754,-29.6,3.6,12.9
4.7731,333.6954,-30.3,2.3,12.6
4.7976,333.7154,-30.7,0.6,10.2
4.8167,333.7355,-31.3,-2,8.3
4.8329,333.7555,-30.6,-3.7,10.6
4.8549,333.7755,-30.1,-6.3,9.4
4.8724,333.7956,-29.6,-9.2,6.6
4.8929,333.8156,-29.6,-12.8,7.1
4.914,333.8356,-28.6,-15.8,6.7
4.9342,333.8556,-26.1,-19,6
4.9522,333.8757,-23.6,-22.4,4.7
4.974,333.8957,-20.8,-26.9,2.6
4.9928,333.9157,-17.9,-29.4,2.2
5.0206,333.9357,-13.1,-30.9,-1
5.0366,333.9557,-10.5,-32.1,-1.6
5.0524,333.9757,-6.3,-33.7,-1
5.0723,333.9957,-2.5,-33.3,-2.8
5.0951,334.0157,1.2,-33.5,-6.2
5.1181,334.0356,5.3,-32.1,-5.2
5.1335,334.0556,8.7,-30.4,-5.8
5.154,334.0756,11.7,-29.1,-8.3
5.1723,334.0956,13.8,-27.8,-7.9
5.1931,334.1156,16.3,-26,-9.5
5.2244,334.1356,18.2,-24.2,-12.3
5.235,334.1556,21.8,-18.6,-14.2
5.2556,334.1756,24.4,-15.2,-16.4
5.2735,334.1956,24.5,-11.3,-17.1
5.2943,334.2156,24.8,-8.3,-19.3
5.3134,334.2356,25.2,-4.3,-20.3
5.3348,334.2557,24.7,-0.9,-21.3
5.3536,334.2757,24.1,1.9,-21.4
5.3781,334.2957,21.8,5.9,-24.9
5.3993,334.3157,20.4,8.8,-24.4
5.4183,334.3358,18.9,11.6,-26.9
5.4459,334.3558,16.2,13.3,-27.6
5.4567,334.3759,11.8,15.1,-27.2
5.4749,334.3959,8.2,15.9,-27
5.4964,334.416,5.7,16,-27.4
5.5178,334.436,2.5,14.9,-29.6
5.5387,334.4561,0,13.9,-30.3
5.554,334.4762,-1.8,12.9,-30
5.5779,334.4962,-4.2,10.9,-31
5.5958,334.5163,-7.3,7.5,-29.6
5.6149,334.5364,-9.8,4.6,-32.4
5.6417,334.5564,-11.8,1.9,-29.7
5.6611,334.5765,-12.8,-2.4,-30.3
5.6747,334.5965,-14.4,-6.8,-29.2
5.7181,334.6166,-14.8,-10.4,-27.3
5.719,334.6367,-16.2,-16.2,-23
5.7337,334.6567,-15.6,-19,-21.5
5.7562,334.6768,-14.7,-21.1,-17.4
5.7746,334.6968,-15.3,-24.4,-16.7
5.7972,334.7169,-14.5,-25.5,-11.7
5.818,334.737,-12.7,-27.3,-10.4
5.8352,334.757,-13.2,-29.3,-6.9
5.8545,334.7771,-14.1,-30.3,-3.8
5.8757,334.7972,-13,-30.5,-1.6
5.898,334.8172,-12.7,-30.6,2.1
5.9141,334.8373,-12.1,-29.7,5.2
5.9358,334.8573,-12,-29.6,9.8
5.9535,334.8773,-11.6,-28.2,12
5.9741,334.8973,-12.3,-26.1,17
5.9977,334.9174,-12.6,-23.5,19.2
6.0159,334.9374,-12.9,-20.3,24.5
6.0358,334.9574,-13.5,-17.2,25.9
6.0555,334.9774,-14.9,-13.4,28.5
6.0747,334.9974,-14.9,-8.6,29.8
6.0956,335.0174,-16.6,-5.2,29.9
6.1163,335.0374,-17.9,-2.5,28.5
6.1349,335.0574,-18.3,0.5,27
6.1543,335.0774,-19.7,4.6,28.3
6.1759,335.0974,-18.7,7.3,25.9
6.1954,335.1174,-22.3,8.3,22.8
6.2149,335.1374,-23.6,9.4,22.2
6.2362,335.1574,-25.1,9.4,18.8
6.2547,335.1774,-27.7,8.4,14.6
6.2743,335.1974,-29.3,6.8,12.7
6.2979,335.2174,-29.4,4.8,11.3
6.3147,335.2374,-31.3,2.3,8.5
6.3452,335.2574,-30.6,1,8.8
6.3603,335.2774,-31.2,-1.9,5.8
6.376,335.2974,-31.7,-5.2,6.9
6.3963,335.3174,-29,-7.8,5.3
6.4188,335.3375,-29.3,-11.9,4.6
6.4389,335.3575,-28.8,-15,2.7
6.4559,335.3775,-27.3,-17.6,2.6
6.4844,335.3975,-25.9,-19.3,3.8
6.4966,335.4176,-23.2,-23.9,4.4
6.5148,335.4376,-20.6,-26.4,3.2
6.5364,335.4576,-17.6,-28.2,1.7
6.5545,335.4777,-14.9,-29.9,1.1
6.5753,335.4977,-10.5,-31.7,-0.9
6.5989,335.5177,-6.8,-32.4,-2
6.6146,335.5377,-3,-32.4,-2
6.6345,335.5578,1.5,-32.5,-3.5
6.6562,335.5778,4.8,-31.3,-4.1
6.6783,335.5978,9.8,-29.6,-4.6
6.6984,335.6179,9.5,-28.3,-6.8
6.7173,335.6379,13.1,-26.6,-8.6
6.7369,335.6579,14.7,-25.5,-11.4
6.756,335.6779,15.8,-22.5,-12.3
6.7773,335.698,19.9,-17.7,-15.1
6.7957,335.718,21.3,-15.3,-16.1
6.8172,335.738,22.8,-12,-19.2
6.8491,335.7581,22.8,-9,-20.2
6.8567,335.7781,22.9,-4.8,-19.6
6.8752,335.7981,22.7,-0.4,-24
6.8979,335.8181,21.6,3.4,-24.1
6.9157,335.8382,19,6.1,-26.4
6.9349,335.8582,17.4,10,-25.3
6.9572,335.8782,15.4,13.7,-26.3
6.975,335.8982,12.6,14.4,-28
6.996,335.9182,9.6,16.1,-28.1
7.0262,335.9382,5.3,16.5,-28.2
7.0392,335.9582,0.7,16.2,-28.3
7.0608,335.9782,-2.1,15.1,-30.6
7.0875,335.9982,-6.2,14.1,-28.2
7.0979,336.0182,-8.7,11.5,-29.2
7.1188,336.0382,-10.9,9.1,-29
7.1379,336.0582,-13.8,4.5,-30.6
7.1624,336.0781,-14.7,1.2,-29.1
7.1746,336.0981,-15.4,-3,-27.5
7.1981,336.1181,-16.1,-7.8,-27.9
7.2173,336.1381,-17.3,-11.1,-24.8
7.2341,336.1581,-16,-14.6,-24.7
7.2567,336.1781,-16.5,-17.5,-21.7
7.2767,336.1981,-16.3,-20.4,-20.7
7.2964,336.2181,-15.6,-22.1,-18.5
7.3181,336.2381,-13.5,-25.1,-13.8
7.3363,336.2581,-12.8,-26.6,-11.6
7.3613,336.2781,-12.2,-29.4,-10.6
7.3761,336.2981,-11.4,-30.2,-6.5
7.3961,336.3181,-10.5,-30.7,-0.6
7.4131,336.3381,-11.1,-31.1,2.4
7.4372,336.3581,-9.8,-30.1,7.1
7.4659,336.3781,-11.1,-29.2,12.1
7.483,336.3981,-12.1,-27.5,15.3
7.4991,336.4181,-13.1,-25.5,18.1
7.5155,336.4381,-13.2,-23.1,19.8
7.5354,336.4582,-14.1,-20.9,22.6
7.5572,336.4782,-15.2,-17,24.9
7.5753,336.4982,-16.1,-13.1,26.5
7.5991,336.5182,-16.9,-9.6,26.6
7.6165,336.5383,-18.1,-6.5,26.6
7.637,336.5583,-18.7,-2.8,27
7.6893,336.5783,-18.8,0.2,29.2
7.6912,336.5984,-19.5,2.7,27.4
7.7013,336.6184,-21.4,4.4,26.5
7.7153,336.6384,-21.9,5.5,22.6
7.7373,336.6584,-24.1,6.9,21.1
7.7555,336.6785,-24.5,8.8,19.9
7.7755,336.6985,-26,8.7,19
7.7988,336.7185,-27.4,8.6,15.7
7.8189,336.7386,-28.9,6.6,13
7.836,336.7586,-29.7,4.5,10.7
7.8578,336.7786,-29.9,2.4,8.6
7.8847,336.7986,-31,-1.1,7.3
7.9033,336.8187,-31.4,-5,5.4
7.9225,336.8387,-29.3,-8.8,3.2
7.9355,336.8587,-28.9,-13.2,3
7.9552,336.8788,-27,-17.5,3.2
7.9775,336.8988,-25.4,-21.6,1.8
8.008,336.9188,-21.9,-24.1,-0.3
8.0171,336.9388,-17.9,-27.5,0
8.0402,336.9589,-15.2,-30.1,-3.7
8.0569,336.9789,-10.3,-31.2,-1.5
8.0766,336.9989,-6.4,-32.9,-6.5
8.0988,337.0189,1.2,-32.9,-4.8
8.1188,337.0389,4.5,-32,-4.3
8.137,337.0589,8.4,-30.4,-7.4
8.1601,337.0789,12.1,-28,-7.7
8.1793,337.0989,15.1,-26.5,-8.6
8.2001,337.1189,18.5,-22.9,-8.5
8.2185,337.1389,22,-19.5,-9.1
8.2371,337.1589,24,-16.6,-14.1
8.2589,337.1789,25.6,-11.5,-13.5
8.2778,337.1989,25.9,-7.4,-15.7
8.2965,337.2189,26,-3.4,-17.9
8.3204,337.2389,25.5,0.8,-19.5
8.3375,337.2589,23.5,4.1,-21.8
8.3589,337.2789,19.9,8,-24.1
8.3775,337.2988,18,9.8,-28.2
8.3984,337.3188,14,12.7,-26.5
8.4212,337.3388,11.1,15.1,-27.2
8.4368,337.3588,7.4,16.3,-27.6
8.461,337.3788,4.3,15.7,-27.4
8.4776,337.3988,1.6,15,-28.4
8.4968,337.4188,-0.9,13.3,-27.3
8.5179,337.4388,-5,11.7,-28
8.5359,337.4588,-6.7,8.7,-30.8
8.5557,337.4788,-9.4,6.1,-29.3
8.5782,337.4988,-10.9,1.8,-29.1
8.5978,337.5188,-12.7,-2,-28.2
8.6159,337.5388,-12.4,-4.9,-27.9
8.6421,337.5588,-13.2,-11.3,-26.1
8.6656,337.5788,-13.3,-14.3,-23.9
8.6924,337.5988,-12,-17.9,-21.2
8.7069,337.6188,-11.5,-21.1,-19.3
8.721,337.6388,-11.7,-23.4,-19.2
8.7351,337.6588,-10.2,-25.5,-16.4
8.757,337.6788,-9.8,-28.3,-12.3
8.7756,337.6987,-8.3,-30.5,-9.5
8.8014,337.7187,-6.3,-30.8,-5.7
8.8197,337.7387,-5.8,-31.7,-1.6
8.8384,337.7587,-5.5,-33,2.1
8.8578,337.7787,-4,-31.3,6.1
8.8836,337.7987,-4.5,-31.4,9.3
8.9021,337.8187,-4.3,-29.3,13.7
8.9265,337.8387,-6.5,-28.3,15.8
8.9409,337.8587,-7.9,-24.8,19.6
8.9551,337.8787,-9.6,-21.4,23.7
8.9765,337.8987,-11.3,-18.1,27.2
8.9993,337.9187,-13.3,-14.4,26.6
9.0157,337.9387,-13.9,-11.2,28.6
9.0358,337.9587,-15.4,-8.2,28.9
9.0581,337.9787,-17.5,-5.8,28
9.0769,337.9987,-19.6,-2.4,26.9
9.0961,338.0187,-20.9,-0.8,26.9
9.1222,338.0387,-23.3,2.5,24.1
9.1364,338.0587,-25.2,4.3,19.8
9.1563,338.0787,-26.3,5.3,19.8
9.1802,338.0988,-28,5.8,17.1
9.198,338.1188,-28.7,5,14.4
9.2161,338.1388,-30.2,3.6,11.6
9.238,338.1588,-30.3,2.3,10.2
9.2601,338.1789,-31.4,-0.2,4.6
9.2803,338.1989,-30.8,-2.8,7.7
9.2986,338.2189,-31,-5.3,5.2
9.3212,338.239,-31.3,-7.3,3.1
9.3378,338.259,-30.2,-10.7,0.9
9.3583,338.279,-29.7,-14.1,-0.3
9.3778,338.299,-27.7,-16.5,-1.9
9.3992,338.3191,-24.5,-21.6,-3.2
9.4171,338.3391,-21.9,-24.7,-5.5
9.4417,338.3591,-18.4,-26.7,-6.2
