AppTimestamp(s),Latitude_degrees,Longitude_degrees
60.7285,49.46113158,11.11100646
68.0241,49.46110526,11.11090302
73.1544,49.46108781,11.11083248
78.8286,49.46113507,11.11080444
85.4713,49.46119645,11.11079252
94.6382,49.4611165,11.1107271
100.5061,49.46107372,11.11077433
104.7083,49.46104115,11.11080777
110.8728,49.46098005,11.11077927
115.9308,49.46099411,11.11083582
118.872,49.46100479,11.11087916
123.4786,49.4610523,11.11085287
127.8332,49.46108781,11.11083248
165.0073,49.46108781,11.11083248
169.6948,49.4610523,11.11085287
174.3401,49.46100479,11.11087916
177.4814,49.46099411,11.11083582
181.7906,49.46098005,11.11077927
188.433,49.46104115,11.11080777
193.4036,49.46107372,11.11077433
199.3903,49.4611165,11.1107271
208.7723,49.46119645,11.11079252
216.3398,49.46113507,11.11080444
221.827,49.46108781,11.11083248
227.3581,49.46110526,11.11090302
235.2951,49.46113158,11.11100646
