AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:11,wifi_rssi_20:23:00:00:01:12,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:67,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:02:59,wifi_rssi_20:23:00:00:02:60,wifi_rssi_20:23:00:00:02:61,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:11,wifi_freq_20:23:00:00:01:12,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:67,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:02:59,wifi_freq_20:23:00:00:02:60,wifi_freq_20:23:00:00:02:61
1.6297,-69.0,-79.0,-69.0,-64.0,,,-62.0,-76.0,,-68.0,-75.0,-80.0,-63.0,-73.0,-73.0,,-85.0,,-66.0,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,,2437.0,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,
3.6447,-86.0,-79.0,-68.0,-63.0,,,-74.0,-72.0,,-59.0,-70.0,-79.0,-52.0,-74.0,-74.0,-75.0,-84.0,,-60.0,,,,-87.0,,,-90.0,-85.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,,,5500.0,5500.0,,,,,,,,,,,,,,,,,,
5.6783,-77.0,-86.0,-72.0,-67.0,,,-72.0,-68.0,,-71.0,-67.0,-80.0,-56.0,-73.0,-72.0,-64.0,-91.0,,-76.0,,,-91.0,,-89.0,,-90.0,-89.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,5500.0,,5500.0,,5500.0,5500.0,,,,,,,,,,,,,,,,,,
7.6472,-82.0,-83.0,-74.0,-74.0,,,-68.0,-74.0,,-57.0,-66.0,-83.0,-48.0,-75.0,-74.0,-70.0,-86.0,,-64.0,,,,-88.0,,,-90.0,-88.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,5500.0,,,5500.0,5500.0,,,,,,,,,,,,,,,,,,
9.6856,-63.0,-82.0,-75.0,-73.0,,,-71.0,-69.0,,-65.0,-73.0,-78.0,-55.0,-72.0,-71.0,-64.0,-86.0,,-67.0,,,-90.0,,-89.0,-87.0,-91.0,-90.0,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,5500.0,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,,,,,,,,
11.6501,-72.0,-78.0,,-71.0,,,-72.0,-70.0,,-58.0,-68.0,-77.0,-48.0,-68.0,-68.0,-72.0,,,-69.0,,,,-87.0,,,-86.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,5500.0,,,5500.0,,,,,,,,,,,,,,,,,,,
13.7044,-77.0,-82.0,-81.0,-69.0,,,-65.0,-67.0,,-68.0,-71.0,-86.0,-53.0,-78.0,-77.0,-65.0,-86.0,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.6814,-65.0,,-74.0,-69.0,,-95.0,-67.0,-70.0,,-60.0,-67.0,-77.0,-53.0,-69.0,-69.0,-72.0,-87.0,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.6971,-70.0,-78.0,-76.0,-76.0,,,-68.0,-73.0,,-65.0,-69.0,-79.0,-55.0,-67.0,-67.0,-67.0,-79.0,,-69.0,,,-91.0,,,-88.0,-86.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,5500.0,,,5500.0,5500.0,,,,,,,,,,,,,,,,,,,
19.6643,-65.0,,-73.0,-73.0,,-95.0,-71.0,-69.0,,-65.0,-70.0,,-50.0,-71.0,-71.0,-71.0,-89.0,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,,,
