AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82
1.6297,,,-69.0,-64.0,,-62.0,,,-68.0,,,-63.0,,,,-66.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
3.6447,,,-68.0,-63.0,,,,,-59.0,-70.0,,-52.0,,,,-60.0,,,,,,,,2417.0,2452.0,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
5.6783,,,,-67.0,,,-68.0,,-71.0,-67.0,,-56.0,,,-64.0,,,,,,,,,,2452.0,,,2412.0,,2427.0,2437.0,,2437.0,,,2462.0,,,,,,
7.6472,,,,,,-68.0,,,-57.0,-66.0,,-48.0,,,-70.0,-64.0,,,,,,,,,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,2437.0,,,,,
9.6856,-63.0,,,,,,-69.0,,-65.0,,,-55.0,,,-64.0,-67.0,,,,,,2437.0,,,,,,2412.0,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
11.6501,,,,,,,,,-58.0,-68.0,,-48.0,-68.0,-68.0,,-69.0,,,,,,,,,,,,,,2427.0,2437.0,,2437.0,5220.0,5220.0,,2437.0,,,,,
13.7044,,,,,,-65.0,-67.0,,-68.0,,,-53.0,,,-65.0,-68.0,,,,,,,,,,,2462.0,2412.0,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
15.6814,-65.0,,,,,-67.0,,,-60.0,-67.0,,-53.0,,,,-68.0,,,,,,2437.0,,,,,2462.0,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
17.6971,,,,,,-68.0,,,-65.0,,,-55.0,-67.0,-67.0,-67.0,,,,,,,,,,,,2462.0,,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,,,,
19.6643,-65.0,,,,,,-69.0,,-65.0,-70.0,,-50.0,,,,-70.0,,,,,,2437.0,,,,,,2412.0,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
21.6649,-72.0,,,-66.0,,,,,-67.0,-69.0,,-52.0,,,,-70.0,,,,,,2437.0,,,2452.0,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
23.6369,,,-69.0,,,-67.0,,,-70.0,,,-55.0,,-70.0,-66.0,,,,,,,,,2417.0,,,2462.0,,,2427.0,,,2437.0,,5220.0,2462.0,,,,,,
25.6578,,,,,,-65.0,,,-63.0,-70.0,,-55.0,,,-68.0,-68.0,,,,,,,,,,,2462.0,,,2427.0,2437.0,,2437.0,,,2462.0,2437.0,,,,,
27.6363,-66.0,,,,,-66.0,-68.0,,-60.0,-65.0,,-54.0,,,,,,,,,,2437.0,,,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,,,,,,,,,
29.6571,-72.0,,,-64.0,,,,,-60.0,,,-56.0,,,-61.0,-69.0,,,,,,2437.0,,,2452.0,,,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
31.7428,,,,-64.0,,-71.0,-68.0,,-59.0,,,-54.0,,,,-67.0,,,,,,,,,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,,,,2437.0,,,,,
33.6703,,,,-68.0,,,-71.0,,-65.0,-70.0,,-55.0,,,,-67.0,,,,,,,,,2452.0,,,2412.0,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
35.6729,,,,-66.0,,-68.0,,,-63.0,-68.0,,-60.0,,,,-70.0,,,,,,,,,2452.0,,2462.0,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
37.6735,-67.0,,,-68.0,,-69.0,,,,-70.0,,-55.0,,,,-68.0,,,,,,2437.0,,,2452.0,,2462.0,,,,2437.0,,2437.0,,,,2437.0,,,,,
39.778,-71.0,,,-70.0,,,,,,-64.0,,-54.0,,,-69.0,-67.0,,,,,,2437.0,,,2452.0,,,,,,2437.0,,2437.0,,,2462.0,2437.0,,,,,
41.655,,,,-67.0,,,,,-68.0,-71.0,,-58.0,,,-71.0,-70.0,,,,,,,,,2452.0,,,,,2427.0,2437.0,,2437.0,,,2462.0,2437.0,,,,,
43.6958,,,,-70.0,,-68.0,,,-67.0,,,-58.0,,,-68.0,-67.0,,,,,,,,,2452.0,,2462.0,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
45.6862,-68.0,,-66.0,-67.0,,,,,-69.0,,,-58.0,,,,-66.0,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
47.7296,,,-67.0,-65.0,,-69.0,,,-65.0,,,-58.0,,,,-67.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
49.676,-68.0,,-67.0,-65.0,,,,,-66.0,,,-58.0,,,,-70.0,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
51.6668,-68.0,,-69.0,-63.0,,,,,-63.0,,,-55.0,,,,-65.0,,,,,,2437.0,,2417.0,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
53.6657,,,-68.0,-66.0,,-69.0,,,-65.0,,,-57.0,,,,-65.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
55.6694,,,-68.0,-68.0,,-68.0,,,-66.0,,,-56.0,,,,-66.0,,,,,,,,2417.0,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
57.8293,,,,-69.0,,-72.0,,,-68.0,,,-57.0,,,-67.0,-69.0,,,,,,,,,2452.0,,2462.0,,,2427.0,,,2437.0,,,2462.0,2437.0,,,,,
59.6678,,,,-68.0,,-71.0,-67.0,,,,,-51.0,,,-71.0,-67.0,,,,,,,,,2452.0,,2462.0,2412.0,,,,,2437.0,,,2462.0,2437.0,,,,,
61.6616,,,-69.0,-67.0,,,-70.0,,-69.0,,,-52.0,,,,-68.0,,,,,,,,2417.0,2452.0,,,2412.0,,2427.0,,,2437.0,,,,2437.0,,,,,
63.6727,,,,-69.0,,,,,-61.0,-70.0,,-54.0,,-71.0,,-67.0,,,,,,,,,2452.0,,,,,2427.0,2437.0,,2437.0,,5220.0,,2437.0,,,,,
65.6227,-62.0,,,-66.0,,,,,,,,-55.0,-71.0,-71.0,,-59.0,,,,,,2437.0,,,2452.0,,,,,,,,2437.0,5220.0,5220.0,,2437.0,,,,,
67.6613,-63.0,,,,,,,,-74.0,-67.0,,-53.0,,,-71.0,-64.0,,,,,,2437.0,,,,,,,,2427.0,2437.0,,2437.0,,,2462.0,2437.0,,,,,
69.6812,-65.0,,,-70.0,,,,,-68.0,-70.0,,-51.0,,,,-64.0,,,,,,2437.0,,,2452.0,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
71.6803,-65.0,-69.0,-75.0,,,,,,-76.0,,,-56.0,,,,-62.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
73.6797,-61.0,-68.0,-76.0,,,,,,,-74.0,,-57.0,,,,-57.0,,,,,,2437.0,5200.0,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
75.6682,-58.0,-71.0,-72.0,,,,,,,-75.0,,-60.0,,,,-65.0,,,,,,2437.0,5200.0,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
77.6636,-59.0,-69.0,-72.0,-75.0,,,,,,,,-62.0,,,,-65.0,,,,,,2437.0,5200.0,2417.0,2452.0,,,,,,,,2437.0,,,,2437.0,,,,,
79.6595,-57.0,-66.0,-78.0,,,,,,-81.0,,,-64.0,,,,-72.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
81.6559,-55.0,-67.0,,,,,-87.0,,-83.0,,,-78.0,,,,-74.0,,,,,,2437.0,5200.0,,,,,2412.0,,2427.0,,,2437.0,,,,2437.0,,,,,
83.6557,-55.0,-60.0,-89.0,,,,,,,-86.0,,-67.0,,,,-75.0,,,,,,2437.0,5200.0,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
85.6688,-49.0,-59.0,-89.0,,,-87.0,,,,,,-72.0,,,,-75.0,,,,,,2437.0,5200.0,2417.0,,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
87.6734,-53.0,-57.0,,,,,,-88.0,-87.0,,,-78.0,,,,-73.0,,,,,,2437.0,5200.0,,,,,,2462.0,2427.0,,,2437.0,,,,2437.0,,,,,
89.657,-50.0,-57.0,,-84.0,,,,,-83.0,,,-65.0,,,,-72.0,,,,,,2437.0,5200.0,,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
91.6544,-51.0,-56.0,,-83.0,,,,,-82.0,,,-61.0,,,,-69.0,,,,,,2437.0,5200.0,,2452.0,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
93.6767,-51.0,-58.0,,,,,,,-69.0,-82.0,,-60.0,,,,-68.0,,,,,,2437.0,5200.0,,,,,,,2427.0,2437.0,,2437.0,,,,2437.0,,,,,
95.6841,-55.0,-56.0,,-85.0,,-83.0,,,,,,-66.0,,,,-58.0,,,,,,2437.0,5200.0,,2452.0,,2462.0,,,,,,2437.0,,,,2437.0,,,,,
97.6174,-56.0,-68.0,,-73.0,,,,,,,,-56.0,,,-76.0,-59.0,,,,,,2437.0,5200.0,,2452.0,,,,,,,,2437.0,,,2462.0,2437.0,,,,,
99.6793,-64.0,,,-77.0,,-76.0,,,-71.0,,,-63.0,,,,-68.0,,,,,,2437.0,,,2452.0,,2462.0,,,2427.0,,,2437.0,,,,2437.0,,,,,
101.6709,-71.0,-76.0,-78.0,,,,,,-75.0,,,-65.0,,,,-68.0,,,,,,2437.0,5200.0,2417.0,,,,,,2427.0,,,2437.0,,,,2437.0,,,,,
103.674,-71.0,-76.0,-73.0,,,,,,,,-74.0,-69.0,,,,-68.0,,,,,,2437.0,5200.0,2417.0,,,,,,,,2422.0,2437.0,,,,2437.0,,,,,
105.6717,-68.0,-75.0,-72.0,,,,,,,-78.0,,-63.0,,,,-68.0,,,,,,2437.0,5200.0,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
107.6552,-67.0,-75.0,,,,,,,-78.0,,,-66.0,,,,-73.0,,,-80.0,,,2437.0,5200.0,,,,,,,2427.0,,,2437.0,,,,2437.0,,,5500.0,,
109.6267,-77.0,-75.0,,-83.0,,,,,,-81.0,,-68.0,,,,-73.0,,,,,,2437.0,5200.0,,2452.0,,,,,,2437.0,,2437.0,,,,2437.0,,,,,
111.8086,-73.0,,-83.0,,,,,,,-80.0,,-60.0,,,,-81.0,,,-81.0,,,2437.0,,2417.0,,,,,,,2437.0,,2437.0,,,,2437.0,,,5500.0,,
113.9741,-67.0,-81.0,,,,,,,,-78.0,,-70.0,,,,-77.0,,,,,-83.0,2437.0,5200.0,,,,,,,,2437.0,,2437.0,,,,2437.0,,,,,2462.0
118.0299,-75.0,-79.0,,,,,,,,,-85.0,-70.0,,,,-75.0,,,-83.0,,,2437.0,5200.0,,,,,,,,,2422.0,2437.0,,,,2437.0,,,5500.0,,
121.7546,-72.0,-77.0,,,,,,,,-78.0,,-68.0,,,-80.0,-69.0,,,,,,2437.0,5200.0,,,,,,,,2437.0,,2437.0,,,2462.0,2437.0,,,,,
