AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:06,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:54,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:54,Latitude_degrees,Longitude_degrees,floor_ID
0.0517,768.3754,-1.65684,6.53158,6.37356,0.34991,-0.60473,0.14544,42.9,5.6,144.7,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.056,768.3954,-1.45093,6.76861,6.11737,-0.15833,-0.95719,0.29449,42.7,5.6,144.60001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.0648,768.4154,-0.93856,7.02001,6.62496,-0.41123,-1.05371,0.23279,42.4,5.6,144.5,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.0699,768.4354,-0.51716,7.14452,7.22832,-0.4546,-0.90344,-0.07386,42.2,5.6,144.5,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.0781,768.4554,-0.5435,7.21874,7.62577,-0.47537,-1.02683,-0.2785,41.9,5.5,144.2,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1031,768.4753,-0.84997,6.89072,7.6952,-0.36358,-1.70978,-0.1209,41.6,5.6,143.90001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1406,768.4953,-1.13489,6.62256,7.94181,-0.23346,-2.40006,0.17904,41.4,5.6,143.60001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1431,768.5153,-0.71349,6.52679,8.01364,-0.16321,-2.49169,0.57671,41.1,5.6,143.3,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1609,768.5353,-0.14126,6.6058,7.59464,-0.41917,-1.94924,0.73798,40.2,5.6,142.3,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1775,768.5553,0.43097,6.52679,7.01044,-1.04225,-1.33166,0.50768,37.7,5.6,140.40001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.1962,768.5753,0.38787,6.11977,6.33046,-1.67572,-0.9126,0.40628,38.7,5.3,140.40001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.2164,768.5953,0.35196,5.54514,6.4837,-2.16502,-0.93826,0.73065,38.0,6.1,140.40001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.241,768.6153,1.43896,5.605,9.49809,-1.19741,-1.65847,0.80456,33.6,7.2,137.0,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.256,768.6353,1.7143,5.20515,10.82691,1.07623,-0.63099,0.30426,36.2,6.3,138.40001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.2762,768.6553,1.14925,4.92263,9.26345,1.7604,-0.08793,0.85465,33.3,6.7,138.2,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.299,768.6753,1.36713,5.22431,6.79974,0.81173,0.19917,1.02631,35.0,5.1,139.0,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
0.3164,768.6953,2.28893,5.83485,6.32807,-0.70016,-0.79776,0.36779,34.8,4.9,139.10001,-110.0,-110.0,-90.0,-62.0,-79.0,-77.0,-84.0,-110.0,-81.0,-84.0,-110.0,-84.0,-79.0,-83.0,-64.0,-110.0,-92.0,-110.0,-110.0,-110.0,-57.0,-110.0,-110.0,-110.0,-89.0,-110.0,-92.0,-87.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,-1.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,2462.0,-1.0,2462.0,2462.0,-1.0,49.461087810283,11.110832476574,-2.0
