AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:04,ble_rssi_BE:AC:20:23:00:05,ble_rssi_BE:AC:20:23:00:06,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:54,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:54,Latitude_degrees,Longitude_degrees,floor_ID
0.0325,956.6478,-1.86035,7.24986,6.35441,0.27355,-0.3671,-0.14961,24.8,-27.0,-18.4,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.0339,956.6678,-2.30569,7.22832,6.0216,-0.02882,-0.609,0.02082,24.8,-27.0,-18.3,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.0365,956.6878,-2.03992,7.45098,6.20835,-0.3422,-0.65359,0.29144,24.8,-27.1,-18.3,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.0566,956.7078,-1.16122,7.59943,6.59144,-0.35441,-0.69086,0.01594,24.9,-27.0,-18.3,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.0814,956.7279,-0.98405,7.75506,6.74228,-0.35197,-0.54791,-0.29316,24.8,-27.1,-18.3,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.1014,956.7479,-1.44614,7.72393,6.49567,-0.62992,-0.71651,-0.16916,24.8,-27.0,-18.3,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.1167,956.7679,-1.7143,7.55394,6.10301,-1.11067,-1.09036,0.24012,24.6,-27.0,-18.4,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.1334,956.788,-1.73345,7.30014,5.7702,-1.76796,-1.53507,0.57182,24.6,-26.9,-18.4,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.1578,956.808,-1.34798,6.95776,5.96653,-2.45885,-2.68594,1.11366,24.4,-26.8,-18.6,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
0.1792,956.828,0.20591,6.68482,7.34563,-2.66165,-2.95289,1.09106,24.1,-26.6,-19.0,-99.0,-110.0,-110.0,-110.0,-63.0,-70.0,-77.0,-79.0,-110.0,-81.0,-82.0,-110.0,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,-110.0,-110.0,-110.0,-65.0,-110.0,-110.0,-110.0,-110.0,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,-1.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,-1.0,-1.0,-1.0,2437.0,-1.0,-1.0,-1.0,-1.0,2462.0,2462.0,5200.0,49.461087810283,11.110832476574,-2.0
