AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:02:54,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:02:54
1.6745,-63.0,-70.0,-77.0,-79.0,,-81.0,-82.0,,-80.0,-88.0,-70.0,-57.0,-85.0,-85.0,,,,-65.0,,,,,-94.0,-93.0,-94.0,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,2462.0,2462.0,5200.0
3.6906,-62.0,-66.0,-80.0,-77.0,,-78.0,-82.0,,-72.0,-72.0,-73.0,-59.0,-84.0,-86.0,-80.0,-92.0,-96.0,-63.0,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,,
5.6767,-59.0,-69.0,,-80.0,,-84.0,-82.0,,-73.0,-76.0,,-59.0,-84.0,-88.0,-78.0,-92.0,,-61.0,,-90.0,,,,-92.0,,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,2462.0,,,,2462.0,
7.6534,-62.0,-77.0,-76.0,-80.0,,-78.0,-85.0,,-70.0,-76.0,-89.0,-60.0,-82.0,-88.0,-82.0,,,-58.0,,-95.0,-89.0,,-93.0,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2462.0,5500.0,,2462.0,,
9.6835,-61.0,-63.0,-69.0,,,-80.0,-81.0,,-74.0,-85.0,-90.0,-58.0,-81.0,-87.0,-78.0,,,-58.0,,,,,-92.0,-90.0,,2437.0,5200.0,2417.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,2462.0,2462.0,
11.6649,-64.0,-71.0,-81.0,-81.0,,-78.0,-85.0,,-75.0,-80.0,-86.0,-60.0,-91.0,-86.0,-75.0,,,-58.0,,-87.0,,,-86.0,-88.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2462.0,,,2462.0,2462.0,
13.6785,-65.0,-71.0,-74.0,-81.0,,-78.0,-81.0,,-76.0,-76.0,-87.0,-58.0,-84.0,-86.0,-79.0,-94.0,,-62.0,,,,,,,-93.0,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,5200.0
15.7013,-58.0,-65.0,,-77.0,,-76.0,-84.0,,-75.0,-74.0,-86.0,-55.0,-86.0,-88.0,-73.0,,,-61.0,,,,,-91.0,-91.0,,2437.0,5200.0,,2452.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,2462.0,2462.0,
17.6738,-63.0,-67.0,-69.0,-79.0,-97.0,-79.0,-84.0,,-70.0,-74.0,-85.0,-60.0,-85.0,-88.0,-73.0,,,-61.0,,-91.0,,,-89.0,-90.0,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2462.0,,,2462.0,2462.0,
19.6725,-65.0,-67.0,,-81.0,,,-83.0,,-78.0,-76.0,-80.0,-61.0,-82.0,-83.0,-77.0,,,-60.0,,-92.0,,,-92.0,-92.0,,2437.0,5200.0,,2452.0,,,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2462.0,,,2462.0,2462.0,
