AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90
1.4107,-56.0,-70.0,-66.0,,,,-68.0,,-53.0,,,-54.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
5.6059,-53.0,,-68.0,,,,-65.0,-72.0,-53.0,,,-56.0,2437.0,,2417.0,,,,2427.0,2437.0,2437.0,,,2437.0
9.6958,-54.0,,-70.0,-69.0,,,-64.0,,-55.0,,,-55.0,2437.0,,2417.0,2452.0,,,2427.0,,2437.0,,,2437.0
13.6179,-51.0,-66.0,-66.0,,,,,,-51.0,-68.0,,-55.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
17.6208,-59.0,,,,-68.0,,-68.0,,-47.0,-67.0,,-62.0,2437.0,,,,2462.0,,2427.0,,2437.0,2462.0,,2437.0
21.5826,-54.0,-64.0,-65.0,,,,,,-51.0,-65.0,,-65.0,2437.0,5200.0,2417.0,,,,,,2437.0,2462.0,,2437.0
25.5994,-55.0,-63.0,-66.0,,,,-67.0,,-52.0,,,-60.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
29.5781,-53.0,-67.0,,,,,-64.0,,-54.0,-70.0,,-60.0,2437.0,5200.0,,,,,2427.0,,2437.0,2462.0,,2437.0
33.6142,,-67.0,-67.0,-69.0,,,-66.0,,-50.0,,,-59.0,,5200.0,2417.0,2452.0,,,2427.0,,2437.0,,,2437.0
37.5753,-61.0,-66.0,-66.0,,,,-67.0,,-50.0,,,-59.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
41.7615,-55.0,,-67.0,,,,-65.0,-69.0,-51.0,,,-58.0,2437.0,,2417.0,,,,2427.0,2437.0,2437.0,,,2437.0
45.5827,-54.0,,-67.0,,-69.0,,-66.0,,-51.0,,,-53.0,2437.0,,2417.0,,2462.0,,2427.0,,2437.0,,,2437.0
49.6003,-63.0,,-66.0,,-66.0,,-67.0,,-49.0,,,-53.0,2437.0,,2417.0,,2462.0,,2427.0,,2437.0,,,2437.0
53.5785,-56.0,-68.0,-66.0,,-67.0,,,,-50.0,,,-52.0,2437.0,5200.0,2417.0,,2462.0,,,,2437.0,,,2437.0
57.5731,-64.0,-68.0,-65.0,,,,-68.0,,-50.0,,,-50.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
61.5731,-60.0,,,-69.0,-70.0,,-68.0,,-50.0,,,-52.0,2437.0,,,2452.0,2462.0,,2427.0,,2437.0,,,2437.0
65.5837,-62.0,-65.0,-67.0,,,,-69.0,,-55.0,,,-52.0,2437.0,5200.0,2417.0,,,,2427.0,,2437.0,,,2437.0
69.5696,-53.0,-63.0,-67.0,,,,,-71.0,-52.0,,,-48.0,2437.0,5200.0,2417.0,,,,,2437.0,2437.0,,,2437.0
