AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:02:09,wifi_rssi_20:23:00:00:02:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:02:09,wifi_freq_20:23:00:00:02:11
3.0114,-62.0,-67.0,-68.0,-71.0,,,-68.0,-79.0,-82.0,-67.0,-73.0,-78.0,-50.0,-79.0,-79.0,,-87.0,,-55.0,,,,-85.0,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,,2462.0,,2437.0,,,,2462.0,,,,
6.968,-58.0,-67.0,-66.0,-73.0,,-90.0,-71.0,-74.0,,-72.0,-77.0,,-53.0,-81.0,-82.0,-71.0,-85.0,,-55.0,,,,,-88.0,,-90.0,-91.0,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,2462.0,,2442.0,2442.0
10.9802,-66.0,-67.0,-66.0,-69.0,,-84.0,-71.0,-78.0,,-65.0,-73.0,-77.0,-53.0,-81.0,-82.0,-72.0,-85.0,,-60.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,
14.957,-58.0,-67.0,-63.0,-69.0,,,-67.0,-77.0,,-66.0,-69.0,-78.0,-50.0,-79.0,-79.0,-67.0,-85.0,,-56.0,-92.0,-78.0,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,2412.0,2462.0,,,,,,
18.9783,-57.0,-64.0,-62.0,-71.0,,-86.0,-68.0,-79.0,-87.0,-66.0,-65.0,-75.0,-52.0,-79.0,-79.0,-70.0,-87.0,,-60.0,,-85.0,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,2462.0,,,,,,
22.9818,-57.0,-67.0,-66.0,-82.0,,,-69.0,-75.0,-89.0,-66.0,-69.0,-79.0,-55.0,-80.0,-79.0,-71.0,-86.0,,-75.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,2462.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,
26.9976,-58.0,-67.0,-67.0,-73.0,,,-76.0,-77.0,,-71.0,-73.0,,-55.0,-82.0,-82.0,-75.0,,,-56.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,
30.9984,-54.0,-72.0,-71.0,-77.0,,-89.0,-72.0,,,-71.0,-76.0,-76.0,-51.0,-82.0,-82.0,-73.0,,,-53.0,,-88.0,-86.0,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,2462.0,5500.0,,,,,
35.0084,-54.0,-72.0,-67.0,-81.0,,-90.0,-72.0,-75.0,,-67.0,-76.0,,-52.0,-79.0,-79.0,-73.0,,-93.0,-52.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,
38.9841,-51.0,-68.0,-74.0,-75.0,,,-72.0,-74.0,,-64.0,,,-51.0,-82.0,-83.0,-74.0,,,-52.0,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,
