AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
50.0115,663.6705,1.1267107596766155,-0.19238299081753982,0.47580592120517196,0.44532,-0.35125,0.46242,16.14,-31.14,-21.0
50.0351,663.6905,1.2726858113051758,0.13953427417519224,0.4640054719972895,0.27917,-0.18448,0.31521,15.36,-31.68,-20.94
50.0534,663.7105,1.4404991023731981,0.40373169850193125,0.492683472461529,0.08919,-0.19609,0.19181,15.06,-31.68,-21.0
50.0815,663.7304,1.5504682464729067,0.50661520195258,0.5765140816007364,-0.01955,-0.2755,0.08919,14.46,-31.8,-21.18
50.1016,663.7505,1.6083747379140974,0.4209206757174006,0.6809319309218083,-0.11362,-0.23457,-0.04887,14.16,-31.92,-20.7
50.1147,663.7715,1.5665667930310236,0.166103537661316,0.7490605378031407,-0.1912,-0.22724,-0.23702,14.04,-32.1,-21.0
50.1366,663.7915,1.4102887261230512,-0.17986554933217677,0.7129100034348923,-0.1686,-0.22174,-0.46242,13.98,-32.4,-20.52
50.1524,663.8115,1.108660484884739,-0.5349497349972416,0.5315949147806727,-0.06964,-0.30177,-0.62492,14.1,-32.76,-20.04
50.1741,663.8315,0.7089775172983868,-0.8232310624912476,0.20140969718959134,0.07941,-0.44288,-0.72143,13.92,-32.94,-20.22
50.1959,663.8525,0.2506737476351752,-0.9647754094786086,-0.22333269435898728,0.20831,-0.45021,-0.79107,13.98,-33.0,-20.22
50.2154,663.8725,-0.1885112529988306,-0.9273425811911113,-0.652727341072918,0.15821,-0.51191,-0.7422,13.98,-32.7,-20.52
50.2425,663.8924,-0.526851578453107,-0.7619308992824418,-0.9925827844127095,0.08125,-0.51801,-0.59559,13.92,-32.1,-21.0
50.2582,663.9134,-0.7193662442147675,-0.5136157487923074,-1.1680199868625536,0.06353,-0.43188,-0.38851,14.28,-31.8,-21.3
50.2774,663.9333,-0.7672023743334649,-0.27674241659107834,-1.1517846444779245,-0.01222,-0.34819,-0.24251,14.64,-31.38,-21.0
50.2958,663.9535,-0.7126524580919602,-0.1109413057523509,-0.9629492337877181,-0.13378,-0.32193,-0.21686,14.82,-31.02,-20.94
50.3164,663.9734,-0.6271825121021425,-0.04822919227807536,-0.6587926580524268,-0.24007,-0.37996,-0.25107,15.3,-30.84,-21.0
50.3378,663.9945,-0.5784582033393326,-0.1009881903461693,-0.31365657729530483,-0.20586,-0.48258,-0.20892,15.36,-30.66,-20.7
50.3624,664.0155,-0.6062948369502088,-0.24714847387662842,0.0026788607438721357,-0.06842,-0.50091,-0.20708,15.18,-30.66,-21.24
50.3806,664.0365,-0.6936605645819768,-0.4481596508113784,0.242777429055117,-0.04581,-0.48136,-0.27733,15.0,-30.78,-21.78
50.4029,664.0575,-0.8210617311833627,-0.636435463219871,0.38745135949298337,-0.10201,-0.40684,-0.36408,15.06,-30.6,-22.26
50.4203,664.0774,-0.9460747211236377,-0.7738290302166658,0.4416223474109575,-0.10934,-0.37018,-0.33537,15.0,-30.3,-22.62
50.4477,664.0975,-1.0470532266083152,-0.8278399264473458,0.42154829065815314,-0.04276,-0.44532,-0.20708,15.12,-30.3,-22.86
50.4633,664.1174,-1.0581240147701227,-0.8041147260546346,0.3514408505185198,0.13195,-0.48747,-0.13744,15.3,-30.3,-23.28
50.4779,664.1374,-0.9763014039637489,-0.7026332068099678,0.254020124292369,0.26817,-0.48014,-0.09835,15.12,-30.3,-23.46
50.5035,664.1575,-0.8561169424351198,-0.5748497931501991,0.14633296211414226,0.32498,-0.44838,-0.06842,14.82,-30.36,-23.82
50.5227,664.1775,-0.6645324936572289,-0.40316884239148765,0.057483870088058,0.36957,-0.37446,-0.0452,14.64,-30.42,-23.82
50.5371,664.1975,-0.46046058328998385,-0.22458708620087528,-0.003817337129422782,0.29932,-0.31032,-0.03665,14.4,-30.18,-23.58
50.5572,664.2175,-0.3062533000002468,-0.09224592395278111,-0.03745282016885376,0.12767,-0.11484,-0.10079,14.16,-30.54,-22.68
50.5801,664.2375,-0.21485445473178172,-0.011693097394613385,-0.04745651694783781,-0.02321,0.02199,-0.18265,14.16,-30.54,-22.38
50.6048,664.2585,-0.19078692978808545,0.01177701739761201,-0.04238328367259392,-0.15088,0.03176,-0.20464,14.1,-30.36,-22.2
50.6245,664.2785,-0.23940381332173055,-0.02117973539214451,-0.031152463757443627,-0.15149,0.03299,-0.24251,14.46,-30.3,-21.66
50.6471,664.2985,-0.31506073199750967,-0.08648798178423998,-0.020254634996538456,-0.01772,0.02321,-0.26267,14.94,-30.18,-22.14
50.663,664.3185,-0.3996079734635631,-0.15126205250874108,-0.01364960137043525,0.04765,-0.01833,-0.19609,15.18,-30.0,-22.2
50.6797,664.3385,-0.4548827765625355,-0.19696212257207493,-0.01110342455610791,0.00977,-0.0562,-0.09346,15.36,-30.0,-22.02
50.7029,664.3585,-0.4739117526874601,-0.2199458885561698,-0.012012297854045784,0.00794,-0.05437,-0.02749,15.24,-30.12,-22.14
50.7188,664.3785,-0.46884519814021014,-0.22561659634234857,-0.01755635570996361,-0.00611,-0.02871,-0.06964,15.3,-29.82,-22.26
50.7401,664.3985,-0.4578063369706214,-0.2263794126695171,-0.030226803111007783,-0.02993,0.03176,-0.14233,15.24,-30.06,-21.66
50.7591,664.4184,-0.4695034227796048,-0.22940407069197005,-0.051790400240285805,-0.06292,0.05131,-0.16066,15.3,-29.76,-21.72
50.78,664.4385,-0.5065644466783678,-0.23501804533088502,-0.0797113675708978,-0.04887,0.02871,-0.07941,15.42,-29.64,-22.38
50.8003,664.4585,-0.5603007985995011,-0.2396001554697703,-0.10769172006018835,-0.01527,0.0672,-0.07453,15.18,-29.88,-22.2
50.8213,664.4795,-0.6060825982124468,-0.23830618062703524,-0.12666845343333755,-0.02627,0.0733,-0.08063,14.94,-29.82,-22.92
50.8429,664.4995,-0.6229455993374645,-0.22867408284371543,-0.12816973198114745,-0.01955,0.03299,-0.04337,14.94,-29.88,-22.8
50.8662,664.5195,-0.6004668804253429,-0.21295987526353913,-0.107579037964328,-0.02993,0.01894,0.04032,14.82,-30.06,-22.02
50.886,664.5395,-0.5422674234955045,-0.19663249995390872,-0.06659630887581258,0.00061,0.05376,0.08063,14.94,-30.0,-22.08
50.9017,664.5595,-0.46330124722462457,-0.18314113278520258,-0.013744742322339576,0.0226,0.0788,0.0898,15.36,-29.82,-21.66
50.9305,664.5795,-0.39030649335153234,-0.17050135840448444,0.03714359389363686,-0.00428,0.06292,0.05986,15.24,-29.52,-21.54
50.9517,664.5995,-0.3351426565918776,-0.16370536717734258,0.07157504525583391,-0.06536,-0.01038,0.04215,15.18,-29.58,-21.96
50.9638,664.6195,-0.3077864892451762,-0.16685891439146158,0.07882807838020511,-0.07391,0.00428,0.02566,14.82,-29.88,-22.14
50.9845,664.6395,-0.29883111056674594,-0.16926061465449765,0.05712488256103576,-0.02932,0.10751,0.01894,14.88,-30.78,-21.96
51.002,664.6605,-0.30562385981824275,-0.17321496704274153,0.013673595813569861,-0.02688,0.14844,0.04154,14.76,-31.32,-22.2
51.0251,664.6805,-0.3174105579859338,-0.17326814028492518,-0.037143640828160684,-0.03176,0.07819,0.10018,14.58,-31.2,-21.84
51.0457,664.7005,-0.3229775255578743,-0.17146025918908245,-0.07951993169259808,0.00428,0.00855,0.14722,15.06,-31.14,-21.36
51.0614,664.7205,-0.30651810320921025,-0.17090371577655372,-0.10115034173453274,0.00305,0.00122,0.14905,14.64,-31.08,-21.36
