AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:56,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:02:88,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:56,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:02:88
1.4379,-66.0,-63.0,-74.0,-75.0,-84.0,-77.0,-86.0,,-74.0,-75.0,,-59.0,-82.0,-81.0,-78.0,,,-50.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
5.0389,-65.0,-67.0,-67.0,-77.0,,-75.0,-82.0,,-74.0,,-83.0,-56.0,-82.0,-82.0,-77.0,-91.0,,-50.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,,,,
9.3776,-58.0,-70.0,-67.0,-78.0,,-76.0,-83.0,,-71.0,,-84.0,-56.0,-84.0,-84.0,-75.0,-90.0,-84.0,-53.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,,2422.0,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,,,,,
13.3602,-50.0,-66.0,-64.0,-77.0,-80.0,-77.0,-82.0,,-69.0,,,-57.0,-86.0,-87.0,-74.0,,,-55.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
17.4072,-56.0,-67.0,-65.0,-77.0,-88.0,-77.0,-81.0,-84.0,-67.0,-73.0,,-58.0,-86.0,-86.0,-75.0,,-88.0,-50.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,2462.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,
21.055,-52.0,-64.0,-64.0,,-87.0,-76.0,-81.0,,-70.0,,,-55.0,-85.0,-86.0,-77.0,,-89.0,-54.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,2457.0,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,
25.3896,-59.0,-65.0,-67.0,-79.0,-85.0,-75.0,-77.0,,-74.0,,,-55.0,-84.0,-86.0,-73.0,-87.0,,-50.0,,,,,,,,,,-96.0,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,2412.0,,,,,,,,,
29.3977,-59.0,-68.0,-67.0,,,,-77.0,,-71.0,-73.0,,-55.0,-85.0,-89.0,-70.0,,,-50.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,,2412.0,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
33.4162,-54.0,-64.0,-67.0,-81.0,,-74.0,-78.0,,-70.0,,,-56.0,-85.0,-87.0,-74.0,-89.0,-89.0,-49.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,2462.0,2452.0,2437.0,,,,,,,,,,,,,,,,,,,
37.4154,-58.0,-69.0,-68.0,-78.0,-87.0,-72.0,,,-72.0,-75.0,-84.0,-60.0,,-89.0,-72.0,,,-49.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,,,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
