AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:94,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:94
1.4379,-66.0,-63.0,-74.0,,,-74.0,-59.0,,,-50.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
5.0389,-65.0,-67.0,-67.0,,,-74.0,-56.0,,,-50.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
9.3776,-58.0,-70.0,-67.0,,,-71.0,-56.0,,,-53.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
13.3602,-50.0,-66.0,-64.0,,,-69.0,-57.0,,,-55.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
17.4072,-56.0,-67.0,-65.0,,,-67.0,-58.0,,,-50.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
21.055,-52.0,-64.0,-64.0,,,-70.0,-55.0,,,-54.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
25.3896,-59.0,-65.0,-67.0,,,,-55.0,-73.0,,-50.0,,,,,,,,2437.0,5200.0,2417.0,,,,2437.0,2462.0,,2437.0,,,,,,,
29.3977,-59.0,-68.0,-67.0,,,,-55.0,-70.0,,-50.0,,,,,,,,2437.0,5200.0,2417.0,,,,2437.0,2462.0,,2437.0,,,,,,,
33.4162,-54.0,-64.0,-67.0,,,-70.0,-56.0,,,-49.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
37.4154,-58.0,-69.0,-68.0,,,,-60.0,-72.0,,-49.0,,,,,,,,2437.0,5200.0,2417.0,,,,2437.0,2462.0,,2437.0,,,,,,,
41.3856,-54.0,-68.0,,,-68.0,,-58.0,-69.0,,-50.0,,,,,,,,2437.0,5200.0,,,2462.0,,2437.0,2462.0,,2437.0,,,,,,,
45.3925,-53.0,-68.0,-70.0,,,-70.0,-60.0,,,-51.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
49.3874,-52.0,-68.0,,,-70.0,,-57.0,-70.0,,-51.0,,,,,,,,2437.0,5200.0,,,2462.0,,2437.0,2462.0,,2437.0,,,,,,,
53.4087,-56.0,-66.0,-69.0,,,,-64.0,-73.0,,-51.0,,,,,,,,2437.0,5200.0,2417.0,,,,2437.0,2462.0,,2437.0,,,,,,,
57.3968,-54.0,-66.0,-70.0,,,-69.0,-60.0,,,-47.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
61.3911,-52.0,-65.0,-66.0,,,-72.0,-58.0,,,-51.0,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,2437.0,,,2437.0,,,,,,,
65.3973,-52.0,-69.0,-66.0,,-70.0,,-55.0,,,-47.0,,,,,,,,2437.0,5200.0,2417.0,,2462.0,,2437.0,,,2437.0,,,,,,,
69.3724,-51.0,-73.0,-71.0,,-71.0,,-59.0,,,-48.0,,,,,,,,2437.0,5200.0,2417.0,,2462.0,,2437.0,,,2437.0,,,,,,,
73.3649,-67.0,-73.0,,,-73.0,,-63.0,-74.0,,-44.0,,,,,,,,2437.0,5200.0,,,2462.0,,2437.0,2462.0,,2437.0,,,,,,,
77.3817,-59.0,-75.0,,,-74.0,,-59.0,-76.0,,-49.0,,,,,,,,2437.0,5200.0,,,2462.0,,2437.0,2462.0,,2437.0,,,,,,,
81.3886,-64.0,,-66.0,,,-77.0,-65.0,,-70.0,-47.0,,,,,,,,2437.0,,2417.0,,,2427.0,2437.0,,2452.0,2437.0,,,,,,,
85.3779,-64.0,,-71.0,,-76.0,-76.0,-65.0,,,-54.0,,,,,,,,2437.0,,2417.0,,2462.0,2427.0,2437.0,,,2437.0,,,,,,,
89.3903,-72.0,,,,,,-72.0,,,-58.0,,-78.0,,-81.0,-77.0,,,2437.0,,,,,,2437.0,,,2437.0,,2462.0,,2462.0,2462.0,,
93.4078,,,,,,-85.0,-84.0,,,-59.0,,-77.0,,-78.0,-76.0,,,,,,,,2427.0,2437.0,,,2437.0,,2462.0,,2462.0,2462.0,,
97.3713,,,,,,,-82.0,,,,,-83.0,-87.0,-83.0,-83.0,,-85.0,,,,,,,2437.0,,,,,2462.0,5500.0,2462.0,2462.0,,5500.0
101.4062,-75.0,,,,,,-78.0,,,-67.0,,-79.0,,-79.0,-79.0,,,2437.0,,,,,,2437.0,,,2437.0,,2462.0,,2462.0,2462.0,,
105.3773,-79.0,,,,,,-78.0,,,-62.0,,-76.0,,-76.0,-76.0,,,2437.0,,,,,,2437.0,,,2437.0,,2462.0,,2462.0,2462.0,,
109.4267,,,,,,,-78.0,,,-62.0,-78.0,-80.0,,-80.0,,,-83.0,,,,,,,2437.0,,,2437.0,2437.0,2462.0,,2462.0,,,5500.0
113.3752,,,,,,,-75.0,,,-60.0,-74.0,-82.0,,-84.0,-84.0,,,,,,,,,2437.0,,,2437.0,2437.0,2462.0,,2462.0,2462.0,,
