AppTimestamp(s),SensorTimestamp(s),PitchX,RollY,YawZ,Quat_x,Quat_y,Quat_z
0.0596,788.4181,39.352448,14.366518,110.056946,0.09499181,0.34122869,0.7896663
0.0659,788.438,37.960629,13.607676,109.392624,0.09521059,0.32830465,0.78856236
0.0706,788.458,36.658035,12.095299,108.903336,0.10044289,0.31258443,0.78731108
0.0741,788.4781,35.999081,10.91598,107.874771,0.10795332,0.30191413,0.78262788
0.089,788.4981,35.880173,10.084585,106.570328,0.11640348,0.29595095,0.77587879
0.1132,788.518,35.854424,9.546268,105.319122,0.12310946,0.29189402,0.76935697
0.1431,788.5381,35.837524,8.994566,104.4356,0.12894973,0.28812513,0.76447362
0.1508,788.5581,35.7145,7.444115,104.095657,0.13946874,0.27928865,0.76119548
0.1707,788.578,35.606724,5.197101,104.118507,0.15375349,0.26742259,0.75863075
0.1879,788.5981,35.841187,2.594719,103.983093,0.17245142,0.25564525,0.7537908
0.2067,788.6181,36.683273,-0.097698,103.132957,0.19624233,0.24599694,0.74336737
0.2267,788.638,36.876381,-1.469692,101.801872,0.20889276,0.23775901,0.73359936
0.2471,788.6581,37.002193,1.918255,100.57692,0.19050495,0.25421527,0.73280466
0.279,788.6779,37.147266,4.57599,100.666321,0.17402795,0.26914987,0.73721105
0.2884,788.698,37.34486,6.158407,101.151863,0.16371383,0.27927104,0.74167258
0.3083,788.718,37.467224,6.992533,101.828972,0.15728539,0.28524083,0.74606442
0.3286,788.738,37.333679,7.751539,102.873955,0.14899157,0.28961304,0.75258243
0.3464,788.758,37.141788,8.725859,104.493439,0.13741072,0.29522821,0.76214731
0.3686,788.778,37.134651,8.719108,106.290176,0.13277388,0.29726788,0.77083194
0.3867,788.7981,37.769779,8.656044,107.889526,0.13222972,0.30294904,0.77712673
0.4064,788.818,38.984802,9.284382,109.082001,0.13079654,0.31516233,0.78099442
0.4287,788.838,40.38327,10.235153,110.260551,0.12785964,0.32992259,0.78456432
0.4471,788.8581,41.658596,10.791187,111.917397,0.12534551,0.34254223,0.78976381
0.4669,788.878,42.659912,10.650667,114.294113,0.12384425,0.35114485,0.79745823
0.4867,788.898,43.205502,9.768633,117.424583,0.12285832,0.35459629,0.80793887
0.5088,788.9181,43.320465,8.533877,121.392906,0.11985001,0.35482332,0.82165813
0.5341,788.938,42.861015,6.92279,126.46611,0.11407049,0.35093719,0.8395344
0.5523,788.9579,41.416489,4.915883,131.794891,0.10765317,0.33886525,0.85924923
0.5691,788.9781,39.901428,2.935188,137.25322,0.1018931,0.32641453,0.87823677
0.5899,788.998,39.402996,1.719196,143.601456,0.09186091,0.32463104,0.895845
0.6091,789.018,39.421379,-0.000213,150.846924,0.08488373,0.32641447,0.91110581
0.6298,789.0381,38.781956,-2.362211,157.501114,0.08382545,0.32177144,0.92362034
0.6616,789.0591,36.743366,-4.479231,162.595657,0.08430977,0.3057026,0.93552667
0.6784,789.08,34.114838,-5.414678,166.001907,0.08052328,0.28531665,0.94613993
0.7043,789.1001,32.2057,-5.800957,167.92926,0.07747169,0.27036008,0.95274049
0.7134,789.1211,31.072662,-6.254603,168.873764,0.07824092,0.26109537,0.95607835
0.7344,789.141,30.245369,-7.203675,168.846451,0.08566265,0.25324538,0.95730966
0.7526,789.161,29.457191,-8.426322,167.960434,0.09725202,0.24470393,0.95725006
0.7699,789.1811,28.828121,-10.081601,166.409439,0.11384125,0.23615377,0.95541102
0.7916,789.201,28.274017,-11.434097,164.044006,0.12939432,0.22726719,0.95217544
0.8097,789.221,28.498573,-13.043962,161.234909,0.14848463,0.22332922,0.94552106
0.8312,789.241,29.47073,-14.679183,157.911179,0.16958766,0.2239304,0.93519682
0.8591,789.261,30.812313,-16.477329,154.299469,0.19316176,0.2256085,0.92175478
