AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:61,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:61
1.4224,-58.0,-68.0,-66.0,,,-70.0,,-58.0,,,-56.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
5.4659,-52.0,-64.0,-66.0,,,-66.0,,-56.0,,,-49.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
9.4047,-53.0,,-65.0,,,-63.0,,-56.0,-67.0,,-49.0,,,,,,,,,,2437.0,,2417.0,,,2427.0,,2437.0,2462.0,,2437.0,,,,,,,,,
13.3896,-51.0,-64.0,-68.0,,,-71.0,,-57.0,,,-56.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
17.4705,-51.0,-68.0,,,-74.0,,,-57.0,-74.0,,-49.0,,,,,,,,,,2437.0,5200.0,,,2462.0,,,2437.0,2462.0,,2437.0,,,,,,,,,
21.4169,-52.0,-64.0,-65.0,,-70.0,,,-61.0,,,-49.0,,,,,,,,,,2437.0,5200.0,2417.0,,2462.0,,,2437.0,,,2437.0,,,,,,,,,
25.4285,-55.0,-66.0,,,-74.0,-72.0,,-59.0,,,-50.0,,,,,,,,,,2437.0,5200.0,,,2462.0,2427.0,,2437.0,,,2437.0,,,,,,,,,
29.4357,-51.0,-66.0,-68.0,,,-71.0,,-58.0,,,-46.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
33.4,-53.0,-67.0,-64.0,,,-69.0,,-58.0,,,-46.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
37.4336,-66.0,,-64.0,,,-67.0,,-54.0,-68.0,,-48.0,,,,,,,,,,2437.0,,2417.0,,,2427.0,,2437.0,2462.0,,2437.0,,,,,,,,,
41.4046,-53.0,-65.0,-68.0,,,-68.0,,-61.0,,,-52.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
45.4653,-55.0,-63.0,-66.0,,,-71.0,,-63.0,,,-53.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
49.3853,-59.0,-65.0,-70.0,,,-70.0,,-59.0,,,-49.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
53.4098,-65.0,-63.0,,,-72.0,-69.0,,-59.0,,,-50.0,,,,,,,,,,2437.0,5200.0,,,2462.0,2427.0,,2437.0,,,2437.0,,,,,,,,,
57.4147,-53.0,-67.0,-66.0,,,-69.0,,-60.0,,,-50.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
61.4183,-51.0,,-66.0,,,-69.0,,-59.0,-73.0,,-48.0,,,,,,,,,,2437.0,,2417.0,,,2427.0,,2437.0,2462.0,,2437.0,,,,,,,,,
65.4543,-53.0,-69.0,-64.0,,,-66.0,,-55.0,,,-44.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
69.4009,-55.0,-69.0,-68.0,,,,,-57.0,-72.0,,-45.0,,,,,,,,,,2437.0,5200.0,2417.0,,,,,2437.0,2462.0,,2437.0,,,,,,,,,
73.4183,-59.0,-69.0,-69.0,,,-71.0,,-62.0,,,-41.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
77.4354,-59.0,-75.0,-67.0,,,-72.0,,-62.0,,,-49.0,,,,,,,,,,2437.0,5200.0,2417.0,,,2427.0,,2437.0,,,2437.0,,,,,,,,,
81.4138,-58.0,,-67.0,,,-77.0,,-63.0,,-77.0,-46.0,,,,,,,,,,2437.0,,2417.0,,,2427.0,,2437.0,,2452.0,2437.0,,,,,,,,,
85.4547,-58.0,,-67.0,,-77.0,-77.0,,-63.0,,,-53.0,,,,,,,,,,2437.0,,2417.0,,2462.0,2427.0,,2437.0,,,2437.0,,,,,,,,,
89.4306,-71.0,,,,,,,,,,-63.0,,-84.0,,-85.0,-85.0,,,,-86.0,2437.0,,,,,,,,,,2437.0,,2462.0,,2462.0,2462.0,,,,5500.0
