AppTimestamp(s),SensorTimestamp(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ble_rssi_BE:AC:20:23:00:02,ble_rssi_BE:AC:20:23:00:06,wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:88,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:20,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:88,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:20,Latitude_degrees,Longitude_degrees,floor_ID
0.0384,2109.8329,-4.51081,5.28177,7.81252,0.56433,-0.60656,0.02082,11.7,-3.4,23.3,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.0402,2109.8529,-4.79573,5.46134,6.88593,0.08907,-0.9407,0.29816,11.9,-3.4,23.4,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.0417,2109.8729,-4.25702,5.64331,6.89312,-0.33548,-1.47154,0.3513,12.0,-3.5,23.4,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.0633,2109.8929,-3.4717,5.74865,7.51084,-0.41184,-1.8344,0.17476,12.1,-3.5,23.4,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.0945,2109.9129,-2.85876,5.70556,8.04955,-0.24385,-2.14655,-0.17588,12.2,-3.5,23.4,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.0949,2109.9329,-2.86595,5.61936,8.46137,-0.05081,-2.13678,-0.28156,12.0,-3.4,23.2,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.1188,2109.9529,-2.99524,5.33923,8.24109,0.07502,-2.28949,0.08313,9.7,-3.3,21.4,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.1337,2109.9729,-2.93059,5.73189,7.7359,-0.39962,-2.75925,0.55044,6.5,-3.2,18.2,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.159,2109.9929,-2.16921,5.66007,7.16846,-1.0227,-2.67189,1.01776,4.7,-2.7,17.1,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
0.1754,2110.0129,-1.41741,5.38951,6.68003,-1.77834,-2.21069,1.24133,1.7,-3.3,14.7,-110.0,-97.0,-65.0,-71.0,-77.0,-87.0,-110.0,-88.0,-83.0,-77.0,-82.0,-110.0,-64.0,-92.0,-90.0,-88.0,-110.0,-94.0,-56.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-89.0,-110.0,2437.0,5200.0,2417.0,2452.0,-1.0,2462.0,2412.0,2427.0,2437.0,-1.0,2437.0,5220.0,5220.0,2462.0,-1.0,2452.0,2437.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2462.0,-1.0,49.461057929696,11.110709726607,-2.0
