AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:38,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:88,wifi_rssi_20:23:00:00:03:11,wifi_rssi_20:23:00:00:03:20,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:38,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:88,wifi_freq_20:23:00:00:03:11,wifi_freq_20:23:00:00:03:20
1.3264,-65.0,-71.0,-77.0,-87.0,,-88.0,-83.0,-77.0,-82.0,,-64.0,-92.0,-90.0,-88.0,,-94.0,-56.0,,,,,,,,,,,,,,,,-89.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,2462.0,
3.288,-64.0,-74.0,-75.0,-87.0,,-82.0,-90.0,-81.0,-86.0,,-69.0,-92.0,-88.0,-81.0,,,-58.0,,,,,,,,,,,,,,,,-85.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,2462.0,
5.3049,-64.0,-70.0,-72.0,-81.0,,-77.0,-85.0,-76.0,-88.0,-92.0,-60.0,,-89.0,-77.0,,-93.0,-54.0,,,,,,,,,,,,,,,,-84.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,2462.0,
7.3042,-65.0,-70.0,-86.0,-67.0,,-83.0,-87.0,-78.0,-83.0,-88.0,-61.0,-90.0,-84.0,-85.0,,-94.0,-50.0,,,,,,,,,,,,,,,,-87.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,2462.0,
9.3365,-74.0,-72.0,-81.0,-83.0,-90.0,,-88.0,-77.0,-86.0,,-58.0,-89.0,,-87.0,,,-58.0,,,,,,,,,,,,,,,,-93.0,,2437.0,5200.0,2417.0,2452.0,2457.0,,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,2462.0,
11.3041,-65.0,-73.0,-82.0,,,-82.0,-89.0,-80.0,,-92.0,-68.0,-93.0,-92.0,,,,-59.0,,,,,,,,,,,,,,,,-90.0,,2437.0,5200.0,2417.0,,,2462.0,2412.0,2427.0,,2422.0,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,2462.0,
13.3315,-66.0,-70.0,-80.0,-74.0,,,-88.0,-83.0,-88.0,,-65.0,-91.0,,-82.0,,-79.0,-59.0,,,,,,,,,,,,,,,,-93.0,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,2462.0,
15.3026,-57.0,-71.0,-81.0,-77.0,-88.0,-82.0,-86.0,-87.0,-83.0,,-65.0,,-91.0,,,,-56.0,,,,,,,,,,,,,,,,-93.0,,2437.0,5200.0,2417.0,2452.0,2457.0,2462.0,2412.0,2427.0,2437.0,,2437.0,,5220.0,,,,2437.0,,,,,,,,,,,,,,,,2462.0,
17.3032,-69.0,-70.0,-77.0,-83.0,-92.0,,-88.0,-80.0,-84.0,-84.0,-62.0,-86.0,,-81.0,,,-60.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2457.0,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
19.3159,-58.0,-76.0,-83.0,-87.0,,-80.0,-88.0,,-86.0,-89.0,-70.0,,,,,,-57.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,,2437.0,2422.0,2437.0,,,,,,2437.0,,,,,,,,,,,,,,,,,
21.2922,-69.0,-66.0,-76.0,-85.0,,-88.0,-89.0,-81.0,-82.0,,-69.0,-90.0,,-89.0,,,-53.0,,,-97.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,2462.0,,,,,,,,,,,,,,
23.3218,-63.0,-72.0,-73.0,,,-86.0,-90.0,-74.0,-83.0,,-65.0,,-89.0,-82.0,,,-53.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,,2462.0,2412.0,2427.0,2437.0,,2437.0,,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
25.3169,-61.0,-70.0,,-87.0,,-84.0,-91.0,-82.0,-90.0,-87.0,-59.0,-90.0,-93.0,-83.0,,,-55.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
27.3158,-61.0,-69.0,-77.0,-83.0,,-84.0,-92.0,-84.0,-86.0,-92.0,-64.0,-89.0,-95.0,-83.0,,,-56.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
29.3187,-61.0,-72.0,-73.0,-73.0,,-83.0,-87.0,-84.0,-82.0,,-65.0,-90.0,-90.0,-83.0,,,-54.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
31.3068,-62.0,-70.0,-77.0,-82.0,,-87.0,-89.0,-82.0,-82.0,-89.0,-66.0,-89.0,,-87.0,,,-61.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
33.3092,-62.0,,,-85.0,,-85.0,-90.0,-81.0,-86.0,-91.0,-63.0,-89.0,-90.0,-91.0,,,-58.0,,,,,,,,,,,,,,,,-91.0,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,2462.0,
35.3108,-68.0,-72.0,,-86.0,,-85.0,-87.0,-75.0,-86.0,,-57.0,-92.0,-89.0,,,,-60.0,,,,,,,,,,,,,,,,-93.0,,2437.0,5200.0,,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,2462.0,
37.3282,-59.0,,,-84.0,,-84.0,-88.0,-85.0,-90.0,-90.0,-60.0,-89.0,-89.0,-84.0,,,-57.0,,,,,,,,,,,,,,,,,,2437.0,,,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
39.3047,-70.0,-74.0,-73.0,-84.0,,,-90.0,-83.0,-87.0,,-62.0,-93.0,-95.0,-85.0,,,-55.0,,,,,-87.0,,,,,,,,,,,-90.0,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,2462.0,,,,,,,,,,,2462.0,
41.3245,-60.0,-71.0,-76.0,-91.0,,-89.0,-90.0,-79.0,-89.0,-89.0,-63.0,,-92.0,-90.0,-96.0,,-58.0,,,,,,,,,,,,,,,,-91.0,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,2422.0,2437.0,,5220.0,2462.0,2462.0,,2437.0,,,,,,,,,,,,,,,,2462.0,
43.3173,-63.0,-69.0,-77.0,-84.0,,,-89.0,-80.0,-84.0,-88.0,-64.0,-90.0,-90.0,-81.0,,,-53.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,2422.0,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
45.2976,-60.0,-70.0,-75.0,-86.0,,,-91.0,-80.0,-82.0,,-62.0,-91.0,-90.0,,,,-58.0,,,,,,,,,,,,,,,,-95.0,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,,,,2437.0,,,,,,,,,,,,,,,,2462.0,
47.3179,-59.0,-70.0,-75.0,-86.0,,-82.0,-88.0,-82.0,-82.0,,-63.0,-89.0,,-83.0,,,-59.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
49.3542,-66.0,-67.0,-71.0,-88.0,,-83.0,-91.0,-82.0,-82.0,,-64.0,,-87.0,-86.0,,,-52.0,,,,,-93.0,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,,5220.0,2462.0,,,2437.0,,,,,2462.0,,,,,,,,,,,,
51.2903,-62.0,-69.0,-76.0,-83.0,,,-86.0,-79.0,-75.0,,-65.0,-90.0,,-85.0,,,-52.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
53.3113,-62.0,-66.0,-76.0,-84.0,,-81.0,,-84.0,-83.0,,-65.0,,-89.0,,,,-54.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,,2427.0,2437.0,,2437.0,,5220.0,,,,2437.0,,,,,,,,,,,,,,,,,
55.3124,-61.0,-68.0,-74.0,-87.0,,-85.0,,-85.0,-83.0,,-63.0,-88.0,,-85.0,,,-53.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
57.3094,-60.0,-67.0,-75.0,-85.0,,-81.0,,-80.0,-84.0,,-61.0,,-89.0,-79.0,,-83.0,-49.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,,2427.0,2437.0,,2437.0,,5220.0,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,
59.2828,-61.0,-69.0,-72.0,-86.0,,-84.0,-89.0,-78.0,-85.0,,-65.0,-88.0,-87.0,-84.0,,,-53.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2462.0,2412.0,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
61.3296,-64.0,-67.0,-74.0,-87.0,,,-86.0,-85.0,-84.0,,-64.0,-91.0,,-84.0,,,-53.0,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,,2412.0,2427.0,2437.0,,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,
