AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:90,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:95,wifi_rssi_20:23:00:00:02:55,wifi_rssi_20:23:00:00:02:61,wifi_rssi_20:23:00:00:02:73,wifi_rssi_20:23:00:00:02:74,wifi_rssi_20:23:00:00:02:88,wifi_rssi_20:23:00:00:03:11,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:90,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:95,wifi_freq_20:23:00:00:02:55,wifi_freq_20:23:00:00:02:61,wifi_freq_20:23:00:00:02:73,wifi_freq_20:23:00:00:02:74,wifi_freq_20:23:00:00:02:88,wifi_freq_20:23:00:00:03:11
0.3204,-59.0,-72.0,,,-81.0,-87.0,,-74.0,,,-64.0,-88.0,-92.0,-82.0,,,-52.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,,,2462.0,2412.0,,2427.0,,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
2.251,-61.0,-72.0,,,,,,-84.0,,,-71.0,,-86.0,-84.0,,,-55.0,,,,,,,,,,,,,,,,,,,-89.0,2437.0,5200.0,,,,,,2427.0,,,2437.0,,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,2462.0
4.2437,-66.0,-73.0,-78.0,-83.0,-80.0,-90.0,,-85.0,-90.0,-91.0,-67.0,,,-83.0,,-91.0,-56.0,,,,,,,,,,,,,,,,,,,-78.0,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,,2462.0,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,2462.0
6.2249,-58.0,-66.0,-81.0,-90.0,-81.0,-87.0,,-79.0,-85.0,-92.0,-65.0,,-87.0,,,,-56.0,,-95.0,,-96.0,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,,5220.0,,,,2437.0,,2462.0,,2462.0,,,,,,,,,,,,,,,
8.2239,-57.0,-73.0,-77.0,-82.0,,-91.0,,-83.0,,-91.0,-67.0,-88.0,,-82.0,,,-56.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,,2412.0,,2427.0,,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
10.2737,-67.0,-71.0,-76.0,-82.0,-81.0,-90.0,-92.0,,-87.0,,-65.0,,-90.0,-81.0,-94.0,,-57.0,,-95.0,,,-95.0,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,2462.0,,2437.0,,2437.0,,5220.0,2462.0,2462.0,,2437.0,,2462.0,,,2462.0,,,,,,,,,,,,,,
12.2261,-55.0,-70.0,-70.0,-81.0,-89.0,-92.0,,-81.0,,-92.0,-63.0,-88.0,,-89.0,,,-58.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
14.2252,-66.0,-69.0,-73.0,,-84.0,-91.0,,-83.0,-85.0,-89.0,-68.0,-90.0,,-83.0,,,-60.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
16.2429,-57.0,-65.0,-71.0,-83.0,-84.0,,,-80.0,-84.0,,-61.0,-91.0,-84.0,-82.0,,,-57.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,,,2427.0,2437.0,,2437.0,5220.0,5220.0,2462.0,,,2437.0,,,,,,,,,,,,,,,,,,,
18.2112,-67.0,-68.0,-72.0,-92.0,-87.0,-86.0,,-85.0,-87.0,-91.0,-69.0,-90.0,,,,,-57.0,,,,,,,,,,,,,,,,,,,,2437.0,5200.0,2417.0,2452.0,2462.0,2412.0,,2427.0,2437.0,2422.0,2437.0,5220.0,,,,,2437.0,,,,,,,,,,,,,,,,,,,
