AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:03:25,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:03:25
0.6605,-80.0,,,,,,,,,,,,,-74.0,-55.0,,,,-90.0,,,-87.0,,,-87.0,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,2462.0,,,2412.0,,,2412.0,
4.6741,-78.0,,,,,,,,,,,,,-75.0,-54.0,,,,,-87.0,,-87.0,-86.0,,,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,,2462.0,,2412.0,2462.0,,,
8.6985,,,,,,,,,-86.0,,,,,-79.0,-61.0,-93.0,,,,,,-85.0,,,-85.0,,,,,,,,,,2437.0,,,,,2437.0,2437.0,2462.0,,,,,,2412.0,,,2412.0,
12.645,,,,,,,,-86.0,,,,,,-75.0,-60.0,,,,,,,-83.0,,-83.0,-84.0,,,,,,,,,2437.0,,,,,,2437.0,2437.0,,,,,,,2412.0,,2412.0,2412.0,
16.637,-79.0,,,,,,,,,,,,,-79.0,-60.0,-85.0,,,,,,,,,-87.0,-83.0,2437.0,,,,,,,,,,,,,2437.0,2437.0,2462.0,,,,,,,,,2412.0,2437.0
20.6517,-79.0,,,,,,,,,,,,,-75.0,-60.0,,-87.0,-86.0,,,,-83.0,,,,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,2462.0,2462.0,,,,2412.0,,,,
24.641,-81.0,,,,,,,,,,,,,-76.0,-64.0,,,-86.0,,,,,,-86.0,-86.0,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,2462.0,,,,,,2412.0,2412.0,
28.6739,-85.0,,,,,,,,,,,,,-78.0,-66.0,,,,,-91.0,-89.0,,,-86.0,,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,,2462.0,2462.0,,,2412.0,,
32.6556,,,,,,,,,-86.0,,,,,-75.0,-66.0,-88.0,-88.0,,,,,,,,,-86.0,,,,,,,,,2437.0,,,,,2437.0,2437.0,2462.0,2462.0,,,,,,,,,2437.0
36.6905,,,,,,,,,,,,,,-73.0,-61.0,,-88.0,,,,,,,-86.0,-86.0,-83.0,,,,,,,,,,,,,,2437.0,2437.0,,2462.0,,,,,,,2412.0,2412.0,2437.0
40.6584,-87.0,,,,,,,,,,,,,-78.0,-60.0,,,,,,,,,-84.0,-86.0,-83.0,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,,,,,,2412.0,2412.0,2437.0
44.6641,,,,,,,,,,,,,,-76.0,-63.0,,,,,,,-84.0,,-84.0,-84.0,-84.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,,2412.0,,2412.0,2412.0,2437.0
48.6571,,,,,,,,,,,,,,-80.0,-63.0,,,,,,,-85.0,,-85.0,-86.0,-84.0,,,,,,,,,,,,,,2437.0,2437.0,,,,,,,2412.0,,2412.0,2412.0,2437.0
52.654,-83.0,,,,,,,,,,,,,-74.0,-65.0,,,,,,,-85.0,,-85.0,-86.0,,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,,,,2412.0,,2412.0,2412.0,
56.6602,-87.0,,,,,,,,,,,,,-77.0,-64.0,,,,,,,-86.0,,-85.0,,-84.0,2437.0,,,,,,,,,,,,,2437.0,2437.0,,,,,,,2412.0,,2412.0,,2437.0
60.6642,,,,,,,,,,,,,,-78.0,-64.0,,,-86.0,,,,-86.0,,-86.0,,-84.0,,,,,,,,,,,,,,2437.0,2437.0,,,2462.0,,,,2412.0,,2412.0,,2437.0
64.6632,,,,,,,,,,,,-92.0,,-74.0,-58.0,,,,,,,-86.0,,-86.0,-87.0,,,,,,,,,,,,,2462.0,,2437.0,2437.0,,,,,,,2412.0,,2412.0,2412.0,
68.6618,-75.0,,-85.0,,,-87.0,,,,,,,-85.0,-69.0,-58.0,,,,,,,,,,,,2437.0,,2452.0,,,2462.0,,,,,,,2462.0,2437.0,2437.0,,,,,,,,,,,
72.6789,-78.0,,-82.0,,,-83.0,,,,,,,,-71.0,-62.0,,,,,,,,,,,-81.0,2437.0,,2452.0,,,2462.0,,,,,,,,2437.0,2437.0,,,,,,,,,,,2437.0
76.6587,-74.0,,-76.0,,,,,,,,,-81.0,,-69.0,-69.0,,,,,,,,,,,-70.0,2437.0,,2452.0,,,,,,,,,2462.0,,2437.0,2437.0,,,,,,,,,,,2437.0
80.7107,-70.0,,,,,,,,,,,,,-73.0,-77.0,,-79.0,,-78.0,,,,,,,-64.0,2437.0,,,,,,,,,,,,,2437.0,2437.0,,2462.0,,2462.0,,,,,,,2437.0
