AppTimestamp(s),wifi_rssi_20:23:00:00:00:01,wifi_rssi_20:23:00:00:00:03,wifi_rssi_20:23:00:00:00:09,wifi_rssi_20:23:00:00:00:12,wifi_rssi_20:23:00:00:00:15,wifi_rssi_20:23:00:00:00:25,wifi_rssi_20:23:00:00:00:44,wifi_rssi_20:23:00:00:00:45,wifi_rssi_20:23:00:00:00:46,wifi_rssi_20:23:00:00:00:55,wifi_rssi_20:23:00:00:00:65,wifi_rssi_20:23:00:00:00:69,wifi_rssi_20:23:00:00:00:73,wifi_rssi_20:23:00:00:00:79,wifi_rssi_20:23:00:00:00:80,wifi_rssi_20:23:00:00:00:82,wifi_rssi_20:23:00:00:00:88,wifi_rssi_20:23:00:00:00:89,wifi_rssi_20:23:00:00:00:90,wifi_rssi_20:23:00:00:00:96,wifi_rssi_20:23:00:00:00:97,wifi_rssi_20:23:00:00:01:10,wifi_rssi_20:23:00:00:01:15,wifi_rssi_20:23:00:00:01:16,wifi_rssi_20:23:00:00:01:18,wifi_rssi_20:23:00:00:01:19,wifi_rssi_20:23:00:00:01:20,wifi_rssi_20:23:00:00:01:21,wifi_rssi_20:23:00:00:01:27,wifi_rssi_20:23:00:00:01:38,wifi_rssi_20:23:00:00:01:45,wifi_rssi_20:23:00:00:01:47,wifi_rssi_20:23:00:00:01:51,wifi_rssi_20:23:00:00:01:54,wifi_rssi_20:23:00:00:01:58,wifi_rssi_20:23:00:00:01:59,wifi_rssi_20:23:00:00:01:60,wifi_rssi_20:23:00:00:01:62,wifi_rssi_20:23:00:00:01:64,wifi_rssi_20:23:00:00:01:67,wifi_rssi_20:23:00:00:01:71,wifi_rssi_20:23:00:00:01:74,wifi_rssi_20:23:00:00:01:75,wifi_rssi_20:23:00:00:01:76,wifi_rssi_20:23:00:00:01:77,wifi_rssi_20:23:00:00:01:81,wifi_rssi_20:23:00:00:01:82,wifi_rssi_20:23:00:00:01:84,wifi_rssi_20:23:00:00:01:85,wifi_rssi_20:23:00:00:01:86,wifi_rssi_20:23:00:00:01:87,wifi_rssi_20:23:00:00:01:88,wifi_rssi_20:23:00:00:01:89,wifi_rssi_20:23:00:00:01:91,wifi_rssi_20:23:00:00:01:92,wifi_rssi_20:23:00:00:01:93,wifi_rssi_20:23:00:00:01:94,wifi_rssi_20:23:00:00:01:96,wifi_rssi_20:23:00:00:02:11,wifi_rssi_20:23:00:00:02:54,wifi_rssi_20:23:00:00:03:25,wifi_rssi_20:23:00:00:03:27,wifi_freq_20:23:00:00:00:01,wifi_freq_20:23:00:00:00:03,wifi_freq_20:23:00:00:00:09,wifi_freq_20:23:00:00:00:12,wifi_freq_20:23:00:00:00:15,wifi_freq_20:23:00:00:00:25,wifi_freq_20:23:00:00:00:44,wifi_freq_20:23:00:00:00:45,wifi_freq_20:23:00:00:00:46,wifi_freq_20:23:00:00:00:55,wifi_freq_20:23:00:00:00:65,wifi_freq_20:23:00:00:00:69,wifi_freq_20:23:00:00:00:73,wifi_freq_20:23:00:00:00:79,wifi_freq_20:23:00:00:00:80,wifi_freq_20:23:00:00:00:82,wifi_freq_20:23:00:00:00:88,wifi_freq_20:23:00:00:00:89,wifi_freq_20:23:00:00:00:90,wifi_freq_20:23:00:00:00:96,wifi_freq_20:23:00:00:00:97,wifi_freq_20:23:00:00:01:10,wifi_freq_20:23:00:00:01:15,wifi_freq_20:23:00:00:01:16,wifi_freq_20:23:00:00:01:18,wifi_freq_20:23:00:00:01:19,wifi_freq_20:23:00:00:01:20,wifi_freq_20:23:00:00:01:21,wifi_freq_20:23:00:00:01:27,wifi_freq_20:23:00:00:01:38,wifi_freq_20:23:00:00:01:45,wifi_freq_20:23:00:00:01:47,wifi_freq_20:23:00:00:01:51,wifi_freq_20:23:00:00:01:54,wifi_freq_20:23:00:00:01:58,wifi_freq_20:23:00:00:01:59,wifi_freq_20:23:00:00:01:60,wifi_freq_20:23:00:00:01:62,wifi_freq_20:23:00:00:01:64,wifi_freq_20:23:00:00:01:67,wifi_freq_20:23:00:00:01:71,wifi_freq_20:23:00:00:01:74,wifi_freq_20:23:00:00:01:75,wifi_freq_20:23:00:00:01:76,wifi_freq_20:23:00:00:01:77,wifi_freq_20:23:00:00:01:81,wifi_freq_20:23:00:00:01:82,wifi_freq_20:23:00:00:01:84,wifi_freq_20:23:00:00:01:85,wifi_freq_20:23:00:00:01:86,wifi_freq_20:23:00:00:01:87,wifi_freq_20:23:00:00:01:88,wifi_freq_20:23:00:00:01:89,wifi_freq_20:23:00:00:01:91,wifi_freq_20:23:00:00:01:92,wifi_freq_20:23:00:00:01:93,wifi_freq_20:23:00:00:01:94,wifi_freq_20:23:00:00:01:96,wifi_freq_20:23:00:00:02:11,wifi_freq_20:23:00:00:02:54,wifi_freq_20:23:00:00:03:25,wifi_freq_20:23:00:00:03:27
0.7227,-88.0,,,,,,,,,,,,,,,,,,-90.0,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-95.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2412.0,,,,,,
2.6711,-90.0,,,,,,,,,,,,,,,,,,-81.0,,,,,,,,,,,,,,,,,,,-62.0,,,,,,,,,,,,,,,,,,-95.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2412.0,,,,,,
4.661,-86.0,,,,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,-93.0,-95.0,,,,,,,,,-97.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,2462.0,2462.0,,,,,,,,,2412.0,,,,,,
6.6538,-86.0,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,-61.0,,,,,,,,,,,,,,,-91.0,,-92.0,-90.0,,,,,-88.0,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2412.0,,2412.0,2412.0,,,,,2437.0,
8.7138,-87.0,,,,,,,,,,,,,,,,,,-88.0,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,
10.6565,-85.0,,,,,,,,,,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,-94.0,,,,,,-92.0,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2412.0,,,,,,2437.0,
12.6472,-92.0,,,,,,,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,-91.0,,-92.0,-92.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2412.0,,2412.0,2412.0,,,,,,
14.6776,-91.0,,,,,,,,,,,,,,,,,,-85.0,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,-92.0,,,-91.0,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,2412.0,,,2437.0,
16.6735,,,-93.0,,,,,,,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,,-92.0,,,,,,,,,,5200.0,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2412.0,,,,,,,
18.6572,-91.0,,,,,,,,,,,,,,,,,,-84.0,,,,,,,,,,,,,,,,,,,-61.0,,,,,,,,,,,,,,,,,-93.0,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,2412.0,,,,,,,
20.6604,-85.0,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,-91.0,,,-89.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2412.0,,,2412.0,,,,,,
22.6545,-84.0,,,,,,,,,,,,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,-91.0,,-90.0,-89.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2412.0,,2412.0,2412.0,,,,,,
24.6721,-91.0,,,,,,,,,,,,,,,,,-94.0,-81.0,,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,-90.0,,-90.0,-90.0,,,,,,,2437.0,,,,,,,,,,,,,,,,,2452.0,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,2412.0,,2412.0,2412.0,,,,,,
26.6464,-86.0,,,,,,,,,,,,,,,,,,-79.0,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,2437.0,,,,,,,,,,,,,,,,,,,,,,,,
